Lower layer Super Output Areas Code,Sex (2 categories),Observation
E01001324,Male,829
E01001325,Female,978
E01001325,Male,1005
E01001326,Female,1003
E01001326,Male,957
E01001327,Female,940
E01001327,Male,956
E01001328,Female,933
E01001328,Male,890
E01001329,Female,998
E01001329,Male,965
E01001330,Female,991
E01001330,Male,867
E01001331,Female,919
E01001331,Male,877
E01001332,Female,854
E01001332,Male,740
E01001333,Female,1210
E01001333,Male,1254
E01001334,Female,825
E01001334,Male,840
E01001335,Female,886
E01001335,Male,914
E01001336,Female,913
E01001336,Male,928
E01001337,Female,1076
E01001337,Male,1047
E01001338,Female,933
E01001338,Male,934
E01001339,Female,1145
E01001339,Male,1039
E01001340,Female,765
E01001340,Male,799
E01001341,Female,886
E01001341,Male,906
E01001342,Female,916
E01001342,Male,980
E01001343,Female,729
E01001343,Male,710
E01001344,Female,1135
E01001344,Male,1154
E01001345,Female,855
E01001345,Male,903
E01001346,Female,973
E01001346,Male,986
E01001347,Female,888
E01001347,Male,1084
E01001348,Female,815
E01001348,Male,857
E01001349,Female,729
E01001349,Male,682
E01001350,Female,749
E01001350,Male,688
E01001351,Female,1008
E01001351,Male,965
E01001352,Female,823
E01001352,Male,761
E01001353,Female,751
E01001353,Male,664
E01001354,Female,1041
E01001354,Male,1015
E01001355,Female,1001
E01001355,Male,956
E01001356,Female,785
E01001356,Male,710
E01001357,Female,1450
E01001357,Male,1300
E01001358,Female,989
E01001358,Male,1001
E01001359,Female,1160
E01001359,Male,1304
E01001360,Female,1061
E01001360,Male,1152
E01001361,Female,1084
E01001361,Male,1192
E01001362,Female,1277
E01001362,Male,1347
E01001363,Female,954
E01001363,Male,1040
E01001364,Female,937
E01001364,Male,897
E01001365,Female,1212
E01001365,Male,1365
E01001366,Female,985
E01001366,Male,1065
E01001367,Female,1261
E01001367,Male,1449
E01001368,Female,856
E01001368,Male,908
E01001369,Female,1018
E01001369,Male,1046
E01001370,Female,1088
E01001370,Male,1084
E01001371,Female,1135
E01001371,Male,1174
E01001372,Female,1212
E01001372,Male,1343
E01001373,Female,994
E01001373,Male,1084
E01001374,Female,967
E01001374,Male,978
E01001375,Female,897
E01001375,Male,801
E01001376,Female,905
E01001376,Male,802
E01001377,Female,853
E01001377,Male,786
E01001379,Female,908
E01001379,Male,828
E01001380,Female,1203
E01001380,Male,1103
E01001381,Female,1007
E01001381,Male,870
E01001382,Female,779
E01001382,Male,701
E01001383,Female,870
E01001383,Male,884
E01001384,Female,904
E01001384,Male,844
E01001385,Female,868
E01001385,Male,810
E01001386,Female,907
E01001386,Male,891
E01001387,Female,760
E01001387,Male,775
E01001388,Female,732
E01001388,Male,715
E01001389,Female,891
E01001389,Male,936
E01001390,Female,936
E01001390,Male,881
E01001391,Female,915
E01001391,Male,864
E01001392,Female,950
E01001392,Male,916
E01001393,Female,984
E01001393,Male,986
E01001394,Female,947
E01001394,Male,1050
E01001395,Female,884
E01001395,Male,750
E01001396,Female,753
E01001396,Male,708
E01001397,Female,1102
E01001397,Male,1062
E01001398,Female,677
E01001398,Male,663
E01001399,Female,738
E01001399,Male,744
E01001400,Female,844
E01001400,Male,718
E01001401,Female,714
E01001401,Male,675
E01001402,Female,952
E01001402,Male,900
E01001403,Female,845
E01001403,Male,860
E01001404,Female,748
E01001404,Male,732
E01001405,Female,959
E01001405,Male,843
E01001406,Female,874
E01001406,Male,784
E01001407,Female,820
E01001407,Male,771
E01001408,Female,897
E01001408,Male,773
E01001409,Female,1086
E01001409,Male,948
E01001410,Female,1188
E01001410,Male,1000
E01001411,Female,1007
E01001411,Male,896
E01001412,Female,916
E01001412,Male,839
E01001413,Female,853
E01001413,Male,782
E01001414,Female,887
E01001414,Male,784
E01001415,Female,1068
E01001415,Male,982
E01001416,Female,876
E01001416,Male,850
E01001417,Female,968
E01001417,Male,919
E01001418,Female,904
E01001418,Male,836
E01001419,Female,1037
E01001419,Male,934
E01001420,Female,959
E01001420,Male,824
E01001421,Female,876
E01001421,Male,797
E01001422,Female,871
E01001422,Male,806
E01001423,Female,919
E01001423,Male,812
E01001424,Female,696
E01001424,Male,531
E01001425,Female,1100
E01001425,Male,922
E01001426,Female,968
E01001426,Male,854
E01001427,Female,878
E01001427,Male,866
E01001428,Female,892
E01001428,Male,831
E01001429,Female,1274
E01001429,Male,1054
E01001430,Female,1070
E01001430,Male,943
E01001431,Female,949
E01001431,Male,837
E01001432,Female,1004
E01001432,Male,863
E01001433,Female,980
E01001433,Male,842
E01001434,Female,833
E01001434,Male,758
E01001435,Female,787
E01001435,Male,730
E01001436,Female,984
E01001436,Male,949
E01001437,Female,1204
E01001437,Male,1071
E01001438,Female,868
E01001438,Male,807
E01001439,Female,1154
E01001439,Male,977
E01001440,Female,869
E01001440,Male,808
E01001441,Female,864
E01001441,Male,782
E01001442,Female,968
E01001442,Male,764
E01001444,Female,1019
E01001444,Male,889
E01001445,Female,1510
E01001445,Male,1290
E01001446,Female,968
E01001446,Male,890
E01001447,Female,1055
E01001447,Male,936
E01001448,Female,1049
E01001448,Male,933
E01001449,Female,843
E01001449,Male,800
E01001450,Female,1277
E01001450,Male,1104
E01001451,Female,826
E01001451,Male,838
E01001452,Female,693
E01001452,Male,680
E01001453,Female,853
E01001453,Male,806
E01001454,Female,904
E01001454,Male,797
E01001455,Female,738
E01001455,Male,718
E01001456,Female,703
E01001456,Male,693
E01001457,Female,992
E01001457,Male,821
E01001458,Female,948
E01001458,Male,840
E01001459,Female,907
E01001459,Male,813
E01001460,Female,1074
E01001460,Male,1039
E01001461,Female,825
E01001461,Male,754
E01001462,Female,742
E01001462,Male,713
E01001463,Female,818
E01001463,Male,741
E01001464,Female,678
E01001464,Male,637
E01001465,Female,759
E01001465,Male,802
E01001466,Female,1103
E01001466,Male,893
E01001467,Female,1044
E01001467,Male,955
E01001468,Female,742
E01001468,Male,674
E01001469,Female,927
E01001469,Male,840
E01001470,Female,856
E01001470,Male,793
E01001471,Female,1041
E01001471,Male,867
E01001472,Female,906
E01001472,Male,747
E01001473,Female,842
E01001473,Male,754
E01001474,Female,978
E01001474,Male,920
E01001475,Female,919
E01001475,Male,884
E01001476,Female,903
E01001476,Male,848
E01001477,Female,1016
E01001477,Male,964
E01001478,Female,869
E01001478,Male,789
E01001479,Female,937
E01001479,Male,856
E01001480,Female,846
E01001480,Male,745
E01001481,Female,928
E01001481,Male,868
E01001482,Female,1000
E01001482,Male,923
E01001483,Female,642
E01001483,Male,545
E01001484,Female,738
E01001484,Male,676
E01001485,Female,979
E01001485,Male,879
E01001486,Female,1160
E01001486,Male,988
E01001487,Female,1038
E01001487,Male,903
E01001488,Female,1055
E01001488,Male,924
E01001489,Female,972
E01001489,Male,916
E01001491,Female,1025
E01001491,Male,925
E01001492,Female,1067
E01001492,Male,971
E01001493,Female,966
E01001493,Male,945
E01001494,Female,758
E01001494,Male,719
E01001495,Female,929
E01001495,Male,917
E01001496,Female,915
E01001496,Male,986
E01001497,Female,753
E01001497,Male,703
E01001498,Female,943
E01001498,Male,894
E01001499,Female,780
E01001499,Male,760
E01001500,Female,817
E01001500,Male,774
E01001501,Female,1129
E01001501,Male,1091
E01001502,Female,1038
E01001502,Male,916
E01001503,Female,1011
E01001503,Male,877
E01001504,Female,1084
E01001504,Male,1055
E01001505,Female,998
E01001505,Male,961
E01001507,Female,1403
E01001507,Male,1180
E01001508,Female,1305
E01001508,Male,1139
E01001509,Female,923
E01001509,Male,850
E01001511,Female,1034
E01001511,Male,889
E01001512,Female,1211
E01001512,Male,1066
E01001513,Female,1070
E01001513,Male,912
E01001514,Female,954
E01001514,Male,811
E01001515,Female,1047
E01001515,Male,1000
E01001516,Female,1091
E01001516,Male,1032
E01001517,Female,1097
E01001517,Male,948
E01001518,Female,878
E01001518,Male,810
E01001520,Female,955
E01001520,Male,902
E01001521,Female,970
E01001521,Male,905
E01001522,Female,984
E01001522,Male,833
E01001523,Female,953
E01001523,Male,894
E01001524,Female,807
E01001524,Male,755
E01001525,Female,1039
E01001525,Male,925
E01001526,Female,835
E01001526,Male,773
E01001527,Female,1037
E01001527,Male,1016
E01001528,Female,902
E01001528,Male,786
E01001529,Female,858
E01001529,Male,932
E01001530,Female,892
E01001530,Male,835
E01001531,Female,739
E01001531,Male,697
E01001532,Female,858
E01001532,Male,805
E01001533,Female,845
E01001533,Male,817
E01001534,Female,831
E01001534,Male,858
E01001535,Female,742
E01001535,Male,663
E01001536,Female,1006
E01001536,Male,964
E01001537,Female,926
E01001537,Male,789
E01001538,Female,879
E01001538,Male,798
E01001539,Female,860
E01001539,Male,794
E01001540,Female,963
E01001540,Male,943
E01001541,Female,828
E01001541,Male,704
E01001542,Female,858
E01001542,Male,708
E01001543,Female,831
E01001543,Male,786
E01001544,Female,871
E01001544,Male,824
E01001545,Female,1018
E01001545,Male,867
E01001546,Female,950
E01001546,Male,863
E01001547,Female,1082
E01001547,Male,1010
E01001548,Female,1034
E01001548,Male,893
E01001549,Female,1321
E01001549,Male,1036
E01001550,Female,935
E01001550,Male,835
E01001551,Female,951
E01001551,Male,843
E01001552,Female,994
E01001552,Male,951
E01001553,Female,882
E01001553,Male,871
E01001554,Female,978
E01001554,Male,820
E01001555,Female,1111
E01001555,Male,1121
E01001556,Female,820
E01001556,Male,770
E01001557,Female,847
E01001557,Male,868
E01001558,Female,998
E01001558,Male,1065
E01001559,Female,1139
E01001559,Male,990
E01001560,Female,810
E01001560,Male,761
E01001562,Female,1256
E01001562,Male,978
E01001563,Female,913
E01001563,Male,823
E01001564,Female,876
E01001564,Male,786
E01001565,Female,874
E01001565,Male,804
E01001566,Female,899
E01001566,Male,882
E01001567,Female,804
E01001567,Male,737
E01001568,Female,920
E01001568,Male,964
E01001569,Female,905
E01001569,Male,865
E01001570,Female,986
E01001570,Male,914
E01001571,Female,907
E01001571,Male,902
E01001572,Female,871
E01001572,Male,862
E01001573,Female,778
E01001573,Male,797
E01001574,Female,1003
E01001574,Male,921
E01001575,Female,963
E01001575,Male,853
E01001576,Female,1029
E01001576,Male,969
E01001577,Female,1019
E01001577,Male,998
E01001578,Female,1163
E01001578,Male,1143
E01001579,Female,902
E01001579,Male,832
E01001580,Female,834
E01001580,Male,805
E01001581,Female,856
E01001581,Male,722
E01001582,Female,828
E01001582,Male,705
E01001583,Female,804
E01001583,Male,764
E01001584,Female,782
E01001584,Male,720
E01001585,Female,785
E01001585,Male,744
E01001586,Female,794
E01001586,Male,628
E01001587,Female,970
E01001587,Male,1011
E01001588,Female,866
E01001588,Male,826
E01001589,Female,980
E01001589,Male,873
E01001590,Female,876
E01001590,Male,828
E01001591,Female,1064
E01001591,Male,1036
E01001592,Female,992
E01001592,Male,942
E01001593,Female,914
E01001593,Male,879
E01001594,Female,1178
E01001594,Male,1190
E01001595,Female,1184
E01001595,Male,1038
E01001596,Female,905
E01001596,Male,832
E01001597,Female,773
E01001597,Male,783
E01001598,Female,813
E01001598,Male,796
E01001599,Female,854
E01001599,Male,822
E01001600,Female,760
E01001600,Male,749
E01001601,Female,737
E01001601,Male,770
E01001602,Female,1089
E01001602,Male,1037
E01001603,Female,939
E01001603,Male,817
E01001604,Female,815
E01001604,Male,734
E01001605,Female,787
E01001605,Male,733
E01001606,Female,847
E01001606,Male,780
E01001607,Female,864
E01001607,Male,746
E01001608,Female,755
E01001608,Male,688
E01001609,Female,839
E01001609,Male,848
E01001610,Female,910
E01001610,Male,851
E01001611,Female,902
E01001611,Male,865
E01001613,Female,920
E01001613,Male,833
E01001614,Female,753
E01001614,Male,740
E01001615,Female,997
E01001615,Male,994
E01001617,Female,862
E01001617,Male,766
E01001618,Female,1003
E01001618,Male,903
E01001619,Female,1060
E01001619,Male,904
E01001620,Female,809
E01001620,Male,773
E01001621,Female,838
E01001621,Male,835
E01001623,Female,961
E01001623,Male,845
E01001624,Female,841
E01001624,Male,787
E01001625,Female,931
E01001625,Male,851
E01001629,Female,1162
E01001629,Male,979
E01001631,Female,1048
E01001631,Male,1060
E01001632,Female,994
E01001632,Male,1044
E01001633,Female,1076
E01001633,Male,967
E01001634,Female,929
E01001634,Male,807
E01001635,Female,847
E01001635,Male,797
E01001636,Female,860
E01001636,Male,824
E01001637,Female,917
E01001637,Male,884
E01001638,Female,941
E01001638,Male,822
E01001641,Female,936
E01001641,Male,931
E01001642,Female,885
E01001642,Male,847
E01001644,Female,1342
E01001644,Male,1287
E01001645,Female,941
E01001645,Male,911
E01001646,Female,1507
E01001646,Male,1313
E01001647,Female,766
E01001647,Male,721
E01001648,Female,866
E01001648,Male,858
E01001649,Female,820
E01001649,Male,756
E01001650,Female,946
E01001650,Male,888
E01001651,Female,945
E01001651,Male,930
E01001652,Female,886
E01001652,Male,820
E01001653,Female,840
E01001653,Male,752
E01001654,Female,867
E01001654,Male,739
E01001655,Female,801
E01001655,Male,774
E01001656,Female,705
E01001656,Male,636
E01001657,Female,831
E01001657,Male,739
E01001658,Female,873
E01001658,Male,781
E01001659,Female,870
E01001659,Male,748
E01001660,Female,829
E01001660,Male,730
E01001661,Female,892
E01001661,Male,772
E01001664,Female,1016
E01001664,Male,1060
E01001665,Female,911
E01001665,Male,979
E01001666,Female,971
E01001666,Male,1013
E01001669,Female,1322
E01001669,Male,1173
E01001671,Female,919
E01001671,Male,751
E01001672,Female,973
E01001672,Male,960
E01001673,Female,1238
E01001673,Male,1165
E01001674,Female,1136
E01001674,Male,1059
E01001675,Female,1207
E01001675,Male,1163
E01001676,Female,914
E01001676,Male,888
E01001677,Female,1064
E01001677,Male,1099
E01001678,Female,918
E01001678,Male,855
E01001679,Female,691
E01001679,Male,662
E01001680,Female,765
E01001680,Male,753
E01001681,Female,680
E01001681,Male,723
E01001682,Female,725
E01001682,Male,652
E01001683,Female,805
E01001683,Male,746
E01001684,Female,757
E01001684,Male,689
E01001685,Female,811
E01001685,Male,751
E01001686,Female,924
E01001686,Male,876
E01001687,Female,646
E01001687,Male,1008
E01001688,Female,1402
E01001688,Male,1268
E01001690,Female,874
E01001690,Male,839
E01001692,Female,733
E01001692,Male,737
E01001693,Female,821
E01001693,Male,739
E01001694,Female,909
E01001694,Male,836
E01001695,Female,795
E01001695,Male,754
E01001696,Female,1375
E01001696,Male,1197
E01001697,Female,1363
E01001697,Male,1280
E01001698,Female,1002
E01001698,Male,910
E01001699,Female,789
E01001699,Male,676
E01001700,Female,1213
E01001700,Male,1156
E01001701,Female,877
E01001701,Male,886
E01001702,Female,766
E01001702,Male,719
E01001703,Female,1118
E01001703,Male,961
E01001704,Female,844
E01001704,Male,805
E01001705,Female,1149
E01001705,Male,1099
E01001708,Female,876
E01001708,Male,822
E01001710,Female,927
E01001710,Male,833
E01001712,Female,1078
E01001712,Male,1042
E01001714,Female,1005
E01001714,Male,1046
E01001715,Female,640
E01001715,Male,646
E01001716,Female,958
E01001716,Male,830
E01001717,Female,603
E01001717,Male,523
E01001718,Female,870
E01001718,Male,870
E01001719,Female,861
E01001719,Male,778
E01001720,Female,923
E01001720,Male,784
E01001722,Female,1188
E01001722,Male,1116
E01001723,Female,1010
E01001723,Male,959
E01001724,Female,1488
E01001724,Male,1406
E01001725,Female,912
E01001725,Male,920
E01001726,Female,739
E01001726,Male,588
E01001727,Female,1016
E01001727,Male,972
E01001728,Female,1042
E01001728,Male,937
E01001729,Female,1057
E01001729,Male,928
E01001730,Female,1463
E01001730,Male,1302
E01001731,Female,1394
E01001731,Male,1272
E01001732,Female,1038
E01001732,Male,862
E01001733,Female,971
E01001733,Male,901
E01001734,Female,988
E01001734,Male,847
E01001735,Female,845
E01001735,Male,725
E01001736,Female,824
E01001736,Male,725
E01001737,Female,908
E01001737,Male,860
E01001738,Female,892
E01001738,Male,848
E01001739,Female,1055
E01001739,Male,922
E01001740,Female,837
E01001740,Male,708
E01001741,Female,774
E01001741,Male,667
E01001742,Female,991
E01001742,Male,763
E01001744,Female,1049
E01001744,Male,955
E01001745,Female,1143
E01001745,Male,1016
E01001746,Female,890
E01001746,Male,796
E01001747,Female,1217
E01001747,Male,1112
E01001749,Female,783
E01001749,Male,705
E01001750,Female,1123
E01001750,Male,999
E01001751,Female,756
E01001751,Male,722
E01001753,Female,809
E01001753,Male,729
E01001755,Female,884
E01001755,Male,794
E01001756,Female,1032
E01001756,Male,1005
E01001757,Female,837
E01001757,Male,748
E01001758,Female,1331
E01001758,Male,1283
E01001759,Female,855
E01001759,Male,792
E01001760,Female,995
E01001760,Male,890
E01001761,Female,960
E01001761,Male,858
E01001762,Female,912
E01001762,Male,761
E01001763,Female,960
E01001763,Male,810
E01001764,Female,876
E01001764,Male,876
E01001765,Female,917
E01001765,Male,884
E01001767,Female,873
E01001767,Male,735
E01001768,Female,943
E01001768,Male,927
E01001769,Female,838
E01001769,Male,683
E01001770,Female,937
E01001770,Male,777
E01001772,Female,908
E01001772,Male,881
E01001773,Female,1232
E01001773,Male,1251
E01001774,Female,1044
E01001774,Male,943
E01001775,Female,916
E01001775,Male,718
E01001776,Female,902
E01001776,Male,807
E01001777,Female,1351
E01001777,Male,1282
E01001780,Female,937
E01001780,Male,879
E01001781,Female,829
E01001781,Male,773
E01001783,Female,841
E01001783,Male,765
E01001784,Female,935
E01001784,Male,836
E01001785,Female,864
E01001785,Male,729
E01001786,Female,1122
E01001786,Male,1102
E01001787,Female,846
E01001787,Male,765
E01001788,Female,811
E01001788,Male,686
E01001789,Female,983
E01001789,Male,790
E01001790,Female,800
E01001790,Male,713
E01001791,Female,760
E01001791,Male,699
E01001792,Female,983
E01001792,Male,950
E01001793,Female,889
E01001793,Male,690
E01001794,Female,1021
E01001794,Male,877
E01001795,Female,699
E01001795,Male,609
E01001796,Female,767
E01001796,Male,709
E01001798,Female,1205
E01001798,Male,1124
E01001799,Female,767
E01001799,Male,739
E01001800,Female,889
E01001800,Male,860
E01001801,Female,888
E01001801,Male,834
E01001802,Female,726
E01001802,Male,651
E01001803,Female,906
E01001803,Male,898
E01001804,Female,894
E01001804,Male,777
E01001805,Female,621
E01001805,Male,606
E01001806,Female,816
E01001806,Male,653
E01001807,Female,938
E01001807,Male,871
E01001808,Female,848
E01001808,Male,786
E01001809,Female,987
E01001809,Male,897
E01001811,Female,972
E01001811,Male,819
E01001812,Female,874
E01001812,Male,918
E01001813,Female,1073
E01001813,Male,882
E01001814,Female,844
E01001814,Male,855
E01001815,Female,924
E01001815,Male,848
E01001816,Female,835
E01001816,Male,716
E01001819,Female,811
E01001819,Male,776
E01001820,Female,736
E01001820,Male,654
E01001821,Female,735
E01001821,Male,615
E01001822,Female,1143
E01001822,Male,854
E01001823,Female,814
E01001823,Male,819
E01001824,Female,826
E01001824,Male,800
E01001825,Female,674
E01001825,Male,676
E01001826,Female,810
E01001826,Male,763
E01001827,Female,878
E01001827,Male,769
E01001828,Female,1131
E01001828,Male,922
E01001829,Female,920
E01001829,Male,836
E01001830,Female,1016
E01001830,Male,862
E01001831,Female,850
E01001831,Male,829
E01001832,Female,864
E01001832,Male,796
E01001833,Female,1118
E01001833,Male,999
E01001834,Female,1062
E01001834,Male,926
E01001835,Female,617
E01001835,Male,616
E01001836,Female,983
E01001836,Male,871
E01001837,Female,771
E01001837,Male,675
E01001838,Female,981
E01001838,Male,834
E01001839,Female,1237
E01001839,Male,1117
E01001840,Female,859
E01001840,Male,744
E01001841,Female,722
E01001841,Male,646
E01001842,Female,828
E01001842,Male,700
E01001843,Female,643
E01001843,Male,562
E01001844,Female,999
E01001844,Male,918
E01001845,Female,844
E01001845,Male,741
E01001846,Female,650
E01001846,Male,560
E01001847,Female,682
E01001847,Male,650
E01001848,Female,932
E01001848,Male,1038
E01001849,Female,1261
E01001849,Male,1188
E01001850,Female,986
E01001850,Male,859
E01001851,Female,792
E01001851,Male,673
E01001852,Female,863
E01001852,Male,766
E01001853,Female,785
E01001853,Male,712
E01001854,Female,971
E01001854,Male,789
E01001855,Female,900
E01001855,Male,762
E01001856,Female,856
E01001856,Male,789
E01001857,Female,783
E01001857,Male,763
E01001858,Female,947
E01001858,Male,807
E01001859,Female,1498
E01001859,Male,1205
E01001860,Female,908
E01001860,Male,802
E01001861,Female,737
E01001861,Male,668
E01001862,Female,902
E01001862,Male,857
E01001863,Female,735
E01001863,Male,674
E01001864,Female,770
E01001864,Male,744
E01001865,Female,833
E01001865,Male,752
E01001866,Female,809
E01001866,Male,696
E01001867,Female,629
E01001867,Male,509
E01001868,Female,695
E01001868,Male,566
E01001869,Female,692
E01001869,Male,661
E01001870,Female,914
E01001870,Male,772
E01001871,Female,794
E01001871,Male,720
E01001872,Female,721
E01001872,Male,640
E01001873,Female,811
E01001873,Male,691
E01001875,Female,983
E01001875,Male,852
E01001876,Female,1033
E01001876,Male,1339
E01001877,Female,722
E01001877,Male,638
E01001878,Female,879
E01001878,Male,739
E01001879,Female,753
E01001879,Male,698
E01001880,Female,756
E01001880,Male,712
E01001881,Female,968
E01001881,Male,908
E01001882,Female,886
E01001882,Male,758
E01001883,Female,981
E01001883,Male,888
E01001884,Female,912
E01001884,Male,888
E01001885,Female,670
E01001885,Male,606
E01001886,Female,818
E01001886,Male,704
E01001887,Female,776
E01001887,Male,682
E01001888,Female,762
E01001888,Male,789
E01001889,Female,722
E01001889,Male,667
E01001890,Female,891
E01001890,Male,823
E01001891,Female,1377
E01001891,Male,1167
E01001892,Female,710
E01001892,Male,620
E01001893,Female,802
E01001893,Male,689
E01001894,Female,739
E01001894,Male,635
E01001895,Female,766
E01001895,Male,694
E01001896,Female,705
E01001896,Male,693
E01001897,Female,694
E01001897,Male,609
E01001898,Female,1085
E01001898,Male,1005
E01001899,Female,853
E01001899,Male,746
E01001900,Female,925
E01001900,Male,788
E01001901,Female,885
E01001901,Male,766
E01001902,Female,923
E01001902,Male,734
E01001903,Female,754
E01001903,Male,682
E01001904,Female,840
E01001904,Male,777
E01001905,Female,941
E01001905,Male,717
E01001906,Female,824
E01001906,Male,629
E01001907,Female,671
E01001907,Male,576
E01001908,Female,711
E01001908,Male,668
E01001909,Female,925
E01001909,Male,838
E01001910,Female,686
E01001910,Male,649
E01001911,Female,954
E01001911,Male,756
E01001912,Female,788
E01001912,Male,666
E01001913,Female,720
E01001913,Male,666
E01001914,Female,754
E01001914,Male,750
E01001915,Female,776
E01001915,Male,677
E01001916,Female,675
E01001916,Male,549
E01001917,Female,754
E01001917,Male,741
E01001918,Female,833
E01001918,Male,677
E01001919,Female,815
E01001919,Male,730
E01001920,Female,680
E01001920,Male,769
E01001921,Female,768
E01001921,Male,683
E01001922,Female,852
E01001922,Male,773
E01001923,Female,809
E01001923,Male,708
E01001924,Female,828
E01001924,Male,717
E01001925,Female,824
E01001925,Male,748
E01001926,Female,726
E01001926,Male,631
E01001927,Female,712
E01001927,Male,652
E01001928,Female,952
E01001928,Male,854
E01001929,Female,705
E01001929,Male,642
E01001930,Female,922
E01001930,Male,814
E01001931,Female,647
E01001931,Male,649
E01001932,Female,835
E01001932,Male,757
E01001933,Female,794
E01001933,Male,702
E01001934,Female,1065
E01001934,Male,896
E01001935,Female,1139
E01001935,Male,899
E01001937,Female,946
E01001937,Male,846
E01001938,Female,837
E01001938,Male,739
E01001940,Female,831
E01001940,Male,707
E01001941,Female,786
E01001941,Male,780
E01001942,Female,935
E01001942,Male,903
E01001943,Female,1179
E01001943,Male,1084
E01001944,Female,879
E01001944,Male,801
E01001945,Female,897
E01001945,Male,768
E01001946,Female,957
E01001946,Male,920
E01001947,Female,787
E01001947,Male,630
E01001948,Female,1008
E01001948,Male,865
E01001949,Female,803
E01001949,Male,672
E01001950,Female,807
E01001950,Male,679
E01001951,Female,842
E01001951,Male,672
E01001952,Female,906
E01001952,Male,741
E01001953,Female,816
E01001953,Male,647
E01001954,Female,810
E01001954,Male,716
E01001955,Female,1122
E01001955,Male,986
E01001956,Female,832
E01001956,Male,744
E01001957,Female,861
E01001957,Male,765
E01001958,Female,953
E01001958,Male,772
E01001959,Female,1104
E01001959,Male,915
E01001960,Female,1016
E01001960,Male,778
E01001961,Female,892
E01001961,Male,685
E01001962,Female,952
E01001962,Male,871
E01001963,Female,930
E01001963,Male,870
E01001964,Female,849
E01001964,Male,779
E01001965,Female,872
E01001965,Male,764
E01001966,Female,724
E01001966,Male,686
E01001967,Female,794
E01001967,Male,701
E01001968,Female,853
E01001968,Male,797
E01001969,Female,979
E01001969,Male,987
E01001970,Female,1034
E01001970,Male,870
E01001971,Female,996
E01001971,Male,910
E01001972,Female,903
E01001972,Male,810
E01001973,Female,1334
E01001973,Male,1214
E01001974,Female,1153
E01001974,Male,1060
E01001975,Female,936
E01001975,Male,886
E01001976,Female,922
E01001976,Male,942
E01001977,Female,786
E01001977,Male,732
E01001978,Female,945
E01001978,Male,982
E01001979,Female,1214
E01001979,Male,1078
E01001980,Female,871
E01001980,Male,945
E01001981,Female,944
E01001981,Male,859
E01001982,Female,891
E01001982,Male,910
E01001983,Female,856
E01001983,Male,805
E01001984,Female,927
E01001984,Male,820
E01001985,Female,845
E01001985,Male,777
E01001986,Female,780
E01001986,Male,785
E01001987,Female,835
E01001987,Male,870
E01001988,Female,900
E01001988,Male,767
E01001989,Female,913
E01001989,Male,806
E01001990,Female,1027
E01001990,Male,923
E01001991,Female,896
E01001991,Male,767
E01001992,Female,894
E01001992,Male,857
E01001993,Female,858
E01001993,Male,811
E01001994,Female,923
E01001994,Male,886
E01001995,Female,1451
E01001995,Male,1232
E01001996,Female,754
E01001996,Male,739
E01001997,Female,976
E01001997,Male,806
E01001998,Female,989
E01001998,Male,945
E01001999,Female,1220
E01001999,Male,1216
E01002000,Female,876
E01002000,Male,885
E01002001,Female,835
E01002001,Male,761
E01002002,Female,791
E01002002,Male,900
E01002003,Female,1291
E01002003,Male,1266
E01002004,Female,928
E01002004,Male,882
E01002005,Female,764
E01002005,Male,694
E01002006,Female,796
E01002006,Male,741
E01002007,Female,772
E01002007,Male,667
E01002008,Female,705
E01002008,Male,638
E01002009,Female,731
E01002009,Male,683
E01002010,Female,871
E01002010,Male,723
E01002011,Female,910
E01002011,Male,838
E01002013,Female,727
E01002013,Male,634
E01002014,Female,871
E01002014,Male,863
E01002015,Female,747
E01002015,Male,678
E01002016,Female,1069
E01002016,Male,843
E01002017,Female,792
E01002017,Male,779
E01002018,Female,762
E01002018,Male,613
E01002019,Female,719
E01002019,Male,651
E01002020,Female,794
E01002020,Male,752
E01002021,Female,729
E01002021,Male,700
E01002022,Female,1120
E01002022,Male,1046
E01002023,Female,718
E01002023,Male,650
E01002024,Female,673
E01002024,Male,600
E01002025,Female,730
E01002025,Male,746
E01002026,Female,910
E01002026,Male,871
E01002027,Female,746
E01002027,Male,684
E01002028,Female,865
E01002028,Male,795
E01002029,Female,1046
E01002029,Male,1063
E01002030,Female,809
E01002030,Male,755
E01002031,Female,956
E01002031,Male,913
E01002032,Female,980
E01002032,Male,864
E01002033,Female,962
E01002033,Male,840
E01002034,Female,1358
E01002034,Male,1131
E01002036,Female,990
E01002036,Male,874
E01002037,Female,884
E01002037,Male,833
E01002038,Female,903
E01002038,Male,891
E01002039,Female,885
E01002039,Male,787
E01002040,Female,1168
E01002040,Male,1098
E01002041,Female,952
E01002041,Male,916
E01002042,Female,770
E01002042,Male,797
E01002043,Female,924
E01002043,Male,886
E01002044,Female,913
E01002044,Male,867
E01002045,Female,1122
E01002045,Male,1007
E01002046,Female,839
E01002046,Male,779
E01002047,Female,871
E01002047,Male,784
E01002048,Female,942
E01002048,Male,963
E01002049,Female,975
E01002049,Male,924
E01002050,Female,999
E01002050,Male,991
E01002051,Female,904
E01002051,Male,967
E01002052,Female,1081
E01002052,Male,1124
E01002053,Female,1054
E01002053,Male,971
E01002054,Female,906
E01002054,Male,787
E01002055,Female,1036
E01002055,Male,1067
E01002056,Female,1443
E01002056,Male,1478
E01002057,Female,894
E01002057,Male,900
