Lower layer Super Output Areas Code,Migrant indicator (5 categories),Observation
E01000651,Migrant from within the UK: Address one year ago was in the UK,174
E01000651,Migrant from outside the UK: Address one year ago was outside the UK,16
E01000652,Does not apply,8
E01000652,Address one year ago is the same as the address of enumeration,1563
E01000652,Address one year ago is student term-time or boarding school address in the UK,7
E01000652,Migrant from within the UK: Address one year ago was in the UK,127
E01000652,Migrant from outside the UK: Address one year ago was outside the UK,6
E01000653,Does not apply,9
E01000653,Address one year ago is the same as the address of enumeration,1427
E01000653,Address one year ago is student term-time or boarding school address in the UK,5
E01000653,Migrant from within the UK: Address one year ago was in the UK,93
E01000653,Migrant from outside the UK: Address one year ago was outside the UK,5
E01000654,Does not apply,14
E01000654,Address one year ago is the same as the address of enumeration,1200
E01000654,Address one year ago is student term-time or boarding school address in the UK,1
E01000654,Migrant from within the UK: Address one year ago was in the UK,80
E01000654,Migrant from outside the UK: Address one year ago was outside the UK,3
E01000655,Does not apply,12
E01000655,Address one year ago is the same as the address of enumeration,1223
E01000655,Address one year ago is student term-time or boarding school address in the UK,1
E01000655,Migrant from within the UK: Address one year ago was in the UK,87
E01000655,Migrant from outside the UK: Address one year ago was outside the UK,5
E01000656,Does not apply,12
E01000656,Address one year ago is the same as the address of enumeration,1406
E01000656,Address one year ago is student term-time or boarding school address in the UK,2
E01000656,Migrant from within the UK: Address one year ago was in the UK,85
E01000656,Migrant from outside the UK: Address one year ago was outside the UK,3
E01000657,Does not apply,23
E01000657,Address one year ago is the same as the address of enumeration,1420
E01000657,Address one year ago is student term-time or boarding school address in the UK,2
E01000657,Migrant from within the UK: Address one year ago was in the UK,122
E01000657,Migrant from outside the UK: Address one year ago was outside the UK,5
E01000658,Does not apply,6
E01000658,Address one year ago is the same as the address of enumeration,1255
E01000658,Address one year ago is student term-time or boarding school address in the UK,5
E01000658,Migrant from within the UK: Address one year ago was in the UK,60
E01000658,Migrant from outside the UK: Address one year ago was outside the UK,3
E01000659,Does not apply,12
E01000659,Address one year ago is the same as the address of enumeration,1366
E01000659,Address one year ago is student term-time or boarding school address in the UK,3
E01000659,Migrant from within the UK: Address one year ago was in the UK,75
E01000659,Migrant from outside the UK: Address one year ago was outside the UK,5
E01000661,Does not apply,40
E01000661,Address one year ago is the same as the address of enumeration,2470
E01000661,Address one year ago is student term-time or boarding school address in the UK,4
E01000661,Migrant from within the UK: Address one year ago was in the UK,281
E01000661,Migrant from outside the UK: Address one year ago was outside the UK,22
E01000662,Does not apply,21
E01000662,Address one year ago is the same as the address of enumeration,1675
E01000662,Address one year ago is student term-time or boarding school address in the UK,3
E01000662,Migrant from within the UK: Address one year ago was in the UK,91
E01000662,Migrant from outside the UK: Address one year ago was outside the UK,13
E01000663,Does not apply,19
E01000663,Address one year ago is the same as the address of enumeration,1552
E01000663,Address one year ago is student term-time or boarding school address in the UK,4
E01000663,Migrant from within the UK: Address one year ago was in the UK,99
E01000663,Migrant from outside the UK: Address one year ago was outside the UK,6
E01000664,Does not apply,17
E01000664,Address one year ago is the same as the address of enumeration,1526
E01000664,Address one year ago is student term-time or boarding school address in the UK,5
E01000664,Migrant from within the UK: Address one year ago was in the UK,107
E01000664,Migrant from outside the UK: Address one year ago was outside the UK,9
E01000665,Does not apply,24
E01000665,Address one year ago is the same as the address of enumeration,1695
E01000665,Address one year ago is student term-time or boarding school address in the UK,5
E01000665,Migrant from within the UK: Address one year ago was in the UK,123
E01000665,Migrant from outside the UK: Address one year ago was outside the UK,12
E01000666,Does not apply,11
E01000666,Address one year ago is the same as the address of enumeration,1727
E01000666,Address one year ago is student term-time or boarding school address in the UK,5
E01000666,Migrant from within the UK: Address one year ago was in the UK,136
E01000666,Migrant from outside the UK: Address one year ago was outside the UK,12
E01000667,Does not apply,9
E01000667,Address one year ago is the same as the address of enumeration,1554
E01000667,Address one year ago is student term-time or boarding school address in the UK,1
E01000667,Migrant from within the UK: Address one year ago was in the UK,91
E01000667,Migrant from outside the UK: Address one year ago was outside the UK,4
E01000668,Does not apply,37
E01000668,Address one year ago is the same as the address of enumeration,1948
E01000668,Address one year ago is student term-time or boarding school address in the UK,6
E01000668,Migrant from within the UK: Address one year ago was in the UK,204
E01000668,Migrant from outside the UK: Address one year ago was outside the UK,27
E01000669,Does not apply,21
E01000669,Address one year ago is the same as the address of enumeration,1540
E01000669,Address one year ago is student term-time or boarding school address in the UK,5
E01000669,Migrant from within the UK: Address one year ago was in the UK,165
E01000669,Migrant from outside the UK: Address one year ago was outside the UK,5
E01000670,Does not apply,23
E01000670,Address one year ago is the same as the address of enumeration,1632
E01000670,Address one year ago is student term-time or boarding school address in the UK,9
E01000670,Migrant from within the UK: Address one year ago was in the UK,244
E01000670,Migrant from outside the UK: Address one year ago was outside the UK,33
E01000671,Does not apply,30
E01000671,Address one year ago is the same as the address of enumeration,1909
E01000671,Address one year ago is student term-time or boarding school address in the UK,4
E01000671,Migrant from within the UK: Address one year ago was in the UK,283
E01000671,Migrant from outside the UK: Address one year ago was outside the UK,44
E01000672,Does not apply,25
E01000672,Address one year ago is the same as the address of enumeration,1478
E01000672,Address one year ago is student term-time or boarding school address in the UK,2
E01000672,Migrant from within the UK: Address one year ago was in the UK,156
E01000672,Migrant from outside the UK: Address one year ago was outside the UK,13
E01000673,Does not apply,17
E01000673,Address one year ago is the same as the address of enumeration,1492
E01000673,Address one year ago is student term-time or boarding school address in the UK,3
E01000673,Migrant from within the UK: Address one year ago was in the UK,144
E01000673,Migrant from outside the UK: Address one year ago was outside the UK,14
E01000674,Does not apply,26
E01000674,Address one year ago is the same as the address of enumeration,1472
E01000674,Address one year ago is student term-time or boarding school address in the UK,18
E01000674,Migrant from within the UK: Address one year ago was in the UK,181
E01000674,Migrant from outside the UK: Address one year ago was outside the UK,19
E01000676,Does not apply,36
E01000676,Address one year ago is the same as the address of enumeration,1588
E01000676,Address one year ago is student term-time or boarding school address in the UK,5
E01000676,Migrant from within the UK: Address one year ago was in the UK,354
E01000676,Migrant from outside the UK: Address one year ago was outside the UK,50
E01000677,Does not apply,19
E01000677,Address one year ago is the same as the address of enumeration,1660
E01000677,Address one year ago is student term-time or boarding school address in the UK,4
E01000677,Migrant from within the UK: Address one year ago was in the UK,202
E01000677,Migrant from outside the UK: Address one year ago was outside the UK,18
E01000678,Does not apply,21
E01000678,Address one year ago is the same as the address of enumeration,1655
E01000678,Address one year ago is student term-time or boarding school address in the UK,4
E01000678,Migrant from within the UK: Address one year ago was in the UK,141
E01000678,Migrant from outside the UK: Address one year ago was outside the UK,29
E01000679,Does not apply,28
E01000679,Address one year ago is the same as the address of enumeration,1633
E01000679,Address one year ago is student term-time or boarding school address in the UK,4
E01000679,Migrant from within the UK: Address one year ago was in the UK,115
E01000679,Migrant from outside the UK: Address one year ago was outside the UK,13
E01000680,Does not apply,4
E01000680,Address one year ago is the same as the address of enumeration,1510
E01000680,Address one year ago is student term-time or boarding school address in the UK,4
E01000680,Migrant from within the UK: Address one year ago was in the UK,117
E01000680,Migrant from outside the UK: Address one year ago was outside the UK,7
E01000681,Does not apply,17
E01000681,Address one year ago is the same as the address of enumeration,1615
E01000681,Address one year ago is student term-time or boarding school address in the UK,6
E01000681,Migrant from within the UK: Address one year ago was in the UK,109
E01000681,Migrant from outside the UK: Address one year ago was outside the UK,8
E01000682,Does not apply,11
E01000682,Address one year ago is the same as the address of enumeration,1495
E01000682,Address one year ago is student term-time or boarding school address in the UK,3
E01000682,Migrant from within the UK: Address one year ago was in the UK,84
E01000682,Migrant from outside the UK: Address one year ago was outside the UK,13
E01000683,Does not apply,13
E01000683,Address one year ago is the same as the address of enumeration,1522
E01000683,Address one year ago is student term-time or boarding school address in the UK,6
E01000683,Migrant from within the UK: Address one year ago was in the UK,152
E01000683,Migrant from outside the UK: Address one year ago was outside the UK,12
E01000684,Does not apply,8
E01000684,Address one year ago is the same as the address of enumeration,1922
E01000684,Address one year ago is student term-time or boarding school address in the UK,6
E01000684,Migrant from within the UK: Address one year ago was in the UK,139
E01000684,Migrant from outside the UK: Address one year ago was outside the UK,15
E01000685,Does not apply,22
E01000685,Address one year ago is the same as the address of enumeration,1436
E01000685,Address one year ago is student term-time or boarding school address in the UK,0
E01000685,Migrant from within the UK: Address one year ago was in the UK,160
E01000685,Migrant from outside the UK: Address one year ago was outside the UK,9
E01000686,Does not apply,17
E01000686,Address one year ago is the same as the address of enumeration,1409
E01000686,Address one year ago is student term-time or boarding school address in the UK,4
E01000686,Migrant from within the UK: Address one year ago was in the UK,59
E01000686,Migrant from outside the UK: Address one year ago was outside the UK,5
E01000687,Does not apply,10
E01000687,Address one year ago is the same as the address of enumeration,1415
E01000687,Address one year ago is student term-time or boarding school address in the UK,0
E01000687,Migrant from within the UK: Address one year ago was in the UK,136
E01000687,Migrant from outside the UK: Address one year ago was outside the UK,4
E01000688,Does not apply,14
E01000688,Address one year ago is the same as the address of enumeration,1289
E01000688,Address one year ago is student term-time or boarding school address in the UK,2
E01000688,Migrant from within the UK: Address one year ago was in the UK,74
E01000688,Migrant from outside the UK: Address one year ago was outside the UK,9
E01000689,Does not apply,16
E01000689,Address one year ago is the same as the address of enumeration,1448
E01000689,Address one year ago is student term-time or boarding school address in the UK,6
E01000689,Migrant from within the UK: Address one year ago was in the UK,155
E01000689,Migrant from outside the UK: Address one year ago was outside the UK,10
E01000690,Does not apply,15
E01000690,Address one year ago is the same as the address of enumeration,1295
E01000690,Address one year ago is student term-time or boarding school address in the UK,1
E01000690,Migrant from within the UK: Address one year ago was in the UK,72
E01000690,Migrant from outside the UK: Address one year ago was outside the UK,8
E01000691,Does not apply,19
E01000691,Address one year ago is the same as the address of enumeration,1375
E01000691,Address one year ago is student term-time or boarding school address in the UK,3
E01000691,Migrant from within the UK: Address one year ago was in the UK,133
E01000691,Migrant from outside the UK: Address one year ago was outside the UK,5
E01000692,Does not apply,17
E01000692,Address one year ago is the same as the address of enumeration,1540
E01000692,Address one year ago is student term-time or boarding school address in the UK,6
E01000692,Migrant from within the UK: Address one year ago was in the UK,100
E01000692,Migrant from outside the UK: Address one year ago was outside the UK,7
E01000693,Does not apply,13
E01000693,Address one year ago is the same as the address of enumeration,1341
E01000693,Address one year ago is student term-time or boarding school address in the UK,6
E01000693,Migrant from within the UK: Address one year ago was in the UK,127
E01000693,Migrant from outside the UK: Address one year ago was outside the UK,25
E01000694,Does not apply,31
E01000694,Address one year ago is the same as the address of enumeration,2049
E01000694,Address one year ago is student term-time or boarding school address in the UK,5
E01000694,Migrant from within the UK: Address one year ago was in the UK,200
E01000694,Migrant from outside the UK: Address one year ago was outside the UK,13
E01000695,Does not apply,9
E01000695,Address one year ago is the same as the address of enumeration,1390
E01000695,Address one year ago is student term-time or boarding school address in the UK,5
E01000695,Migrant from within the UK: Address one year ago was in the UK,108
E01000695,Migrant from outside the UK: Address one year ago was outside the UK,6
E01000696,Does not apply,18
E01000696,Address one year ago is the same as the address of enumeration,1489
E01000696,Address one year ago is student term-time or boarding school address in the UK,4
E01000696,Migrant from within the UK: Address one year ago was in the UK,119
E01000696,Migrant from outside the UK: Address one year ago was outside the UK,6
E01000697,Does not apply,16
E01000697,Address one year ago is the same as the address of enumeration,1502
E01000697,Address one year ago is student term-time or boarding school address in the UK,5
E01000697,Migrant from within the UK: Address one year ago was in the UK,240
E01000697,Migrant from outside the UK: Address one year ago was outside the UK,21
E01000698,Does not apply,10
E01000698,Address one year ago is the same as the address of enumeration,1084
E01000698,Address one year ago is student term-time or boarding school address in the UK,2
E01000698,Migrant from within the UK: Address one year ago was in the UK,95
E01000698,Migrant from outside the UK: Address one year ago was outside the UK,2
E01000699,Does not apply,22
E01000699,Address one year ago is the same as the address of enumeration,1259
E01000699,Address one year ago is student term-time or boarding school address in the UK,2
E01000699,Migrant from within the UK: Address one year ago was in the UK,160
E01000699,Migrant from outside the UK: Address one year ago was outside the UK,9
E01000700,Does not apply,16
E01000700,Address one year ago is the same as the address of enumeration,1357
E01000700,Address one year ago is student term-time or boarding school address in the UK,2
E01000700,Migrant from within the UK: Address one year ago was in the UK,134
E01000700,Migrant from outside the UK: Address one year ago was outside the UK,10
E01000701,Does not apply,31
E01000701,Address one year ago is the same as the address of enumeration,1246
E01000701,Address one year ago is student term-time or boarding school address in the UK,2
E01000701,Migrant from within the UK: Address one year ago was in the UK,147
E01000701,Migrant from outside the UK: Address one year ago was outside the UK,12
E01000702,Does not apply,19
E01000702,Address one year ago is the same as the address of enumeration,1277
E01000702,Address one year ago is student term-time or boarding school address in the UK,2
E01000702,Migrant from within the UK: Address one year ago was in the UK,132
E01000702,Migrant from outside the UK: Address one year ago was outside the UK,3
E01000703,Does not apply,20
E01000703,Address one year ago is the same as the address of enumeration,1515
E01000703,Address one year ago is student term-time or boarding school address in the UK,4
E01000703,Migrant from within the UK: Address one year ago was in the UK,182
E01000703,Migrant from outside the UK: Address one year ago was outside the UK,10
E01000704,Does not apply,22
E01000704,Address one year ago is the same as the address of enumeration,1358
E01000704,Address one year ago is student term-time or boarding school address in the UK,4
E01000704,Migrant from within the UK: Address one year ago was in the UK,82
E01000704,Migrant from outside the UK: Address one year ago was outside the UK,7
E01000705,Does not apply,16
E01000705,Address one year ago is the same as the address of enumeration,1204
E01000705,Address one year ago is student term-time or boarding school address in the UK,2
E01000705,Migrant from within the UK: Address one year ago was in the UK,122
E01000705,Migrant from outside the UK: Address one year ago was outside the UK,12
E01000706,Does not apply,13
E01000706,Address one year ago is the same as the address of enumeration,1248
E01000706,Address one year ago is student term-time or boarding school address in the UK,0
E01000706,Migrant from within the UK: Address one year ago was in the UK,111
E01000706,Migrant from outside the UK: Address one year ago was outside the UK,1
E01000707,Does not apply,23
E01000707,Address one year ago is the same as the address of enumeration,1340
E01000707,Address one year ago is student term-time or boarding school address in the UK,4
E01000707,Migrant from within the UK: Address one year ago was in the UK,125
E01000707,Migrant from outside the UK: Address one year ago was outside the UK,15
E01000708,Does not apply,20
E01000708,Address one year ago is the same as the address of enumeration,1527
E01000708,Address one year ago is student term-time or boarding school address in the UK,3
E01000708,Migrant from within the UK: Address one year ago was in the UK,134
E01000708,Migrant from outside the UK: Address one year ago was outside the UK,6
E01000709,Does not apply,16
E01000709,Address one year ago is the same as the address of enumeration,1201
E01000709,Address one year ago is student term-time or boarding school address in the UK,3
E01000709,Migrant from within the UK: Address one year ago was in the UK,144
E01000709,Migrant from outside the UK: Address one year ago was outside the UK,7
E01000710,Does not apply,51
E01000710,Address one year ago is the same as the address of enumeration,1989
E01000710,Address one year ago is student term-time or boarding school address in the UK,3
E01000710,Migrant from within the UK: Address one year ago was in the UK,292
E01000710,Migrant from outside the UK: Address one year ago was outside the UK,24
E01000711,Does not apply,29
E01000711,Address one year ago is the same as the address of enumeration,1594
E01000711,Address one year ago is student term-time or boarding school address in the UK,0
E01000711,Migrant from within the UK: Address one year ago was in the UK,250
E01000711,Migrant from outside the UK: Address one year ago was outside the UK,7
E01000712,Does not apply,24
E01000712,Address one year ago is the same as the address of enumeration,1514
E01000712,Address one year ago is student term-time or boarding school address in the UK,7
E01000712,Migrant from within the UK: Address one year ago was in the UK,231
E01000712,Migrant from outside the UK: Address one year ago was outside the UK,18
E01000713,Does not apply,16
E01000713,Address one year ago is the same as the address of enumeration,1574
E01000713,Address one year ago is student term-time or boarding school address in the UK,6
E01000713,Migrant from within the UK: Address one year ago was in the UK,238
E01000713,Migrant from outside the UK: Address one year ago was outside the UK,16
E01000714,Does not apply,32
E01000714,Address one year ago is the same as the address of enumeration,1782
E01000714,Address one year ago is student term-time or boarding school address in the UK,10
E01000714,Migrant from within the UK: Address one year ago was in the UK,306
E01000714,Migrant from outside the UK: Address one year ago was outside the UK,38
E01000715,Does not apply,15
E01000715,Address one year ago is the same as the address of enumeration,1546
E01000715,Address one year ago is student term-time or boarding school address in the UK,0
E01000715,Migrant from within the UK: Address one year ago was in the UK,182
E01000715,Migrant from outside the UK: Address one year ago was outside the UK,18
E01000716,Does not apply,10
E01000716,Address one year ago is the same as the address of enumeration,1480
E01000716,Address one year ago is student term-time or boarding school address in the UK,6
E01000716,Migrant from within the UK: Address one year ago was in the UK,146
E01000716,Migrant from outside the UK: Address one year ago was outside the UK,9
E01000717,Does not apply,28
E01000717,Address one year ago is the same as the address of enumeration,1464
E01000717,Address one year ago is student term-time or boarding school address in the UK,3
E01000717,Migrant from within the UK: Address one year ago was in the UK,200
E01000717,Migrant from outside the UK: Address one year ago was outside the UK,7
E01000718,Does not apply,25
E01000718,Address one year ago is the same as the address of enumeration,1793
E01000718,Address one year ago is student term-time or boarding school address in the UK,10
E01000718,Migrant from within the UK: Address one year ago was in the UK,213
E01000718,Migrant from outside the UK: Address one year ago was outside the UK,18
E01000719,Does not apply,19
E01000719,Address one year ago is the same as the address of enumeration,1932
E01000719,Address one year ago is student term-time or boarding school address in the UK,5
E01000719,Migrant from within the UK: Address one year ago was in the UK,150
E01000719,Migrant from outside the UK: Address one year ago was outside the UK,11
E01000720,Does not apply,22
E01000720,Address one year ago is the same as the address of enumeration,1653
E01000720,Address one year ago is student term-time or boarding school address in the UK,4
E01000720,Migrant from within the UK: Address one year ago was in the UK,116
E01000720,Migrant from outside the UK: Address one year ago was outside the UK,6
E01000721,Does not apply,32
E01000721,Address one year ago is the same as the address of enumeration,1454
E01000721,Address one year ago is student term-time or boarding school address in the UK,6
E01000721,Migrant from within the UK: Address one year ago was in the UK,108
E01000721,Migrant from outside the UK: Address one year ago was outside the UK,4
E01000722,Does not apply,27
E01000722,Address one year ago is the same as the address of enumeration,1660
E01000722,Address one year ago is student term-time or boarding school address in the UK,5
E01000722,Migrant from within the UK: Address one year ago was in the UK,150
E01000722,Migrant from outside the UK: Address one year ago was outside the UK,8
E01000723,Does not apply,15
E01000723,Address one year ago is the same as the address of enumeration,1121
E01000723,Address one year ago is student term-time or boarding school address in the UK,3
E01000723,Migrant from within the UK: Address one year ago was in the UK,95
E01000723,Migrant from outside the UK: Address one year ago was outside the UK,6
E01000724,Does not apply,41
E01000724,Address one year ago is the same as the address of enumeration,1545
E01000724,Address one year ago is student term-time or boarding school address in the UK,3
E01000724,Migrant from within the UK: Address one year ago was in the UK,73
E01000724,Migrant from outside the UK: Address one year ago was outside the UK,14
E01000725,Does not apply,29
E01000725,Address one year ago is the same as the address of enumeration,1566
E01000725,Address one year ago is student term-time or boarding school address in the UK,0
E01000725,Migrant from within the UK: Address one year ago was in the UK,145
E01000725,Migrant from outside the UK: Address one year ago was outside the UK,10
E01000726,Does not apply,16
E01000726,Address one year ago is the same as the address of enumeration,1162
E01000726,Address one year ago is student term-time or boarding school address in the UK,0
E01000726,Migrant from within the UK: Address one year ago was in the UK,112
E01000726,Migrant from outside the UK: Address one year ago was outside the UK,14
E01000727,Does not apply,22
E01000727,Address one year ago is the same as the address of enumeration,1478
E01000727,Address one year ago is student term-time or boarding school address in the UK,0
E01000727,Migrant from within the UK: Address one year ago was in the UK,179
E01000727,Migrant from outside the UK: Address one year ago was outside the UK,11
E01000728,Does not apply,16
E01000728,Address one year ago is the same as the address of enumeration,1496
E01000728,Address one year ago is student term-time or boarding school address in the UK,5
E01000728,Migrant from within the UK: Address one year ago was in the UK,101
E01000728,Migrant from outside the UK: Address one year ago was outside the UK,8
E01000729,Does not apply,21
E01000729,Address one year ago is the same as the address of enumeration,1778
E01000729,Address one year ago is student term-time or boarding school address in the UK,3
E01000729,Migrant from within the UK: Address one year ago was in the UK,142
E01000729,Migrant from outside the UK: Address one year ago was outside the UK,15
E01000730,Does not apply,17
E01000730,Address one year ago is the same as the address of enumeration,1690
E01000730,Address one year ago is student term-time or boarding school address in the UK,4
E01000730,Migrant from within the UK: Address one year ago was in the UK,87
E01000730,Migrant from outside the UK: Address one year ago was outside the UK,10
E01000731,Does not apply,20
E01000731,Address one year ago is the same as the address of enumeration,1282
E01000731,Address one year ago is student term-time or boarding school address in the UK,1
E01000731,Migrant from within the UK: Address one year ago was in the UK,74
E01000731,Migrant from outside the UK: Address one year ago was outside the UK,5
E01000732,Does not apply,22
E01000732,Address one year ago is the same as the address of enumeration,1368
E01000732,Address one year ago is student term-time or boarding school address in the UK,3
E01000732,Migrant from within the UK: Address one year ago was in the UK,114
E01000732,Migrant from outside the UK: Address one year ago was outside the UK,8
E01000733,Does not apply,13
E01000733,Address one year ago is the same as the address of enumeration,1543
E01000733,Address one year ago is student term-time or boarding school address in the UK,6
E01000733,Migrant from within the UK: Address one year ago was in the UK,104
E01000733,Migrant from outside the UK: Address one year ago was outside the UK,9
E01000734,Does not apply,17
E01000734,Address one year ago is the same as the address of enumeration,1275
E01000734,Address one year ago is student term-time or boarding school address in the UK,5
E01000734,Migrant from within the UK: Address one year ago was in the UK,83
E01000734,Migrant from outside the UK: Address one year ago was outside the UK,8
E01000735,Does not apply,15
E01000735,Address one year ago is the same as the address of enumeration,1455
E01000735,Address one year ago is student term-time or boarding school address in the UK,1
E01000735,Migrant from within the UK: Address one year ago was in the UK,69
E01000735,Migrant from outside the UK: Address one year ago was outside the UK,9
E01000736,Does not apply,14
E01000736,Address one year ago is the same as the address of enumeration,1493
E01000736,Address one year ago is student term-time or boarding school address in the UK,6
E01000736,Migrant from within the UK: Address one year ago was in the UK,118
E01000736,Migrant from outside the UK: Address one year ago was outside the UK,5
E01000737,Does not apply,17
E01000737,Address one year ago is the same as the address of enumeration,1288
E01000737,Address one year ago is student term-time or boarding school address in the UK,2
E01000737,Migrant from within the UK: Address one year ago was in the UK,96
E01000737,Migrant from outside the UK: Address one year ago was outside the UK,1
E01000738,Does not apply,18
E01000738,Address one year ago is the same as the address of enumeration,1549
E01000738,Address one year ago is student term-time or boarding school address in the UK,6
E01000738,Migrant from within the UK: Address one year ago was in the UK,107
E01000738,Migrant from outside the UK: Address one year ago was outside the UK,9
E01000739,Does not apply,20
E01000739,Address one year ago is the same as the address of enumeration,1536
E01000739,Address one year ago is student term-time or boarding school address in the UK,4
E01000739,Migrant from within the UK: Address one year ago was in the UK,113
E01000739,Migrant from outside the UK: Address one year ago was outside the UK,2
E01000741,Does not apply,56
E01000741,Address one year ago is the same as the address of enumeration,1473
E01000741,Address one year ago is student term-time or boarding school address in the UK,6
E01000741,Migrant from within the UK: Address one year ago was in the UK,270
E01000741,Migrant from outside the UK: Address one year ago was outside the UK,14
E01000742,Does not apply,26
E01000742,Address one year ago is the same as the address of enumeration,1818
E01000742,Address one year ago is student term-time or boarding school address in the UK,2
E01000742,Migrant from within the UK: Address one year ago was in the UK,254
E01000742,Migrant from outside the UK: Address one year ago was outside the UK,19
E01000743,Does not apply,20
E01000743,Address one year ago is the same as the address of enumeration,1604
E01000743,Address one year ago is student term-time or boarding school address in the UK,5
E01000743,Migrant from within the UK: Address one year ago was in the UK,223
E01000743,Migrant from outside the UK: Address one year ago was outside the UK,16
E01000744,Does not apply,15
E01000744,Address one year ago is the same as the address of enumeration,1404
E01000744,Address one year ago is student term-time or boarding school address in the UK,1
E01000744,Migrant from within the UK: Address one year ago was in the UK,125
E01000744,Migrant from outside the UK: Address one year ago was outside the UK,14
E01000745,Does not apply,21
E01000745,Address one year ago is the same as the address of enumeration,1617
E01000745,Address one year ago is student term-time or boarding school address in the UK,4
E01000745,Migrant from within the UK: Address one year ago was in the UK,217
E01000745,Migrant from outside the UK: Address one year ago was outside the UK,24
E01000746,Does not apply,50
E01000746,Address one year ago is the same as the address of enumeration,1734
E01000746,Address one year ago is student term-time or boarding school address in the UK,5
E01000746,Migrant from within the UK: Address one year ago was in the UK,213
E01000746,Migrant from outside the UK: Address one year ago was outside the UK,19
E01000747,Does not apply,20
E01000747,Address one year ago is the same as the address of enumeration,1874
E01000747,Address one year ago is student term-time or boarding school address in the UK,5
E01000747,Migrant from within the UK: Address one year ago was in the UK,117
E01000747,Migrant from outside the UK: Address one year ago was outside the UK,11
E01000748,Does not apply,12
E01000748,Address one year ago is the same as the address of enumeration,1561
E01000748,Address one year ago is student term-time or boarding school address in the UK,3
E01000748,Migrant from within the UK: Address one year ago was in the UK,102
E01000748,Migrant from outside the UK: Address one year ago was outside the UK,7
E01000749,Does not apply,8
E01000749,Address one year ago is the same as the address of enumeration,1524
E01000749,Address one year ago is student term-time or boarding school address in the UK,2
E01000749,Migrant from within the UK: Address one year ago was in the UK,112
E01000749,Migrant from outside the UK: Address one year ago was outside the UK,5
E01000750,Does not apply,7
E01000750,Address one year ago is the same as the address of enumeration,1330
E01000750,Address one year ago is student term-time or boarding school address in the UK,3
E01000750,Migrant from within the UK: Address one year ago was in the UK,113
E01000750,Migrant from outside the UK: Address one year ago was outside the UK,3
E01000751,Does not apply,28
E01000751,Address one year ago is the same as the address of enumeration,2035
E01000751,Address one year ago is student term-time or boarding school address in the UK,2
E01000751,Migrant from within the UK: Address one year ago was in the UK,184
E01000751,Migrant from outside the UK: Address one year ago was outside the UK,19
E01000752,Does not apply,11
E01000752,Address one year ago is the same as the address of enumeration,1595
E01000752,Address one year ago is student term-time or boarding school address in the UK,3
E01000752,Migrant from within the UK: Address one year ago was in the UK,125
E01000752,Migrant from outside the UK: Address one year ago was outside the UK,13
E01000753,Does not apply,10
E01000753,Address one year ago is the same as the address of enumeration,1788
E01000753,Address one year ago is student term-time or boarding school address in the UK,4
E01000753,Migrant from within the UK: Address one year ago was in the UK,118
E01000753,Migrant from outside the UK: Address one year ago was outside the UK,15
E01000754,Does not apply,17
E01000754,Address one year ago is the same as the address of enumeration,1591
E01000754,Address one year ago is student term-time or boarding school address in the UK,1
E01000754,Migrant from within the UK: Address one year ago was in the UK,142
E01000754,Migrant from outside the UK: Address one year ago was outside the UK,19
E01000755,Does not apply,17
E01000755,Address one year ago is the same as the address of enumeration,1511
E01000755,Address one year ago is student term-time or boarding school address in the UK,9
E01000755,Migrant from within the UK: Address one year ago was in the UK,100
E01000755,Migrant from outside the UK: Address one year ago was outside the UK,3
E01000756,Does not apply,12
E01000756,Address one year ago is the same as the address of enumeration,1564
E01000756,Address one year ago is student term-time or boarding school address in the UK,2
E01000756,Migrant from within the UK: Address one year ago was in the UK,117
E01000756,Migrant from outside the UK: Address one year ago was outside the UK,14
E01000757,Does not apply,6
E01000757,Address one year ago is the same as the address of enumeration,1475
E01000757,Address one year ago is student term-time or boarding school address in the UK,8
E01000757,Migrant from within the UK: Address one year ago was in the UK,74
E01000757,Migrant from outside the UK: Address one year ago was outside the UK,8
E01000758,Does not apply,7
E01000758,Address one year ago is the same as the address of enumeration,1318
E01000758,Address one year ago is student term-time or boarding school address in the UK,5
E01000758,Migrant from within the UK: Address one year ago was in the UK,109
E01000758,Migrant from outside the UK: Address one year ago was outside the UK,12
E01000759,Does not apply,5
E01000759,Address one year ago is the same as the address of enumeration,1537
E01000759,Address one year ago is student term-time or boarding school address in the UK,6
E01000759,Migrant from within the UK: Address one year ago was in the UK,91
E01000759,Migrant from outside the UK: Address one year ago was outside the UK,6
E01000760,Does not apply,15
E01000760,Address one year ago is the same as the address of enumeration,1461
E01000760,Address one year ago is student term-time or boarding school address in the UK,4
E01000760,Migrant from within the UK: Address one year ago was in the UK,146
E01000760,Migrant from outside the UK: Address one year ago was outside the UK,3
E01000761,Does not apply,9
E01000761,Address one year ago is the same as the address of enumeration,1446
E01000761,Address one year ago is student term-time or boarding school address in the UK,7
E01000761,Migrant from within the UK: Address one year ago was in the UK,81
E01000761,Migrant from outside the UK: Address one year ago was outside the UK,2
E01000762,Does not apply,23
E01000762,Address one year ago is the same as the address of enumeration,1551
E01000762,Address one year ago is student term-time or boarding school address in the UK,3
E01000762,Migrant from within the UK: Address one year ago was in the UK,165
E01000762,Migrant from outside the UK: Address one year ago was outside the UK,6
E01000763,Does not apply,9
E01000763,Address one year ago is the same as the address of enumeration,1354
E01000763,Address one year ago is student term-time or boarding school address in the UK,6
