Lower layer Super Output Areas Code,Over 30 with no qualifications,Observation
E01000189,Over 30 no qualifications,220
E01000190,Over 30 no qualifications,157
E01000191,Over 30 no qualifications,168
E01000192,Over 30 no qualifications,229
E01000193,Over 30 no qualifications,226
E01000194,Over 30 no qualifications,264
E01000195,Over 30 no qualifications,296
E01000196,Over 30 no qualifications,252
E01000197,Over 30 no qualifications,176
E01000198,Over 30 no qualifications,146
E01000199,Over 30 no qualifications,141
E01000200,Over 30 no qualifications,202
E01000201,Over 30 no qualifications,115
E01000202,Over 30 no qualifications,113
E01000203,Over 30 no qualifications,228
E01000204,Over 30 no qualifications,126
E01000205,Over 30 no qualifications,86
E01000206,Over 30 no qualifications,123
E01000207,Over 30 no qualifications,84
E01000208,Over 30 no qualifications,78
E01000209,Over 30 no qualifications,100
E01000210,Over 30 no qualifications,62
E01000211,Over 30 no qualifications,229
E01000212,Over 30 no qualifications,96
E01000213,Over 30 no qualifications,53
E01000214,Over 30 no qualifications,98
E01000215,Over 30 no qualifications,193
E01000216,Over 30 no qualifications,138
E01000217,Over 30 no qualifications,167
E01000218,Over 30 no qualifications,164
E01000219,Over 30 no qualifications,229
E01000220,Over 30 no qualifications,233
E01000221,Over 30 no qualifications,218
E01000222,Over 30 no qualifications,240
E01000223,Over 30 no qualifications,316
E01000224,Over 30 no qualifications,257
E01000225,Over 30 no qualifications,152
E01000226,Over 30 no qualifications,270
E01000227,Over 30 no qualifications,236
E01000228,Over 30 no qualifications,134
E01000229,Over 30 no qualifications,210
E01000230,Over 30 no qualifications,201
E01000231,Over 30 no qualifications,161
E01000232,Over 30 no qualifications,176
E01000233,Over 30 no qualifications,188
E01000234,Over 30 no qualifications,137
E01000235,Over 30 no qualifications,195
E01000236,Over 30 no qualifications,157
E01000237,Over 30 no qualifications,164
E01000238,Over 30 no qualifications,177
E01000239,Over 30 no qualifications,237
E01000240,Over 30 no qualifications,198
E01000241,Over 30 no qualifications,136
E01000242,Over 30 no qualifications,164
E01000243,Over 30 no qualifications,196
E01000244,Over 30 no qualifications,180
E01000245,Over 30 no qualifications,303
E01000246,Over 30 no qualifications,116
E01000247,Over 30 no qualifications,97
E01000248,Over 30 no qualifications,109
E01000249,Over 30 no qualifications,103
E01000250,Over 30 no qualifications,269
E01000251,Over 30 no qualifications,262
E01000252,Over 30 no qualifications,166
E01000253,Over 30 no qualifications,176
E01000254,Over 30 no qualifications,109
E01000255,Over 30 no qualifications,195
E01000256,Over 30 no qualifications,170
E01000257,Over 30 no qualifications,244
E01000258,Over 30 no qualifications,214
E01000259,Over 30 no qualifications,231
E01000260,Over 30 no qualifications,212
E01000261,Over 30 no qualifications,134
E01000263,Over 30 no qualifications,79
E01000264,Over 30 no qualifications,187
E01000265,Over 30 no qualifications,202
E01000266,Over 30 no qualifications,107
E01000267,Over 30 no qualifications,125
E01000268,Over 30 no qualifications,180
E01000269,Over 30 no qualifications,144
E01000270,Over 30 no qualifications,129
E01000271,Over 30 no qualifications,152
E01000272,Over 30 no qualifications,146
E01000273,Over 30 no qualifications,196
E01000274,Over 30 no qualifications,221
E01000275,Over 30 no qualifications,177
E01000276,Over 30 no qualifications,94
E01000277,Over 30 no qualifications,170
E01000278,Over 30 no qualifications,91
E01000279,Over 30 no qualifications,98
E01000280,Over 30 no qualifications,83
E01000281,Over 30 no qualifications,114
E01000282,Over 30 no qualifications,160
E01000283,Over 30 no qualifications,87
E01000284,Over 30 no qualifications,225
E01000285,Over 30 no qualifications,174
E01000286,Over 30 no qualifications,285
