Lower layer Super Output Areas Code,Over 30 with no qualifications,Observation
E01001202,Over 30 no qualifications,302
E01001203,Over 30 no qualifications,202
E01001204,Over 30 no qualifications,99
E01001205,Over 30 no qualifications,199
E01001206,Over 30 no qualifications,221
E01001207,Over 30 no qualifications,116
E01001208,Over 30 no qualifications,72
E01001209,Over 30 no qualifications,78
E01001210,Over 30 no qualifications,307
E01001211,Over 30 no qualifications,113
E01001212,Over 30 no qualifications,120
E01001213,Over 30 no qualifications,435
E01001214,Over 30 no qualifications,371
E01001215,Over 30 no qualifications,397
E01001216,Over 30 no qualifications,348
E01001217,Over 30 no qualifications,234
E01001218,Over 30 no qualifications,338
E01001219,Over 30 no qualifications,425
E01001220,Over 30 no qualifications,280
E01001223,Over 30 no qualifications,87
E01001224,Over 30 no qualifications,73
E01001225,Over 30 no qualifications,131
E01001226,Over 30 no qualifications,90
E01001227,Over 30 no qualifications,93
E01001228,Over 30 no qualifications,106
E01001229,Over 30 no qualifications,198
E01001230,Over 30 no qualifications,67
E01001231,Over 30 no qualifications,138
E01001232,Over 30 no qualifications,196
E01001233,Over 30 no qualifications,170
E01001234,Over 30 no qualifications,69
E01001235,Over 30 no qualifications,93
E01001236,Over 30 no qualifications,99
E01001237,Over 30 no qualifications,146
E01001239,Over 30 no qualifications,212
E01001240,Over 30 no qualifications,222
E01001241,Over 30 no qualifications,220
E01001242,Over 30 no qualifications,164
E01001243,Over 30 no qualifications,240
E01001244,Over 30 no qualifications,325
E01001245,Over 30 no qualifications,142
E01001246,Over 30 no qualifications,282
E01001247,Over 30 no qualifications,304
E01001248,Over 30 no qualifications,225
E01001249,Over 30 no qualifications,288
E01001250,Over 30 no qualifications,264
E01001251,Over 30 no qualifications,129
E01001252,Over 30 no qualifications,279
E01001253,Over 30 no qualifications,167
E01001254,Over 30 no qualifications,162
E01001255,Over 30 no qualifications,128
E01001257,Over 30 no qualifications,307
E01001258,Over 30 no qualifications,268
E01001259,Over 30 no qualifications,253
E01001260,Over 30 no qualifications,291
E01001261,Over 30 no qualifications,355
E01001262,Over 30 no qualifications,303
E01001263,Over 30 no qualifications,290
E01001264,Over 30 no qualifications,251
E01001265,Over 30 no qualifications,239
E01001266,Over 30 no qualifications,244
E01001267,Over 30 no qualifications,313
E01001268,Over 30 no qualifications,231
E01001269,Over 30 no qualifications,263
E01001270,Over 30 no qualifications,191
E01001271,Over 30 no qualifications,267
E01001272,Over 30 no qualifications,238
E01001273,Over 30 no qualifications,112
E01001274,Over 30 no qualifications,137
E01001275,Over 30 no qualifications,119
E01001276,Over 30 no qualifications,197
E01001277,Over 30 no qualifications,247
E01001278,Over 30 no qualifications,232
E01001279,Over 30 no qualifications,55
E01001280,Over 30 no qualifications,129
E01001281,Over 30 no qualifications,88
E01001282,Over 30 no qualifications,289
E01001283,Over 30 no qualifications,298
E01001284,Over 30 no qualifications,172
E01001285,Over 30 no qualifications,220
E01001286,Over 30 no qualifications,211
E01001287,Over 30 no qualifications,234
E01001288,Over 30 no qualifications,118
E01001289,Over 30 no qualifications,95
E01001290,Over 30 no qualifications,132
E01001291,Over 30 no qualifications,289
E01001292,Over 30 no qualifications,281
E01001293,Over 30 no qualifications,326
E01001294,Over 30 no qualifications,414
E01001295,Over 30 no qualifications,317
E01001296,Over 30 no qualifications,275
E01001297,Over 30 no qualifications,393
E01001298,Over 30 no qualifications,436
E01001299,Over 30 no qualifications,133
E01001300,Over 30 no qualifications,83
E01001301,Over 30 no qualifications,181
E01001302,Over 30 no qualifications,97
E01001303,Over 30 no qualifications,85
E01001304,Over 30 no qualifications,98
E01001305,Over 30 no qualifications,106
E01001306,Over 30 no qualifications,80
E01001307,Over 30 no qualifications,222
E01001308,Over 30 no qualifications,249
E01001309,Over 30 no qualifications,232
E01001310,Over 30 no qualifications,256
E01001311,Over 30 no qualifications,369
E01001312,Over 30 no qualifications,295
E01001313,Over 30 no qualifications,249
E01001314,Over 30 no qualifications,198
E01001315,Over 30 no qualifications,214
E01001316,Over 30 no qualifications,230
E01001317,Over 30 no qualifications,300
E01001318,Over 30 no qualifications,330
E01001319,Over 30 no qualifications,226
E01001320,Over 30 no qualifications,269
E01001321,Over 30 no qualifications,346
E01001322,Over 30 no qualifications,282
E01001323,Over 30 no qualifications,283
E01001324,Over 30 no qualifications,218
E01001325,Over 30 no qualifications,357
E01001326,Over 30 no qualifications,309
E01001327,Over 30 no qualifications,297
E01001328,Over 30 no qualifications,292
E01001329,Over 30 no qualifications,294
E01001330,Over 30 no qualifications,312
E01001331,Over 30 no qualifications,297
E01001332,Over 30 no qualifications,245
E01001333,Over 30 no qualifications,533
E01001334,Over 30 no qualifications,378
E01001335,Over 30 no qualifications,323
E01001336,Over 30 no qualifications,327
E01001337,Over 30 no qualifications,240
E01001338,Over 30 no qualifications,395
E01001339,Over 30 no qualifications,283
E01001340,Over 30 no qualifications,207
E01001341,Over 30 no qualifications,261
E01001342,Over 30 no qualifications,323
E01001343,Over 30 no qualifications,203
E01001344,Over 30 no qualifications,301
E01001345,Over 30 no qualifications,280
E01001346,Over 30 no qualifications,249
E01001347,Over 30 no qualifications,296
E01001348,Over 30 no qualifications,208
E01001349,Over 30 no qualifications,228
E01001350,Over 30 no qualifications,131
E01001351,Over 30 no qualifications,242
E01001352,Over 30 no qualifications,124
E01001353,Over 30 no qualifications,122
E01001354,Over 30 no qualifications,208
E01001355,Over 30 no qualifications,202
E01001356,Over 30 no qualifications,217
E01001357,Over 30 no qualifications,242
E01001358,Over 30 no qualifications,164
E01001359,Over 30 no qualifications,573
E01001360,Over 30 no qualifications,466
E01001361,Over 30 no qualifications,466
E01001362,Over 30 no qualifications,569
E01001363,Over 30 no qualifications,418
E01001364,Over 30 no qualifications,416
E01001365,Over 30 no qualifications,547
E01001366,Over 30 no qualifications,454
E01001367,Over 30 no qualifications,579
E01001368,Over 30 no qualifications,396
E01001369,Over 30 no qualifications,482
E01001370,Over 30 no qualifications,454
E01001371,Over 30 no qualifications,464
E01001372,Over 30 no qualifications,508
E01001373,Over 30 no qualifications,450
E01001374,Over 30 no qualifications,114
E01001375,Over 30 no qualifications,73
E01001376,Over 30 no qualifications,153
E01001377,Over 30 no qualifications,64
E01001379,Over 30 no qualifications,59
E01001380,Over 30 no qualifications,106
E01001381,Over 30 no qualifications,151
E01001382,Over 30 no qualifications,57
E01001383,Over 30 no qualifications,120
E01001384,Over 30 no qualifications,122
E01001385,Over 30 no qualifications,93
E01001386,Over 30 no qualifications,82
E01001387,Over 30 no qualifications,100
E01001388,Over 30 no qualifications,188
E01001389,Over 30 no qualifications,187
E01001390,Over 30 no qualifications,199
E01001391,Over 30 no qualifications,239
E01001392,Over 30 no qualifications,200
E01001393,Over 30 no qualifications,210
E01001394,Over 30 no qualifications,364
E01001395,Over 30 no qualifications,273
E01001396,Over 30 no qualifications,262
E01001397,Over 30 no qualifications,374
E01001398,Over 30 no qualifications,120
E01001399,Over 30 no qualifications,198
E01001400,Over 30 no qualifications,239
E01001401,Over 30 no qualifications,194
E01001402,Over 30 no qualifications,245
E01001403,Over 30 no qualifications,269
E01001404,Over 30 no qualifications,220
E01001405,Over 30 no qualifications,316
E01001406,Over 30 no qualifications,195
E01001407,Over 30 no qualifications,194
E01001408,Over 30 no qualifications,166
E01001409,Over 30 no qualifications,269
E01001410,Over 30 no qualifications,324
E01001411,Over 30 no qualifications,147
E01001412,Over 30 no qualifications,309
E01001413,Over 30 no qualifications,195
E01001414,Over 30 no qualifications,291
E01001415,Over 30 no qualifications,299
E01001416,Over 30 no qualifications,160
E01001417,Over 30 no qualifications,213
E01001418,Over 30 no qualifications,248
E01001419,Over 30 no qualifications,259
E01001420,Over 30 no qualifications,290
E01001421,Over 30 no qualifications,247
E01001422,Over 30 no qualifications,140
E01001423,Over 30 no qualifications,333
E01001424,Over 30 no qualifications,211
E01001425,Over 30 no qualifications,367
E01001426,Over 30 no qualifications,361
E01001427,Over 30 no qualifications,360
E01001428,Over 30 no qualifications,325
E01001429,Over 30 no qualifications,515
E01001430,Over 30 no qualifications,372
E01001431,Over 30 no qualifications,314
E01001432,Over 30 no qualifications,397
E01001433,Over 30 no qualifications,347
E01001434,Over 30 no qualifications,292
E01001435,Over 30 no qualifications,286
E01001436,Over 30 no qualifications,355
E01001437,Over 30 no qualifications,441
E01001438,Over 30 no qualifications,296
E01001439,Over 30 no qualifications,388
E01001440,Over 30 no qualifications,315
E01001441,Over 30 no qualifications,280
E01001442,Over 30 no qualifications,351
E01001444,Over 30 no qualifications,322
E01001445,Over 30 no qualifications,362
E01001446,Over 30 no qualifications,299
E01001447,Over 30 no qualifications,381
E01001448,Over 30 no qualifications,302
E01001449,Over 30 no qualifications,272
E01001450,Over 30 no qualifications,284
E01001451,Over 30 no qualifications,177
E01001452,Over 30 no qualifications,127
E01001453,Over 30 no qualifications,168
E01001454,Over 30 no qualifications,185
E01001455,Over 30 no qualifications,169
E01001456,Over 30 no qualifications,115
E01001457,Over 30 no qualifications,204
E01001458,Over 30 no qualifications,363
E01001459,Over 30 no qualifications,300
E01001460,Over 30 no qualifications,327
E01001461,Over 30 no qualifications,372
E01001462,Over 30 no qualifications,284
E01001463,Over 30 no qualifications,274
E01001464,Over 30 no qualifications,253
E01001465,Over 30 no qualifications,311
E01001466,Over 30 no qualifications,290
E01001467,Over 30 no qualifications,289
E01001468,Over 30 no qualifications,154
E01001469,Over 30 no qualifications,236
E01001470,Over 30 no qualifications,180
E01001471,Over 30 no qualifications,222
E01001472,Over 30 no qualifications,173
E01001473,Over 30 no qualifications,205
E01001474,Over 30 no qualifications,197
E01001475,Over 30 no qualifications,165
E01001476,Over 30 no qualifications,365
E01001477,Over 30 no qualifications,414
E01001478,Over 30 no qualifications,312
E01001479,Over 30 no qualifications,385
E01001480,Over 30 no qualifications,268
E01001481,Over 30 no qualifications,356
E01001482,Over 30 no qualifications,399
E01001483,Over 30 no qualifications,218
E01001484,Over 30 no qualifications,224
E01001485,Over 30 no qualifications,390
E01001486,Over 30 no qualifications,430
E01001487,Over 30 no qualifications,374
E01001488,Over 30 no qualifications,312
E01001489,Over 30 no qualifications,349
E01001491,Over 30 no qualifications,327
E01001492,Over 30 no qualifications,361
E01001493,Over 30 no qualifications,359
E01001494,Over 30 no qualifications,263
E01001495,Over 30 no qualifications,203
E01001496,Over 30 no qualifications,309
E01001497,Over 30 no qualifications,271
E01001498,Over 30 no qualifications,238
E01001499,Over 30 no qualifications,298
E01001500,Over 30 no qualifications,242
E01001501,Over 30 no qualifications,253
E01001502,Over 30 no qualifications,351
E01001503,Over 30 no qualifications,335
E01001504,Over 30 no qualifications,412
E01001505,Over 30 no qualifications,357
E01001507,Over 30 no qualifications,500
E01001508,Over 30 no qualifications,394
E01001509,Over 30 no qualifications,309
E01001511,Over 30 no qualifications,232
E01001512,Over 30 no qualifications,252
E01001513,Over 30 no qualifications,359
E01001514,Over 30 no qualifications,207
E01001515,Over 30 no qualifications,324
E01001516,Over 30 no qualifications,341
E01001517,Over 30 no qualifications,456
E01001518,Over 30 no qualifications,197
E01001520,Over 30 no qualifications,226
E01001521,Over 30 no qualifications,151
E01001522,Over 30 no qualifications,158
E01001523,Over 30 no qualifications,223
E01001524,Over 30 no qualifications,193
E01001525,Over 30 no qualifications,312
E01001526,Over 30 no qualifications,164
E01001527,Over 30 no qualifications,257
E01001528,Over 30 no qualifications,236
E01001529,Over 30 no qualifications,246
E01001530,Over 30 no qualifications,223
E01001531,Over 30 no qualifications,109
E01001532,Over 30 no qualifications,114
E01001533,Over 30 no qualifications,199
E01001534,Over 30 no qualifications,203
E01001535,Over 30 no qualifications,183
E01001536,Over 30 no qualifications,223
E01001537,Over 30 no qualifications,192
E01001538,Over 30 no qualifications,170
E01001539,Over 30 no qualifications,189
E01001540,Over 30 no qualifications,199
E01001541,Over 30 no qualifications,125
E01001542,Over 30 no qualifications,191
E01001543,Over 30 no qualifications,169
E01001544,Over 30 no qualifications,196
E01001545,Over 30 no qualifications,370
E01001546,Over 30 no qualifications,288
E01001547,Over 30 no qualifications,422
E01001548,Over 30 no qualifications,349
E01001549,Over 30 no qualifications,366
E01001550,Over 30 no qualifications,306
E01001551,Over 30 no qualifications,368
E01001552,Over 30 no qualifications,361
E01001553,Over 30 no qualifications,378
E01001554,Over 30 no qualifications,424
E01001555,Over 30 no qualifications,363
E01001556,Over 30 no qualifications,283
E01001557,Over 30 no qualifications,286
E01001558,Over 30 no qualifications,335
E01001559,Over 30 no qualifications,360
E01001560,Over 30 no qualifications,330
E01001562,Over 30 no qualifications,447
E01001563,Over 30 no qualifications,189
E01001564,Over 30 no qualifications,131
E01001565,Over 30 no qualifications,186
E01001566,Over 30 no qualifications,221
E01001567,Over 30 no qualifications,145
E01001568,Over 30 no qualifications,200
E01001569,Over 30 no qualifications,194
E01001570,Over 30 no qualifications,202
E01001571,Over 30 no qualifications,202
E01001572,Over 30 no qualifications,216
E01001573,Over 30 no qualifications,235
E01001574,Over 30 no qualifications,293
E01001575,Over 30 no qualifications,247
E01001576,Over 30 no qualifications,270
E01001577,Over 30 no qualifications,269
E01001578,Over 30 no qualifications,250
E01001579,Over 30 no qualifications,252
E01001580,Over 30 no qualifications,79
E01001581,Over 30 no qualifications,155
E01001582,Over 30 no qualifications,145
E01001583,Over 30 no qualifications,94
E01001584,Over 30 no qualifications,75
E01001585,Over 30 no qualifications,107
E01001586,Over 30 no qualifications,163
E01001587,Over 30 no qualifications,109
E01001588,Over 30 no qualifications,285
E01001589,Over 30 no qualifications,237
E01001590,Over 30 no qualifications,157
E01001591,Over 30 no qualifications,270
E01001592,Over 30 no qualifications,143
E01001593,Over 30 no qualifications,131
E01001594,Over 30 no qualifications,290
E01001595,Over 30 no qualifications,241
E01001596,Over 30 no qualifications,201
E01001597,Over 30 no qualifications,183
E01001598,Over 30 no qualifications,193
E01001599,Over 30 no qualifications,213
E01001600,Over 30 no qualifications,186
E01001601,Over 30 no qualifications,180
E01001602,Over 30 no qualifications,364
E01001603,Over 30 no qualifications,316
E01001604,Over 30 no qualifications,128
E01001605,Over 30 no qualifications,168
E01001606,Over 30 no qualifications,125
E01001607,Over 30 no qualifications,196
E01001608,Over 30 no qualifications,129
E01001609,Over 30 no qualifications,211
E01001610,Over 30 no qualifications,187
E01001611,Over 30 no qualifications,264
E01001613,Over 30 no qualifications,259
E01001614,Over 30 no qualifications,169
E01001615,Over 30 no qualifications,211
E01001617,Over 30 no qualifications,240
E01001618,Over 30 no qualifications,246
E01001619,Over 30 no qualifications,195
E01001620,Over 30 no qualifications,279
E01001621,Over 30 no qualifications,301
E01001623,Over 30 no qualifications,262
E01001624,Over 30 no qualifications,273
E01001625,Over 30 no qualifications,338
E01001629,Over 30 no qualifications,308
E01001631,Over 30 no qualifications,276
E01001632,Over 30 no qualifications,384
E01001633,Over 30 no qualifications,285
E01001634,Over 30 no qualifications,314
E01001635,Over 30 no qualifications,166
E01001636,Over 30 no qualifications,261
E01001637,Over 30 no qualifications,279
E01001638,Over 30 no qualifications,269
E01001641,Over 30 no qualifications,131
E01001642,Over 30 no qualifications,76
E01001644,Over 30 no qualifications,132
E01001645,Over 30 no qualifications,302
E01001646,Over 30 no qualifications,256
E01001647,Over 30 no qualifications,178
E01001648,Over 30 no qualifications,173
E01001649,Over 30 no qualifications,229
E01001650,Over 30 no qualifications,263
E01001651,Over 30 no qualifications,344
E01001652,Over 30 no qualifications,215
E01001653,Over 30 no qualifications,276
E01001654,Over 30 no qualifications,258
E01001655,Over 30 no qualifications,273
E01001656,Over 30 no qualifications,134
E01001657,Over 30 no qualifications,87
E01001658,Over 30 no qualifications,177
E01001659,Over 30 no qualifications,181
E01001660,Over 30 no qualifications,246
E01001661,Over 30 no qualifications,246
E01001664,Over 30 no qualifications,140
E01001665,Over 30 no qualifications,143
E01001666,Over 30 no qualifications,212
E01001669,Over 30 no qualifications,320
E01001671,Over 30 no qualifications,202
E01001672,Over 30 no qualifications,321
E01001673,Over 30 no qualifications,473
E01001674,Over 30 no qualifications,381
E01001675,Over 30 no qualifications,448
E01001676,Over 30 no qualifications,240
E01001677,Over 30 no qualifications,302
E01001678,Over 30 no qualifications,229
E01001679,Over 30 no qualifications,132
E01001680,Over 30 no qualifications,154
E01001681,Over 30 no qualifications,141
E01001682,Over 30 no qualifications,152
E01001683,Over 30 no qualifications,245
E01001684,Over 30 no qualifications,239
E01001685,Over 30 no qualifications,234
E01001686,Over 30 no qualifications,171
E01001687,Over 30 no qualifications,242
E01001688,Over 30 no qualifications,274
E01001690,Over 30 no qualifications,280
E01001692,Over 30 no qualifications,198
E01001693,Over 30 no qualifications,195
E01001694,Over 30 no qualifications,238
E01001695,Over 30 no qualifications,249
E01001696,Over 30 no qualifications,207
E01001697,Over 30 no qualifications,326
E01001698,Over 30 no qualifications,217
E01001699,Over 30 no qualifications,118
E01001700,Over 30 no qualifications,329
E01001701,Over 30 no qualifications,187
E01001702,Over 30 no qualifications,249
E01001703,Over 30 no qualifications,257
E01001704,Over 30 no qualifications,232
E01001705,Over 30 no qualifications,270
E01001708,Over 30 no qualifications,184
E01001710,Over 30 no qualifications,325
E01001712,Over 30 no qualifications,230
E01001714,Over 30 no qualifications,234
E01001715,Over 30 no qualifications,83
E01001716,Over 30 no qualifications,224
E01001717,Over 30 no qualifications,139
E01001718,Over 30 no qualifications,95
E01001719,Over 30 no qualifications,186
E01001720,Over 30 no qualifications,74
E01001722,Over 30 no qualifications,301
E01001723,Over 30 no qualifications,194
E01001724,Over 30 no qualifications,268
E01001725,Over 30 no qualifications,264
E01001726,Over 30 no qualifications,184
E01001727,Over 30 no qualifications,295
E01001728,Over 30 no qualifications,271
E01001729,Over 30 no qualifications,273
E01001730,Over 30 no qualifications,375
E01001731,Over 30 no qualifications,294
E01001732,Over 30 no qualifications,267
E01001733,Over 30 no qualifications,179
E01001734,Over 30 no qualifications,179
E01001735,Over 30 no qualifications,201
E01001736,Over 30 no qualifications,134
E01001737,Over 30 no qualifications,98
E01001738,Over 30 no qualifications,150
E01001739,Over 30 no qualifications,126
E01001740,Over 30 no qualifications,235
E01001741,Over 30 no qualifications,91
E01001742,Over 30 no qualifications,156
E01001744,Over 30 no qualifications,241
E01001745,Over 30 no qualifications,287
E01001746,Over 30 no qualifications,252
E01001747,Over 30 no qualifications,267
E01001749,Over 30 no qualifications,100
E01001750,Over 30 no qualifications,205
E01001751,Over 30 no qualifications,79
E01001753,Over 30 no qualifications,230
E01001755,Over 30 no qualifications,206
E01001756,Over 30 no qualifications,179
E01001757,Over 30 no qualifications,240
E01001758,Over 30 no qualifications,296
E01001759,Over 30 no qualifications,174
E01001760,Over 30 no qualifications,225
E01001761,Over 30 no qualifications,259
E01001762,Over 30 no qualifications,156
E01001763,Over 30 no qualifications,189
E01001764,Over 30 no qualifications,227
E01001765,Over 30 no qualifications,318
E01001767,Over 30 no qualifications,156
E01001768,Over 30 no qualifications,132
E01001769,Over 30 no qualifications,153
E01001770,Over 30 no qualifications,216
E01001772,Over 30 no qualifications,275
E01001773,Over 30 no qualifications,249
E01001774,Over 30 no qualifications,209
E01001775,Over 30 no qualifications,237
E01001776,Over 30 no qualifications,272
E01001777,Over 30 no qualifications,234
E01001780,Over 30 no qualifications,263
E01001781,Over 30 no qualifications,237
E01001783,Over 30 no qualifications,251
E01001784,Over 30 no qualifications,285
E01001785,Over 30 no qualifications,179
E01001786,Over 30 no qualifications,265
E01001787,Over 30 no qualifications,290
E01001788,Over 30 no qualifications,251
E01001789,Over 30 no qualifications,189
E01001790,Over 30 no qualifications,242
E01001791,Over 30 no qualifications,186
E01001792,Over 30 no qualifications,234
E01001793,Over 30 no qualifications,118
E01001794,Over 30 no qualifications,229
E01001795,Over 30 no qualifications,113
E01001796,Over 30 no qualifications,128
E01001798,Over 30 no qualifications,311
E01001799,Over 30 no qualifications,188
E01001800,Over 30 no qualifications,251
E01001801,Over 30 no qualifications,194
E01001802,Over 30 no qualifications,226
E01001803,Over 30 no qualifications,119
E01001804,Over 30 no qualifications,230
E01001805,Over 30 no qualifications,109
E01001806,Over 30 no qualifications,179
E01001807,Over 30 no qualifications,187
E01001808,Over 30 no qualifications,270
E01001809,Over 30 no qualifications,270
E01001811,Over 30 no qualifications,220
E01001812,Over 30 no qualifications,221
E01001813,Over 30 no qualifications,316
E01001814,Over 30 no qualifications,225
E01001815,Over 30 no qualifications,292
E01001816,Over 30 no qualifications,170
E01001819,Over 30 no qualifications,242
E01001820,Over 30 no qualifications,226
E01001821,Over 30 no qualifications,214
E01001822,Over 30 no qualifications,290
E01001823,Over 30 no qualifications,239
E01001824,Over 30 no qualifications,252
E01001825,Over 30 no qualifications,225
E01001826,Over 30 no qualifications,281
E01001827,Over 30 no qualifications,237
E01001828,Over 30 no qualifications,260
E01001829,Over 30 no qualifications,91
E01001830,Over 30 no qualifications,257
E01001831,Over 30 no qualifications,162
E01001832,Over 30 no qualifications,170
E01001833,Over 30 no qualifications,197
E01001834,Over 30 no qualifications,183
E01001835,Over 30 no qualifications,69
E01001836,Over 30 no qualifications,203
E01001837,Over 30 no qualifications,111
E01001838,Over 30 no qualifications,265
E01001839,Over 30 no qualifications,184
E01001840,Over 30 no qualifications,280
E01001841,Over 30 no qualifications,205
E01001842,Over 30 no qualifications,192
E01001843,Over 30 no qualifications,123
E01001844,Over 30 no qualifications,174
E01001845,Over 30 no qualifications,271
E01001846,Over 30 no qualifications,209
E01001847,Over 30 no qualifications,163
E01001848,Over 30 no qualifications,288
E01001849,Over 30 no qualifications,205
E01001850,Over 30 no qualifications,271
E01001851,Over 30 no qualifications,58
E01001852,Over 30 no qualifications,107
E01001853,Over 30 no qualifications,107
E01001854,Over 30 no qualifications,117
E01001855,Over 30 no qualifications,98
E01001856,Over 30 no qualifications,158
E01001857,Over 30 no qualifications,224
E01001858,Over 30 no qualifications,165
E01001859,Over 30 no qualifications,190
E01001860,Over 30 no qualifications,204
E01001861,Over 30 no qualifications,155
E01001862,Over 30 no qualifications,192
E01001863,Over 30 no qualifications,98
E01001864,Over 30 no qualifications,154
E01001865,Over 30 no qualifications,109
E01001866,Over 30 no qualifications,85
E01001867,Over 30 no qualifications,100
E01001868,Over 30 no qualifications,205
E01001869,Over 30 no qualifications,81
E01001870,Over 30 no qualifications,107
E01001871,Over 30 no qualifications,105
E01001872,Over 30 no qualifications,99
E01001873,Over 30 no qualifications,130
E01001875,Over 30 no qualifications,339
E01001876,Over 30 no qualifications,267
E01001877,Over 30 no qualifications,177
E01001878,Over 30 no qualifications,265
E01001879,Over 30 no qualifications,189
E01001880,Over 30 no qualifications,149
E01001881,Over 30 no qualifications,112
E01001882,Over 30 no qualifications,79
E01001883,Over 30 no qualifications,142
E01001884,Over 30 no qualifications,219
E01001885,Over 30 no qualifications,203
E01001886,Over 30 no qualifications,167
E01001887,Over 30 no qualifications,194
E01001888,Over 30 no qualifications,85
E01001889,Over 30 no qualifications,75
E01001890,Over 30 no qualifications,102
E01001891,Over 30 no qualifications,134
E01001892,Over 30 no qualifications,143
E01001893,Over 30 no qualifications,159
E01001894,Over 30 no qualifications,140
E01001895,Over 30 no qualifications,127
E01001896,Over 30 no qualifications,162
E01001897,Over 30 no qualifications,75
E01001898,Over 30 no qualifications,141
E01001899,Over 30 no qualifications,194
E01001900,Over 30 no qualifications,246
E01001901,Over 30 no qualifications,86
E01001902,Over 30 no qualifications,130
E01001903,Over 30 no qualifications,146
E01001904,Over 30 no qualifications,73
E01001905,Over 30 no qualifications,96
E01001906,Over 30 no qualifications,68
E01001907,Over 30 no qualifications,62
E01001908,Over 30 no qualifications,83
E01001909,Over 30 no qualifications,191
E01001910,Over 30 no qualifications,88
E01001911,Over 30 no qualifications,216
E01001912,Over 30 no qualifications,216
E01001913,Over 30 no qualifications,44
E01001914,Over 30 no qualifications,85
E01001915,Over 30 no qualifications,96
E01001916,Over 30 no qualifications,67
E01001917,Over 30 no qualifications,151
E01001918,Over 30 no qualifications,119
E01001919,Over 30 no qualifications,101
E01001920,Over 30 no qualifications,180
E01001921,Over 30 no qualifications,96
E01001922,Over 30 no qualifications,70
E01001923,Over 30 no qualifications,111
E01001924,Over 30 no qualifications,49
E01001925,Over 30 no qualifications,82
E01001926,Over 30 no qualifications,63
E01001927,Over 30 no qualifications,50
E01001928,Over 30 no qualifications,100
E01001929,Over 30 no qualifications,57
E01001930,Over 30 no qualifications,174
E01001931,Over 30 no qualifications,71
E01001932,Over 30 no qualifications,92
E01001933,Over 30 no qualifications,135
E01001934,Over 30 no qualifications,191
E01001935,Over 30 no qualifications,172
E01001937,Over 30 no qualifications,90
E01001938,Over 30 no qualifications,160
E01001940,Over 30 no qualifications,175
E01001941,Over 30 no qualifications,153
E01001942,Over 30 no qualifications,190
E01001943,Over 30 no qualifications,190
E01001944,Over 30 no qualifications,240
E01001945,Over 30 no qualifications,135
E01001946,Over 30 no qualifications,131
E01001947,Over 30 no qualifications,235
E01001948,Over 30 no qualifications,100
E01001949,Over 30 no qualifications,53
E01001950,Over 30 no qualifications,44
E01001951,Over 30 no qualifications,93
E01001952,Over 30 no qualifications,88
E01001953,Over 30 no qualifications,136
E01001954,Over 30 no qualifications,160
E01001955,Over 30 no qualifications,301
E01001956,Over 30 no qualifications,189
E01001957,Over 30 no qualifications,252
E01001958,Over 30 no qualifications,279
E01001959,Over 30 no qualifications,236
E01001960,Over 30 no qualifications,135
E01001961,Over 30 no qualifications,226
E01001962,Over 30 no qualifications,117
E01001963,Over 30 no qualifications,79
E01001964,Over 30 no qualifications,96
E01001965,Over 30 no qualifications,74
E01001966,Over 30 no qualifications,72
E01001967,Over 30 no qualifications,61
E01001968,Over 30 no qualifications,58
E01001969,Over 30 no qualifications,333
E01001970,Over 30 no qualifications,260
E01001971,Over 30 no qualifications,346
E01001972,Over 30 no qualifications,238
E01001973,Over 30 no qualifications,284
E01001974,Over 30 no qualifications,216
E01001975,Over 30 no qualifications,213
E01001976,Over 30 no qualifications,312
E01001977,Over 30 no qualifications,239
E01001978,Over 30 no qualifications,414
E01001979,Over 30 no qualifications,428
E01001980,Over 30 no qualifications,257
E01001981,Over 30 no qualifications,294
E01001982,Over 30 no qualifications,270
E01001983,Over 30 no qualifications,213
E01001984,Over 30 no qualifications,135
E01001985,Over 30 no qualifications,64
E01001986,Over 30 no qualifications,81
E01001987,Over 30 no qualifications,58
E01001988,Over 30 no qualifications,71
E01001989,Over 30 no qualifications,97
E01001990,Over 30 no qualifications,90
E01001991,Over 30 no qualifications,119
E01001992,Over 30 no qualifications,61
E01001993,Over 30 no qualifications,68
E01001994,Over 30 no qualifications,119
E01001995,Over 30 no qualifications,284
E01001996,Over 30 no qualifications,82
E01001997,Over 30 no qualifications,78
E01001998,Over 30 no qualifications,216
E01001999,Over 30 no qualifications,310
E01002000,Over 30 no qualifications,179
E01002001,Over 30 no qualifications,113
E01002002,Over 30 no qualifications,172
E01002003,Over 30 no qualifications,400
E01002004,Over 30 no qualifications,170
E01002005,Over 30 no qualifications,48
E01002006,Over 30 no qualifications,65
E01002007,Over 30 no qualifications,66
E01002008,Over 30 no qualifications,66
E01002009,Over 30 no qualifications,46
E01002010,Over 30 no qualifications,122
E01002011,Over 30 no qualifications,91
E01002013,Over 30 no qualifications,88
E01002014,Over 30 no qualifications,138
E01002015,Over 30 no qualifications,161
E01002016,Over 30 no qualifications,137
E01002017,Over 30 no qualifications,100
E01002018,Over 30 no qualifications,132
E01002019,Over 30 no qualifications,57
E01002020,Over 30 no qualifications,87
E01002021,Over 30 no qualifications,86
E01002022,Over 30 no qualifications,167
E01002023,Over 30 no qualifications,76
E01002024,Over 30 no qualifications,96
E01002025,Over 30 no qualifications,49
E01002026,Over 30 no qualifications,341
E01002027,Over 30 no qualifications,247
E01002028,Over 30 no qualifications,266
