Lower layer Super Output Areas Code,Age (4 categories),Observation
E01001106,Aged 15 years and under,283
E01001106,Aged 16 to 20 years,94
E01001106,Aged 21 to 29 years,132
E01001106,Aged 30 years and over,993
E01001107,Aged 15 years and under,300
E01001107,Aged 16 to 20 years,53
E01001107,Aged 21 to 29 years,110
E01001107,Aged 30 years and over,1205
E01001108,Aged 15 years and under,365
E01001108,Aged 16 to 20 years,69
E01001108,Aged 21 to 29 years,141
E01001108,Aged 30 years and over,1209
E01001109,Aged 15 years and under,548
E01001109,Aged 16 to 20 years,116
E01001109,Aged 21 to 29 years,347
E01001109,Aged 30 years and over,1339
E01001110,Aged 15 years and under,520
E01001110,Aged 16 to 20 years,132
E01001110,Aged 21 to 29 years,282
E01001110,Aged 30 years and over,1213
E01001111,Aged 15 years and under,360
E01001111,Aged 16 to 20 years,117
E01001111,Aged 21 to 29 years,228
E01001111,Aged 30 years and over,1048
E01001112,Aged 15 years and under,463
E01001112,Aged 16 to 20 years,89
E01001112,Aged 21 to 29 years,208
E01001112,Aged 30 years and over,1257
E01001113,Aged 15 years and under,425
E01001113,Aged 16 to 20 years,101
E01001113,Aged 21 to 29 years,273
E01001113,Aged 30 years and over,1207
E01001114,Aged 15 years and under,379
E01001114,Aged 16 to 20 years,126
E01001114,Aged 21 to 29 years,140
E01001114,Aged 30 years and over,865
E01001115,Aged 15 years and under,454
E01001115,Aged 16 to 20 years,141
E01001115,Aged 21 to 29 years,228
E01001115,Aged 30 years and over,996
E01001116,Aged 15 years and under,349
E01001116,Aged 16 to 20 years,78
E01001116,Aged 21 to 29 years,192
E01001116,Aged 30 years and over,906
E01001118,Aged 15 years and under,493
E01001118,Aged 16 to 20 years,130
E01001118,Aged 21 to 29 years,275
E01001118,Aged 30 years and over,1257
E01001119,Aged 15 years and under,259
E01001119,Aged 16 to 20 years,74
E01001119,Aged 21 to 29 years,103
E01001119,Aged 30 years and over,1003
E01001120,Aged 15 years and under,255
E01001120,Aged 16 to 20 years,72
E01001120,Aged 21 to 29 years,133
E01001120,Aged 30 years and over,887
E01001121,Aged 15 years and under,195
E01001121,Aged 16 to 20 years,48
E01001121,Aged 21 to 29 years,88
E01001121,Aged 30 years and over,993
E01001122,Aged 15 years and under,253
E01001122,Aged 16 to 20 years,125
E01001122,Aged 21 to 29 years,114
E01001122,Aged 30 years and over,950
E01001123,Aged 15 years and under,266
E01001123,Aged 16 to 20 years,87
E01001123,Aged 21 to 29 years,147
E01001123,Aged 30 years and over,1115
E01001124,Aged 15 years and under,238
E01001124,Aged 16 to 20 years,61
E01001124,Aged 21 to 29 years,111
E01001124,Aged 30 years and over,1156
E01001125,Aged 15 years and under,322
E01001125,Aged 16 to 20 years,88
E01001125,Aged 21 to 29 years,173
E01001125,Aged 30 years and over,1062
E01001126,Aged 15 years and under,239
E01001126,Aged 16 to 20 years,54
E01001126,Aged 21 to 29 years,119
E01001126,Aged 30 years and over,1005
E01001127,Aged 15 years and under,259
E01001127,Aged 16 to 20 years,96
E01001127,Aged 21 to 29 years,146
E01001127,Aged 30 years and over,1124
E01001128,Aged 15 years and under,417
E01001128,Aged 16 to 20 years,143
E01001128,Aged 21 to 29 years,194
E01001128,Aged 30 years and over,848
E01001129,Aged 15 years and under,204
E01001129,Aged 16 to 20 years,69
E01001129,Aged 21 to 29 years,138
E01001129,Aged 30 years and over,981
E01001130,Aged 15 years and under,589
E01001130,Aged 16 to 20 years,172
E01001130,Aged 21 to 29 years,196
E01001130,Aged 30 years and over,807
E01001131,Aged 15 years and under,362
E01001131,Aged 16 to 20 years,79
E01001131,Aged 21 to 29 years,144
E01001131,Aged 30 years and over,986
E01001132,Aged 15 years and under,267
E01001132,Aged 16 to 20 years,70
E01001132,Aged 21 to 29 years,148
E01001132,Aged 30 years and over,1133
E01001133,Aged 15 years and under,191
E01001133,Aged 16 to 20 years,61
E01001133,Aged 21 to 29 years,159
E01001133,Aged 30 years and over,1177
E01001134,Aged 15 years and under,260
E01001134,Aged 16 to 20 years,87
E01001134,Aged 21 to 29 years,172
E01001134,Aged 30 years and over,1093
E01001135,Aged 15 years and under,279
E01001135,Aged 16 to 20 years,81
E01001135,Aged 21 to 29 years,169
E01001135,Aged 30 years and over,1150
E01001136,Aged 15 years and under,375
E01001136,Aged 16 to 20 years,64
E01001136,Aged 21 to 29 years,317
E01001136,Aged 30 years and over,1283
E01001137,Aged 15 years and under,413
E01001137,Aged 16 to 20 years,78
E01001137,Aged 21 to 29 years,242
E01001137,Aged 30 years and over,1398
E01001138,Aged 15 years and under,301
E01001138,Aged 16 to 20 years,59
E01001138,Aged 21 to 29 years,140
E01001138,Aged 30 years and over,1012
E01001139,Aged 15 years and under,342
E01001139,Aged 16 to 20 years,93
E01001139,Aged 21 to 29 years,176
E01001139,Aged 30 years and over,1088
E01001140,Aged 15 years and under,311
E01001140,Aged 16 to 20 years,61
E01001140,Aged 21 to 29 years,162
E01001140,Aged 30 years and over,1096
E01001141,Aged 15 years and under,252
E01001141,Aged 16 to 20 years,55
E01001141,Aged 21 to 29 years,166
E01001141,Aged 30 years and over,801
E01001142,Aged 15 years and under,367
E01001142,Aged 16 to 20 years,116
E01001142,Aged 21 to 29 years,185
E01001142,Aged 30 years and over,1255
E01001143,Aged 15 years and under,408
E01001143,Aged 16 to 20 years,104
E01001143,Aged 21 to 29 years,215
E01001143,Aged 30 years and over,1207
E01001144,Aged 15 years and under,303
E01001144,Aged 16 to 20 years,87
E01001144,Aged 21 to 29 years,204
E01001144,Aged 30 years and over,1163
E01001145,Aged 15 years and under,447
E01001145,Aged 16 to 20 years,89
E01001145,Aged 21 to 29 years,196
E01001145,Aged 30 years and over,1094
E01001146,Aged 15 years and under,291
E01001146,Aged 16 to 20 years,97
E01001146,Aged 21 to 29 years,161
E01001146,Aged 30 years and over,984
E01001147,Aged 15 years and under,424
E01001147,Aged 16 to 20 years,116
E01001147,Aged 21 to 29 years,243
E01001147,Aged 30 years and over,999
E01001148,Aged 15 years and under,331
E01001148,Aged 16 to 20 years,140
E01001148,Aged 21 to 29 years,219
E01001148,Aged 30 years and over,1071
E01001149,Aged 15 years and under,374
E01001149,Aged 16 to 20 years,91
E01001149,Aged 21 to 29 years,149
E01001149,Aged 30 years and over,976
E01001150,Aged 15 years and under,338
E01001150,Aged 16 to 20 years,94
E01001150,Aged 21 to 29 years,189
E01001150,Aged 30 years and over,1083
E01001151,Aged 15 years and under,343
E01001151,Aged 16 to 20 years,138
E01001151,Aged 21 to 29 years,207
E01001151,Aged 30 years and over,1062
E01001152,Aged 15 years and under,453
E01001152,Aged 16 to 20 years,127
E01001152,Aged 21 to 29 years,252
E01001152,Aged 30 years and over,1230
E01001153,Aged 15 years and under,269
E01001153,Aged 16 to 20 years,109
E01001153,Aged 21 to 29 years,226
E01001153,Aged 30 years and over,1028
E01001154,Aged 15 years and under,397
E01001154,Aged 16 to 20 years,136
E01001154,Aged 21 to 29 years,277
E01001154,Aged 30 years and over,1151
E01001155,Aged 15 years and under,371
E01001155,Aged 16 to 20 years,122
E01001155,Aged 21 to 29 years,201
E01001155,Aged 30 years and over,1101
E01001156,Aged 15 years and under,342
E01001156,Aged 16 to 20 years,79
E01001156,Aged 21 to 29 years,175
E01001156,Aged 30 years and over,1176
E01001157,Aged 15 years and under,408
E01001157,Aged 16 to 20 years,116
E01001157,Aged 21 to 29 years,214
E01001157,Aged 30 years and over,1114
E01001158,Aged 15 years and under,324
E01001158,Aged 16 to 20 years,74
E01001158,Aged 21 to 29 years,143
E01001158,Aged 30 years and over,993
E01001159,Aged 15 years and under,420
E01001159,Aged 16 to 20 years,80
E01001159,Aged 21 to 29 years,184
E01001159,Aged 30 years and over,1260
E01001160,Aged 15 years and under,391
E01001160,Aged 16 to 20 years,117
E01001160,Aged 21 to 29 years,203
E01001160,Aged 30 years and over,1236
E01001161,Aged 15 years and under,318
E01001161,Aged 16 to 20 years,128
E01001161,Aged 21 to 29 years,258
E01001161,Aged 30 years and over,1035
E01001162,Aged 15 years and under,367
E01001162,Aged 16 to 20 years,109
E01001162,Aged 21 to 29 years,210
E01001162,Aged 30 years and over,1127
E01001163,Aged 15 years and under,376
E01001163,Aged 16 to 20 years,80
E01001163,Aged 21 to 29 years,168
E01001163,Aged 30 years and over,1350
E01001164,Aged 15 years and under,305
E01001164,Aged 16 to 20 years,60
E01001164,Aged 21 to 29 years,288
E01001164,Aged 30 years and over,1328
E01001165,Aged 15 years and under,369
E01001165,Aged 16 to 20 years,94
E01001165,Aged 21 to 29 years,243
E01001165,Aged 30 years and over,1141
E01001166,Aged 15 years and under,454
E01001166,Aged 16 to 20 years,108
E01001166,Aged 21 to 29 years,214
E01001166,Aged 30 years and over,1193
E01001167,Aged 15 years and under,509
E01001167,Aged 16 to 20 years,162
E01001167,Aged 21 to 29 years,287
E01001167,Aged 30 years and over,1367
E01001168,Aged 15 years and under,337
E01001168,Aged 16 to 20 years,83
E01001168,Aged 21 to 29 years,242
E01001168,Aged 30 years and over,1157
E01001169,Aged 15 years and under,472
E01001169,Aged 16 to 20 years,134
E01001169,Aged 21 to 29 years,175
E01001169,Aged 30 years and over,1050
E01001170,Aged 15 years and under,405
E01001170,Aged 16 to 20 years,77
E01001170,Aged 21 to 29 years,184
E01001170,Aged 30 years and over,1275
E01001171,Aged 15 years and under,352
E01001171,Aged 16 to 20 years,102
E01001171,Aged 21 to 29 years,197
E01001171,Aged 30 years and over,1106
E01001172,Aged 15 years and under,578
E01001172,Aged 16 to 20 years,176
E01001172,Aged 21 to 29 years,299
E01001172,Aged 30 years and over,1150
E01001173,Aged 15 years and under,589
E01001173,Aged 16 to 20 years,151
E01001173,Aged 21 to 29 years,318
E01001173,Aged 30 years and over,1686
E01001174,Aged 15 years and under,371
E01001174,Aged 16 to 20 years,133
E01001174,Aged 21 to 29 years,191
E01001174,Aged 30 years and over,995
E01001175,Aged 15 years and under,366
E01001175,Aged 16 to 20 years,93
E01001175,Aged 21 to 29 years,224
E01001175,Aged 30 years and over,956
E01001176,Aged 15 years and under,414
E01001176,Aged 16 to 20 years,105
E01001176,Aged 21 to 29 years,257
E01001176,Aged 30 years and over,1072
E01001177,Aged 15 years and under,322
E01001177,Aged 16 to 20 years,117
E01001177,Aged 21 to 29 years,282
E01001177,Aged 30 years and over,929
E01001178,Aged 15 years and under,415
E01001178,Aged 16 to 20 years,103
E01001178,Aged 21 to 29 years,280
E01001178,Aged 30 years and over,828
E01001179,Aged 15 years and under,388
E01001179,Aged 16 to 20 years,95
E01001179,Aged 21 to 29 years,182
E01001179,Aged 30 years and over,999
E01001180,Aged 15 years and under,479
E01001180,Aged 16 to 20 years,143
E01001180,Aged 21 to 29 years,249
E01001180,Aged 30 years and over,1109
E01001181,Aged 15 years and under,668
E01001181,Aged 16 to 20 years,104
E01001181,Aged 21 to 29 years,256
E01001181,Aged 30 years and over,1163
E01001182,Aged 15 years and under,231
E01001182,Aged 16 to 20 years,78
E01001182,Aged 21 to 29 years,224
E01001182,Aged 30 years and over,825
E01001183,Aged 15 years and under,441
E01001183,Aged 16 to 20 years,86
E01001183,Aged 21 to 29 years,228
E01001183,Aged 30 years and over,1066
E01001184,Aged 15 years and under,221
E01001184,Aged 16 to 20 years,55
E01001184,Aged 21 to 29 years,177
E01001184,Aged 30 years and over,846
E01001185,Aged 15 years and under,343
E01001185,Aged 16 to 20 years,62
E01001185,Aged 21 to 29 years,188
E01001185,Aged 30 years and over,1109
E01001186,Aged 15 years and under,305
E01001186,Aged 16 to 20 years,77
E01001186,Aged 21 to 29 years,191
E01001186,Aged 30 years and over,1110
E01001187,Aged 15 years and under,399
E01001187,Aged 16 to 20 years,153
E01001187,Aged 21 to 29 years,214
E01001187,Aged 30 years and over,1219
E01001188,Aged 15 years and under,432
E01001188,Aged 16 to 20 years,137
E01001188,Aged 21 to 29 years,257
E01001188,Aged 30 years and over,1133
E01001189,Aged 15 years and under,253
E01001189,Aged 16 to 20 years,77
E01001189,Aged 21 to 29 years,119
E01001189,Aged 30 years and over,769
E01001190,Aged 15 years and under,322
E01001190,Aged 16 to 20 years,79
E01001190,Aged 21 to 29 years,182
E01001190,Aged 30 years and over,969
E01001191,Aged 15 years and under,476
E01001191,Aged 16 to 20 years,83
E01001191,Aged 21 to 29 years,285
E01001191,Aged 30 years and over,1228
E01001192,Aged 15 years and under,326
E01001192,Aged 16 to 20 years,102
E01001192,Aged 21 to 29 years,149
E01001192,Aged 30 years and over,1007
E01001193,Aged 15 years and under,246
E01001193,Aged 16 to 20 years,165
E01001193,Aged 21 to 29 years,348
E01001193,Aged 30 years and over,924
E01001194,Aged 15 years and under,345
E01001194,Aged 16 to 20 years,102
E01001194,Aged 21 to 29 years,142
E01001194,Aged 30 years and over,1025
E01001195,Aged 15 years and under,412
E01001195,Aged 16 to 20 years,78
E01001195,Aged 21 to 29 years,241
E01001195,Aged 30 years and over,1093
E01001196,Aged 15 years and under,329
E01001196,Aged 16 to 20 years,75
E01001196,Aged 21 to 29 years,253
E01001196,Aged 30 years and over,960
E01001197,Aged 15 years and under,405
E01001197,Aged 16 to 20 years,76
E01001197,Aged 21 to 29 years,206
E01001197,Aged 30 years and over,1166
E01001198,Aged 15 years and under,304
E01001198,Aged 16 to 20 years,78
E01001198,Aged 21 to 29 years,264
E01001198,Aged 30 years and over,915
E01001199,Aged 15 years and under,295
E01001199,Aged 16 to 20 years,79
E01001199,Aged 21 to 29 years,298
E01001199,Aged 30 years and over,991
E01001200,Aged 15 years and under,300
E01001200,Aged 16 to 20 years,71
E01001200,Aged 21 to 29 years,258
E01001200,Aged 30 years and over,965
E01001201,Aged 15 years and under,268
E01001201,Aged 16 to 20 years,78
E01001201,Aged 21 to 29 years,280
E01001201,Aged 30 years and over,966
E01001202,Aged 15 years and under,550
E01001202,Aged 16 to 20 years,127
E01001202,Aged 21 to 29 years,398
E01001202,Aged 30 years and over,1427
E01001203,Aged 15 years and under,265
E01001203,Aged 16 to 20 years,65
E01001203,Aged 21 to 29 years,253
E01001203,Aged 30 years and over,1107
E01001204,Aged 15 years and under,289
E01001204,Aged 16 to 20 years,89
E01001204,Aged 21 to 29 years,189
E01001204,Aged 30 years and over,1047
E01001205,Aged 15 years and under,424
E01001205,Aged 16 to 20 years,94
E01001205,Aged 21 to 29 years,218
E01001205,Aged 30 years and over,1044
E01001206,Aged 15 years and under,442
E01001206,Aged 16 to 20 years,150
E01001206,Aged 21 to 29 years,191
E01001206,Aged 30 years and over,795
E01001207,Aged 15 years and under,303
E01001207,Aged 16 to 20 years,59
E01001207,Aged 21 to 29 years,258
E01001207,Aged 30 years and over,1140
E01001208,Aged 15 years and under,259
E01001208,Aged 16 to 20 years,73
E01001208,Aged 21 to 29 years,137
E01001208,Aged 30 years and over,891
E01001209,Aged 15 years and under,331
E01001209,Aged 16 to 20 years,72
E01001209,Aged 21 to 29 years,155
E01001209,Aged 30 years and over,1126
E01001210,Aged 15 years and under,448
E01001210,Aged 16 to 20 years,117
E01001210,Aged 21 to 29 years,233
E01001210,Aged 30 years and over,1090
E01001211,Aged 15 years and under,325
E01001211,Aged 16 to 20 years,59
E01001211,Aged 21 to 29 years,188
E01001211,Aged 30 years and over,1162
E01001212,Aged 15 years and under,268
E01001212,Aged 16 to 20 years,72
E01001212,Aged 21 to 29 years,202
E01001212,Aged 30 years and over,1227
E01001213,Aged 15 years and under,367
E01001213,Aged 16 to 20 years,129
E01001213,Aged 21 to 29 years,242
E01001213,Aged 30 years and over,1272
E01001214,Aged 15 years and under,305
E01001214,Aged 16 to 20 years,109
E01001214,Aged 21 to 29 years,221
E01001214,Aged 30 years and over,1110
E01001215,Aged 15 years and under,414
E01001215,Aged 16 to 20 years,139
E01001215,Aged 21 to 29 years,238
E01001215,Aged 30 years and over,1269
E01001216,Aged 15 years and under,423
E01001216,Aged 16 to 20 years,108
E01001216,Aged 21 to 29 years,147
E01001216,Aged 30 years and over,1071
E01001217,Aged 15 years and under,258
E01001217,Aged 16 to 20 years,93
E01001217,Aged 21 to 29 years,155
E01001217,Aged 30 years and over,943
E01001218,Aged 15 years and under,475
E01001218,Aged 16 to 20 years,131
E01001218,Aged 21 to 29 years,264
E01001218,Aged 30 years and over,1187
E01001219,Aged 15 years and under,506
E01001219,Aged 16 to 20 years,185
E01001219,Aged 21 to 29 years,276
E01001219,Aged 30 years and over,1227
E01001220,Aged 15 years and under,355
E01001220,Aged 16 to 20 years,141
E01001220,Aged 21 to 29 years,198
E01001220,Aged 30 years and over,820
E01001223,Aged 15 years and under,238
E01001223,Aged 16 to 20 years,50
E01001223,Aged 21 to 29 years,182
E01001223,Aged 30 years and over,983
E01001224,Aged 15 years and under,267
E01001224,Aged 16 to 20 years,71
E01001224,Aged 21 to 29 years,188
E01001224,Aged 30 years and over,1034
E01001225,Aged 15 years and under,285
E01001225,Aged 16 to 20 years,36
E01001225,Aged 21 to 29 years,298
E01001225,Aged 30 years and over,1192
E01001226,Aged 15 years and under,231
E01001226,Aged 16 to 20 years,56
E01001226,Aged 21 to 29 years,175
E01001226,Aged 30 years and over,1050
E01001227,Aged 15 years and under,249
E01001227,Aged 16 to 20 years,74
E01001227,Aged 21 to 29 years,192
E01001227,Aged 30 years and over,1007
E01001228,Aged 15 years and under,237
E01001228,Aged 16 to 20 years,56
E01001228,Aged 21 to 29 years,384
E01001228,Aged 30 years and over,1157
E01001229,Aged 15 years and under,281
E01001229,Aged 16 to 20 years,80
E01001229,Aged 21 to 29 years,187
E01001229,Aged 30 years and over,968
E01001230,Aged 15 years and under,185
E01001230,Aged 16 to 20 years,49
E01001230,Aged 21 to 29 years,230
E01001230,Aged 30 years and over,908
E01001231,Aged 15 years and under,282
E01001231,Aged 16 to 20 years,95
E01001231,Aged 21 to 29 years,448
E01001231,Aged 30 years and over,1220
E01001232,Aged 15 years and under,263
E01001232,Aged 16 to 20 years,78
E01001232,Aged 21 to 29 years,182
E01001232,Aged 30 years and over,1035
E01001233,Aged 15 years and under,228
E01001233,Aged 16 to 20 years,50
E01001233,Aged 21 to 29 years,212
E01001233,Aged 30 years and over,953
E01001234,Aged 15 years and under,186
E01001234,Aged 16 to 20 years,54
E01001234,Aged 21 to 29 years,280
E01001234,Aged 30 years and over,850
E01001235,Aged 15 years and under,231
E01001235,Aged 16 to 20 years,68
E01001235,Aged 21 to 29 years,362
E01001235,Aged 30 years and over,1113
E01001236,Aged 15 years and under,206
E01001236,Aged 16 to 20 years,45
E01001236,Aged 21 to 29 years,226
E01001236,Aged 30 years and over,996
E01001237,Aged 15 years and under,188
E01001237,Aged 16 to 20 years,60
E01001237,Aged 21 to 29 years,261
E01001237,Aged 30 years and over,1054
E01001239,Aged 15 years and under,257
E01001239,Aged 16 to 20 years,91
E01001239,Aged 21 to 29 years,257
E01001239,Aged 30 years and over,875
E01001240,Aged 15 years and under,224
E01001240,Aged 16 to 20 years,106
E01001240,Aged 21 to 29 years,456
E01001240,Aged 30 years and over,1039
E01001241,Aged 15 years and under,279
E01001241,Aged 16 to 20 years,96
E01001241,Aged 21 to 29 years,420
E01001241,Aged 30 years and over,1060
E01001242,Aged 15 years and under,313
E01001242,Aged 16 to 20 years,106
E01001242,Aged 21 to 29 years,234
E01001242,Aged 30 years and over,969
E01001243,Aged 15 years and under,463
E01001243,Aged 16 to 20 years,126
E01001243,Aged 21 to 29 years,436
E01001243,Aged 30 years and over,1365
E01001244,Aged 15 years and under,546
E01001244,Aged 16 to 20 years,159
E01001244,Aged 21 to 29 years,481
E01001244,Aged 30 years and over,1606
E01001245,Aged 15 years and under,454
E01001245,Aged 16 to 20 years,62
E01001245,Aged 21 to 29 years,289
E01001245,Aged 30 years and over,1365
E01001246,Aged 15 years and under,298
E01001246,Aged 16 to 20 years,80
E01001246,Aged 21 to 29 years,328
E01001246,Aged 30 years and over,1121
E01001247,Aged 15 years and under,395
E01001247,Aged 16 to 20 years,156
E01001247,Aged 21 to 29 years,396
E01001247,Aged 30 years and over,1322
E01001248,Aged 15 years and under,281
E01001248,Aged 16 to 20 years,90
E01001248,Aged 21 to 29 years,170
E01001248,Aged 30 years and over,1049
E01001249,Aged 15 years and under,457
E01001249,Aged 16 to 20 years,150
E01001249,Aged 21 to 29 years,367
E01001249,Aged 30 years and over,1462
E01001250,Aged 15 years and under,415
E01001250,Aged 16 to 20 years,89
E01001250,Aged 21 to 29 years,300
E01001250,Aged 30 years and over,1373
E01001251,Aged 15 years and under,384
E01001251,Aged 16 to 20 years,84
E01001251,Aged 21 to 29 years,164
E01001251,Aged 30 years and over,1176
E01001252,Aged 15 years and under,501
E01001252,Aged 16 to 20 years,116
E01001252,Aged 21 to 29 years,284
E01001252,Aged 30 years and over,1565
E01001253,Aged 15 years and under,482
E01001253,Aged 16 to 20 years,101
E01001253,Aged 21 to 29 years,263
E01001253,Aged 30 years and over,1282
E01001254,Aged 15 years and under,364
E01001254,Aged 16 to 20 years,75
E01001254,Aged 21 to 29 years,155
E01001254,Aged 30 years and over,1153
E01001255,Aged 15 years and under,376
E01001255,Aged 16 to 20 years,77
E01001255,Aged 21 to 29 years,117
E01001255,Aged 30 years and over,1019
E01001257,Aged 15 years and under,569
E01001257,Aged 16 to 20 years,160
E01001257,Aged 21 to 29 years,282
E01001257,Aged 30 years and over,1222
E01001258,Aged 15 years and under,414
E01001258,Aged 16 to 20 years,98
E01001258,Aged 21 to 29 years,181
E01001258,Aged 30 years and over,1182
E01001259,Aged 15 years and under,331
E01001259,Aged 16 to 20 years,78
E01001259,Aged 21 to 29 years,192
E01001259,Aged 30 years and over,997
E01001260,Aged 15 years and under,376
E01001260,Aged 16 to 20 years,101
E01001260,Aged 21 to 29 years,281
E01001260,Aged 30 years and over,1278
E01001261,Aged 15 years and under,435
E01001261,Aged 16 to 20 years,130
E01001261,Aged 21 to 29 years,308
E01001261,Aged 30 years and over,1446
E01001262,Aged 15 years and under,328
E01001262,Aged 16 to 20 years,107
E01001262,Aged 21 to 29 years,194
E01001262,Aged 30 years and over,991
E01001263,Aged 15 years and under,451
E01001263,Aged 16 to 20 years,109
E01001263,Aged 21 to 29 years,237
E01001263,Aged 30 years and over,1150
E01001264,Aged 15 years and under,366
E01001264,Aged 16 to 20 years,121
E01001264,Aged 21 to 29 years,237
E01001264,Aged 30 years and over,1096
E01001265,Aged 15 years and under,339
E01001265,Aged 16 to 20 years,104
E01001265,Aged 21 to 29 years,191
E01001265,Aged 30 years and over,1086
E01001266,Aged 15 years and under,293
E01001266,Aged 16 to 20 years,105
E01001266,Aged 21 to 29 years,231
E01001266,Aged 30 years and over,1204
E01001267,Aged 15 years and under,424
E01001267,Aged 16 to 20 years,114
E01001267,Aged 21 to 29 years,201
E01001267,Aged 30 years and over,1297
E01001268,Aged 15 years and under,408
E01001268,Aged 16 to 20 years,102
E01001268,Aged 21 to 29 years,198
E01001268,Aged 30 years and over,1255
E01001269,Aged 15 years and under,465
E01001269,Aged 16 to 20 years,124
E01001269,Aged 21 to 29 years,292
E01001269,Aged 30 years and over,1391
E01001270,Aged 15 years and under,334
E01001270,Aged 16 to 20 years,130
E01001270,Aged 21 to 29 years,192
E01001270,Aged 30 years and over,1106
E01001271,Aged 15 years and under,414
E01001271,Aged 16 to 20 years,127
E01001271,Aged 21 to 29 years,210
E01001271,Aged 30 years and over,1169
E01001272,Aged 15 years and under,301
E01001272,Aged 16 to 20 years,102
E01001272,Aged 21 to 29 years,226
E01001272,Aged 30 years and over,1091
E01001273,Aged 15 years and under,299
E01001273,Aged 16 to 20 years,84
E01001273,Aged 21 to 29 years,220
E01001273,Aged 30 years and over,1072
E01001274,Aged 15 years and under,400
E01001274,Aged 16 to 20 years,74
E01001274,Aged 21 to 29 years,154
E01001274,Aged 30 years and over,983
E01001275,Aged 15 years and under,251
E01001275,Aged 16 to 20 years,47
E01001275,Aged 21 to 29 years,276
E01001275,Aged 30 years and over,1227
E01001276,Aged 15 years and under,299
E01001276,Aged 16 to 20 years,86
E01001276,Aged 21 to 29 years,268
E01001276,Aged 30 years and over,1125
E01001277,Aged 15 years and under,431
E01001277,Aged 16 to 20 years,92
E01001277,Aged 21 to 29 years,272
E01001277,Aged 30 years and over,1246
E01001278,Aged 15 years and under,453
E01001278,Aged 16 to 20 years,80
E01001278,Aged 21 to 29 years,256
E01001278,Aged 30 years and over,1291
E01001279,Aged 15 years and under,295
E01001279,Aged 16 to 20 years,61
E01001279,Aged 21 to 29 years,116
E01001279,Aged 30 years and over,1019
E01001280,Aged 15 years and under,392
E01001280,Aged 16 to 20 years,53
E01001280,Aged 21 to 29 years,185
E01001280,Aged 30 years and over,1187
E01001281,Aged 15 years and under,319
E01001281,Aged 16 to 20 years,68
E01001281,Aged 21 to 29 years,140
E01001281,Aged 30 years and over,1045
E01001282,Aged 15 years and under,355
E01001282,Aged 16 to 20 years,100
E01001282,Aged 21 to 29 years,135
E01001282,Aged 30 years and over,1029
E01001283,Aged 15 years and under,336
E01001283,Aged 16 to 20 years,81
E01001283,Aged 21 to 29 years,205
E01001283,Aged 30 years and over,1157
E01001284,Aged 15 years and under,399
E01001284,Aged 16 to 20 years,97
E01001284,Aged 21 to 29 years,156
E01001284,Aged 30 years and over,1068
E01001285,Aged 15 years and under,377
E01001285,Aged 16 to 20 years,151
E01001285,Aged 21 to 29 years,219
E01001285,Aged 30 years and over,1021
E01001286,Aged 15 years and under,383
E01001286,Aged 16 to 20 years,112
E01001286,Aged 21 to 29 years,192
E01001286,Aged 30 years and over,979
E01001287,Aged 15 years and under,397
E01001287,Aged 16 to 20 years,166
E01001287,Aged 21 to 29 years,197
E01001287,Aged 30 years and over,858
E01001288,Aged 15 years and under,342
E01001288,Aged 16 to 20 years,71
E01001288,Aged 21 to 29 years,134
E01001288,Aged 30 years and over,929
E01001289,Aged 15 years and under,278
E01001289,Aged 16 to 20 years,82
E01001289,Aged 21 to 29 years,151
E01001289,Aged 30 years and over,827
E01001290,Aged 15 years and under,405
E01001290,Aged 16 to 20 years,98
E01001290,Aged 21 to 29 years,232
E01001290,Aged 30 years and over,1315
E01001291,Aged 15 years and under,375
E01001291,Aged 16 to 20 years,105
E01001291,Aged 21 to 29 years,199
E01001291,Aged 30 years and over,1083
E01001292,Aged 15 years and under,296
E01001292,Aged 16 to 20 years,84
E01001292,Aged 21 to 29 years,210
E01001292,Aged 30 years and over,1083
E01001293,Aged 15 years and under,408
E01001293,Aged 16 to 20 years,113
E01001293,Aged 21 to 29 years,189
E01001293,Aged 30 years and over,1117
E01001294,Aged 15 years and under,409
E01001294,Aged 16 to 20 years,100
E01001294,Aged 21 to 29 years,268
E01001294,Aged 30 years and over,1252
E01001295,Aged 15 years and under,324
E01001295,Aged 16 to 20 years,116
E01001295,Aged 21 to 29 years,218
E01001295,Aged 30 years and over,1137
E01001296,Aged 15 years and under,268
E01001296,Aged 16 to 20 years,83
E01001296,Aged 21 to 29 years,189
E01001296,Aged 30 years and over,899
E01001297,Aged 15 years and under,378
E01001297,Aged 16 to 20 years,126
E01001297,Aged 21 to 29 years,221
E01001297,Aged 30 years and over,1110
E01001298,Aged 15 years and under,336
E01001298,Aged 16 to 20 years,121
E01001298,Aged 21 to 29 years,289
E01001298,Aged 30 years and over,1364
E01001299,Aged 15 years and under,352
E01001299,Aged 16 to 20 years,85
E01001299,Aged 21 to 29 years,165
E01001299,Aged 30 years and over,1153
E01001300,Aged 15 years and under,373
E01001300,Aged 16 to 20 years,67
E01001300,Aged 21 to 29 years,124
E01001300,Aged 30 years and over,1050
E01001301,Aged 15 years and under,299
E01001301,Aged 16 to 20 years,101
E01001301,Aged 21 to 29 years,343
E01001301,Aged 30 years and over,1143
E01001302,Aged 15 years and under,324
E01001302,Aged 16 to 20 years,73
E01001302,Aged 21 to 29 years,147
E01001302,Aged 30 years and over,1058
