Lower layer Super Output Areas Code,Ethnic group (6 categories),Observation
E01001269,Other ethnic group,226
E01001270,Does not apply,0
E01001270,"Asian, Asian British or Asian Welsh",511
E01001270,"Black, Black British, Black Welsh, Caribbean or African",205
E01001270,Mixed or Multiple ethnic groups,92
E01001270,White,754
E01001270,Other ethnic group,198
E01001271,Does not apply,0
E01001271,"Asian, Asian British or Asian Welsh",623
E01001271,"Black, Black British, Black Welsh, Caribbean or African",214
E01001271,Mixed or Multiple ethnic groups,90
E01001271,White,807
E01001271,Other ethnic group,186
E01001272,Does not apply,0
E01001272,"Asian, Asian British or Asian Welsh",527
E01001272,"Black, Black British, Black Welsh, Caribbean or African",138
E01001272,Mixed or Multiple ethnic groups,91
E01001272,White,777
E01001272,Other ethnic group,186
E01001273,Does not apply,0
E01001273,"Asian, Asian British or Asian Welsh",489
E01001273,"Black, Black British, Black Welsh, Caribbean or African",41
E01001273,Mixed or Multiple ethnic groups,123
E01001273,White,742
E01001273,Other ethnic group,280
E01001274,Does not apply,0
E01001274,"Asian, Asian British or Asian Welsh",588
E01001274,"Black, Black British, Black Welsh, Caribbean or African",108
E01001274,Mixed or Multiple ethnic groups,86
E01001274,White,574
E01001274,Other ethnic group,255
E01001275,Does not apply,0
E01001275,"Asian, Asian British or Asian Welsh",304
E01001275,"Black, Black British, Black Welsh, Caribbean or African",108
E01001275,Mixed or Multiple ethnic groups,130
E01001275,White,1076
E01001275,Other ethnic group,183
E01001276,Does not apply,0
E01001276,"Asian, Asian British or Asian Welsh",291
E01001276,"Black, Black British, Black Welsh, Caribbean or African",153
E01001276,Mixed or Multiple ethnic groups,68
E01001276,White,830
E01001276,Other ethnic group,436
E01001277,Does not apply,0
E01001277,"Asian, Asian British or Asian Welsh",499
E01001277,"Black, Black British, Black Welsh, Caribbean or African",77
E01001277,Mixed or Multiple ethnic groups,97
E01001277,White,1075
E01001277,Other ethnic group,293
E01001278,Does not apply,0
E01001278,"Asian, Asian British or Asian Welsh",416
E01001278,"Black, Black British, Black Welsh, Caribbean or African",125
E01001278,Mixed or Multiple ethnic groups,91
E01001278,White,830
E01001278,Other ethnic group,616
E01001279,Does not apply,0
E01001279,"Asian, Asian British or Asian Welsh",300
E01001279,"Black, Black British, Black Welsh, Caribbean or African",46
E01001279,Mixed or Multiple ethnic groups,102
E01001279,White,836
E01001279,Other ethnic group,208
E01001280,Does not apply,0
E01001280,"Asian, Asian British or Asian Welsh",428
E01001280,"Black, Black British, Black Welsh, Caribbean or African",92
E01001280,Mixed or Multiple ethnic groups,98
E01001280,White,849
E01001280,Other ethnic group,350
E01001281,Does not apply,0
E01001281,"Asian, Asian British or Asian Welsh",198
E01001281,"Black, Black British, Black Welsh, Caribbean or African",50
E01001281,Mixed or Multiple ethnic groups,98
E01001281,White,1106
E01001281,Other ethnic group,120
E01001282,Does not apply,0
E01001282,"Asian, Asian British or Asian Welsh",367
E01001282,"Black, Black British, Black Welsh, Caribbean or African",153
E01001282,Mixed or Multiple ethnic groups,129
E01001282,White,843
E01001282,Other ethnic group,128
E01001283,Does not apply,0
E01001283,"Asian, Asian British or Asian Welsh",275
E01001283,"Black, Black British, Black Welsh, Caribbean or African",291
E01001283,Mixed or Multiple ethnic groups,136
E01001283,White,882
E01001283,Other ethnic group,197
E01001284,Does not apply,0
E01001284,"Asian, Asian British or Asian Welsh",263
E01001284,"Black, Black British, Black Welsh, Caribbean or African",137
E01001284,Mixed or Multiple ethnic groups,119
E01001284,White,1080
E01001284,Other ethnic group,119
E01001285,Does not apply,0
E01001285,"Asian, Asian British or Asian Welsh",277
E01001285,"Black, Black British, Black Welsh, Caribbean or African",236
E01001285,Mixed or Multiple ethnic groups,146
E01001285,White,887
E01001285,Other ethnic group,221
E01001286,Does not apply,0
E01001286,"Asian, Asian British or Asian Welsh",283
E01001286,"Black, Black British, Black Welsh, Caribbean or African",238
E01001286,Mixed or Multiple ethnic groups,148
E01001286,White,857
E01001286,Other ethnic group,143
E01001287,Does not apply,0
E01001287,"Asian, Asian British or Asian Welsh",443
E01001287,"Black, Black British, Black Welsh, Caribbean or African",415
E01001287,Mixed or Multiple ethnic groups,141
E01001287,White,474
E01001287,Other ethnic group,146
E01001288,Does not apply,0
E01001288,"Asian, Asian British or Asian Welsh",176
E01001288,"Black, Black British, Black Welsh, Caribbean or African",151
E01001288,Mixed or Multiple ethnic groups,109
E01001288,White,905
E01001288,Other ethnic group,134
E01001289,Does not apply,0
E01001289,"Asian, Asian British or Asian Welsh",151
E01001289,"Black, Black British, Black Welsh, Caribbean or African",115
E01001289,Mixed or Multiple ethnic groups,96
E01001289,White,909
E01001289,Other ethnic group,67
E01001290,Does not apply,0
E01001290,"Asian, Asian British or Asian Welsh",315
E01001290,"Black, Black British, Black Welsh, Caribbean or African",168
E01001290,Mixed or Multiple ethnic groups,156
E01001290,White,1279
E01001290,Other ethnic group,131
E01001291,Does not apply,0
E01001291,"Asian, Asian British or Asian Welsh",995
E01001291,"Black, Black British, Black Welsh, Caribbean or African",135
E01001291,Mixed or Multiple ethnic groups,55
E01001291,White,390
E01001291,Other ethnic group,187
E01001292,Does not apply,0
E01001292,"Asian, Asian British or Asian Welsh",759
E01001292,"Black, Black British, Black Welsh, Caribbean or African",166
E01001292,Mixed or Multiple ethnic groups,92
E01001292,White,447
E01001292,Other ethnic group,211
E01001293,Does not apply,0
E01001293,"Asian, Asian British or Asian Welsh",1211
E01001293,"Black, Black British, Black Welsh, Caribbean or African",171
E01001293,Mixed or Multiple ethnic groups,32
E01001293,White,229
E01001293,Other ethnic group,189
E01001294,Does not apply,0
E01001294,"Asian, Asian British or Asian Welsh",1457
E01001294,"Black, Black British, Black Welsh, Caribbean or African",102
E01001294,Mixed or Multiple ethnic groups,27
E01001294,White,191
E01001294,Other ethnic group,252
E01001295,Does not apply,0
E01001295,"Asian, Asian British or Asian Welsh",1250
E01001295,"Black, Black British, Black Welsh, Caribbean or African",89
E01001295,Mixed or Multiple ethnic groups,40
E01001295,White,214
E01001295,Other ethnic group,202
E01001296,Does not apply,0
E01001296,"Asian, Asian British or Asian Welsh",1006
E01001296,"Black, Black British, Black Welsh, Caribbean or African",71
E01001296,Mixed or Multiple ethnic groups,22
E01001296,White,176
E01001296,Other ethnic group,164
E01001297,Does not apply,0
E01001297,"Asian, Asian British or Asian Welsh",1367
E01001297,"Black, Black British, Black Welsh, Caribbean or African",128
E01001297,Mixed or Multiple ethnic groups,19
E01001297,White,120
E01001297,Other ethnic group,202
E01001298,Does not apply,0
E01001298,"Asian, Asian British or Asian Welsh",1358
E01001298,"Black, Black British, Black Welsh, Caribbean or African",105
E01001298,Mixed or Multiple ethnic groups,38
E01001298,White,252
E01001298,Other ethnic group,357
E01001299,Does not apply,0
E01001299,"Asian, Asian British or Asian Welsh",246
E01001299,"Black, Black British, Black Welsh, Caribbean or African",80
E01001299,Mixed or Multiple ethnic groups,100
E01001299,White,1261
E01001299,Other ethnic group,69
E01001300,Does not apply,0
E01001300,"Asian, Asian British or Asian Welsh",196
E01001300,"Black, Black British, Black Welsh, Caribbean or African",56
E01001300,Mixed or Multiple ethnic groups,103
E01001300,White,1201
E01001300,Other ethnic group,60
E01001301,Does not apply,0
E01001301,"Asian, Asian British or Asian Welsh",238
E01001301,"Black, Black British, Black Welsh, Caribbean or African",129
E01001301,Mixed or Multiple ethnic groups,129
E01001301,White,1258
E01001301,Other ethnic group,131
E01001302,Does not apply,0
E01001302,"Asian, Asian British or Asian Welsh",205
E01001302,"Black, Black British, Black Welsh, Caribbean or African",82
E01001302,Mixed or Multiple ethnic groups,118
E01001302,White,1165
E01001302,Other ethnic group,32
E01001303,Does not apply,0
E01001303,"Asian, Asian British or Asian Welsh",187
E01001303,"Black, Black British, Black Welsh, Caribbean or African",57
E01001303,Mixed or Multiple ethnic groups,96
E01001303,White,1314
E01001303,Other ethnic group,68
E01001304,Does not apply,0
E01001304,"Asian, Asian British or Asian Welsh",138
E01001304,"Black, Black British, Black Welsh, Caribbean or African",208
E01001304,Mixed or Multiple ethnic groups,106
E01001304,White,1135
E01001304,Other ethnic group,74
E01001305,Does not apply,0
E01001305,"Asian, Asian British or Asian Welsh",259
E01001305,"Black, Black British, Black Welsh, Caribbean or African",60
E01001305,Mixed or Multiple ethnic groups,98
E01001305,White,1244
E01001305,Other ethnic group,67
E01001306,Does not apply,0
E01001306,"Asian, Asian British or Asian Welsh",188
E01001306,"Black, Black British, Black Welsh, Caribbean or African",63
E01001306,Mixed or Multiple ethnic groups,121
E01001306,White,1191
E01001306,Other ethnic group,74
E01001307,Does not apply,0
E01001307,"Asian, Asian British or Asian Welsh",664
E01001307,"Black, Black British, Black Welsh, Caribbean or African",138
E01001307,Mixed or Multiple ethnic groups,65
E01001307,White,847
E01001307,Other ethnic group,170
E01001308,Does not apply,0
E01001308,"Asian, Asian British or Asian Welsh",826
E01001308,"Black, Black British, Black Welsh, Caribbean or African",130
E01001308,Mixed or Multiple ethnic groups,53
E01001308,White,709
E01001308,Other ethnic group,222
E01001309,Does not apply,0
E01001309,"Asian, Asian British or Asian Welsh",751
E01001309,"Black, Black British, Black Welsh, Caribbean or African",171
E01001309,Mixed or Multiple ethnic groups,62
E01001309,White,717
E01001309,Other ethnic group,154
E01001310,Does not apply,0
E01001310,"Asian, Asian British or Asian Welsh",709
E01001310,"Black, Black British, Black Welsh, Caribbean or African",305
E01001310,Mixed or Multiple ethnic groups,100
E01001310,White,881
E01001310,Other ethnic group,148
E01001311,Does not apply,0
E01001311,"Asian, Asian British or Asian Welsh",676
E01001311,"Black, Black British, Black Welsh, Caribbean or African",527
E01001311,Mixed or Multiple ethnic groups,153
E01001311,White,911
E01001311,Other ethnic group,251
E01001312,Does not apply,0
E01001312,"Asian, Asian British or Asian Welsh",814
E01001312,"Black, Black British, Black Welsh, Caribbean or African",162
E01001312,Mixed or Multiple ethnic groups,72
E01001312,White,720
E01001312,Other ethnic group,200
E01001313,Does not apply,0
E01001313,"Asian, Asian British or Asian Welsh",806
E01001313,"Black, Black British, Black Welsh, Caribbean or African",158
E01001313,Mixed or Multiple ethnic groups,60
E01001313,White,545
E01001313,Other ethnic group,156
E01001314,Does not apply,0
E01001314,"Asian, Asian British or Asian Welsh",525
E01001314,"Black, Black British, Black Welsh, Caribbean or African",137
E01001314,Mixed or Multiple ethnic groups,93
E01001314,White,596
E01001314,Other ethnic group,174
E01001315,Does not apply,0
E01001315,"Asian, Asian British or Asian Welsh",549
E01001315,"Black, Black British, Black Welsh, Caribbean or African",174
E01001315,Mixed or Multiple ethnic groups,65
E01001315,White,548
E01001315,Other ethnic group,131
E01001316,Does not apply,0
E01001316,"Asian, Asian British or Asian Welsh",534
E01001316,"Black, Black British, Black Welsh, Caribbean or African",308
E01001316,Mixed or Multiple ethnic groups,93
E01001316,White,645
E01001316,Other ethnic group,146
E01001317,Does not apply,0
E01001317,"Asian, Asian British or Asian Welsh",631
E01001317,"Black, Black British, Black Welsh, Caribbean or African",343
E01001317,Mixed or Multiple ethnic groups,125
E01001317,White,845
E01001317,Other ethnic group,238
E01001318,Does not apply,0
E01001318,"Asian, Asian British or Asian Welsh",535
E01001318,"Black, Black British, Black Welsh, Caribbean or African",336
E01001318,Mixed or Multiple ethnic groups,88
E01001318,White,787
E01001318,Other ethnic group,203
E01001319,Does not apply,0
E01001319,"Asian, Asian British or Asian Welsh",445
E01001319,"Black, Black British, Black Welsh, Caribbean or African",200
E01001319,Mixed or Multiple ethnic groups,50
E01001319,White,646
E01001319,Other ethnic group,208
E01001320,Does not apply,0
E01001320,"Asian, Asian British or Asian Welsh",312
E01001320,"Black, Black British, Black Welsh, Caribbean or African",356
E01001320,Mixed or Multiple ethnic groups,103
E01001320,White,697
E01001320,Other ethnic group,157
E01001321,Does not apply,0
E01001321,"Asian, Asian British or Asian Welsh",567
E01001321,"Black, Black British, Black Welsh, Caribbean or African",315
E01001321,Mixed or Multiple ethnic groups,129
E01001321,White,1018
E01001321,Other ethnic group,231
E01001322,Does not apply,0
E01001322,"Asian, Asian British or Asian Welsh",592
E01001322,"Black, Black British, Black Welsh, Caribbean or African",246
E01001322,Mixed or Multiple ethnic groups,89
E01001322,White,909
E01001322,Other ethnic group,235
E01001323,Does not apply,0
E01001323,"Asian, Asian British or Asian Welsh",649
E01001323,"Black, Black British, Black Welsh, Caribbean or African",319
E01001323,Mixed or Multiple ethnic groups,93
E01001323,White,744
E01001323,Other ethnic group,214
E01001324,Does not apply,0
E01001324,"Asian, Asian British or Asian Welsh",468
E01001324,"Black, Black British, Black Welsh, Caribbean or African",312
E01001324,Mixed or Multiple ethnic groups,57
E01001324,White,627
E01001324,Other ethnic group,200
E01001325,Does not apply,0
E01001325,"Asian, Asian British or Asian Welsh",565
E01001325,"Black, Black British, Black Welsh, Caribbean or African",293
E01001325,Mixed or Multiple ethnic groups,145
E01001325,White,765
E01001325,Other ethnic group,215
E01001326,Does not apply,0
E01001326,"Asian, Asian British or Asian Welsh",450
E01001326,"Black, Black British, Black Welsh, Caribbean or African",290
E01001326,Mixed or Multiple ethnic groups,221
E01001326,White,740
E01001326,Other ethnic group,260
E01001327,Does not apply,0
E01001327,"Asian, Asian British or Asian Welsh",544
E01001327,"Black, Black British, Black Welsh, Caribbean or African",323
E01001327,Mixed or Multiple ethnic groups,89
E01001327,White,714
E01001327,Other ethnic group,223
E01001328,Does not apply,0
E01001328,"Asian, Asian British or Asian Welsh",533
E01001328,"Black, Black British, Black Welsh, Caribbean or African",388
E01001328,Mixed or Multiple ethnic groups,74
E01001328,White,601
E01001328,Other ethnic group,227
E01001329,Does not apply,0
E01001329,"Asian, Asian British or Asian Welsh",558
E01001329,"Black, Black British, Black Welsh, Caribbean or African",299
E01001329,Mixed or Multiple ethnic groups,118
E01001329,White,741
E01001329,Other ethnic group,248
E01001330,Does not apply,0
E01001330,"Asian, Asian British or Asian Welsh",537
E01001330,"Black, Black British, Black Welsh, Caribbean or African",443
E01001330,Mixed or Multiple ethnic groups,81
E01001330,White,596
E01001330,Other ethnic group,199
E01001331,Does not apply,0
E01001331,"Asian, Asian British or Asian Welsh",432
E01001331,"Black, Black British, Black Welsh, Caribbean or African",460
E01001331,Mixed or Multiple ethnic groups,104
E01001331,White,584
E01001331,Other ethnic group,216
E01001332,Does not apply,0
E01001332,"Asian, Asian British or Asian Welsh",419
E01001332,"Black, Black British, Black Welsh, Caribbean or African",399
E01001332,Mixed or Multiple ethnic groups,83
E01001332,White,538
E01001332,Other ethnic group,155
E01001333,Does not apply,0
E01001333,"Asian, Asian British or Asian Welsh",1639
E01001333,"Black, Black British, Black Welsh, Caribbean or African",315
E01001333,Mixed or Multiple ethnic groups,60
E01001333,White,161
E01001333,Other ethnic group,290
E01001334,Does not apply,0
E01001334,"Asian, Asian British or Asian Welsh",911
E01001334,"Black, Black British, Black Welsh, Caribbean or African",370
E01001334,Mixed or Multiple ethnic groups,40
E01001334,White,149
E01001334,Other ethnic group,197
E01001335,Does not apply,0
E01001335,"Asian, Asian British or Asian Welsh",1171
E01001335,"Black, Black British, Black Welsh, Caribbean or African",64
E01001335,Mixed or Multiple ethnic groups,60
E01001335,White,254
E01001335,Other ethnic group,251
E01001336,Does not apply,0
E01001336,"Asian, Asian British or Asian Welsh",1118
E01001336,"Black, Black British, Black Welsh, Caribbean or African",114
E01001336,Mixed or Multiple ethnic groups,26
E01001336,White,271
E01001336,Other ethnic group,310
E01001337,Does not apply,0
E01001337,"Asian, Asian British or Asian Welsh",615
E01001337,"Black, Black British, Black Welsh, Caribbean or African",364
E01001337,Mixed or Multiple ethnic groups,135
E01001337,White,807
E01001337,Other ethnic group,202
E01001338,Does not apply,0
E01001338,"Asian, Asian British or Asian Welsh",1244
E01001338,"Black, Black British, Black Welsh, Caribbean or African",155
E01001338,Mixed or Multiple ethnic groups,51
E01001338,White,196
E01001338,Other ethnic group,223
E01001339,Does not apply,0
E01001339,"Asian, Asian British or Asian Welsh",1075
E01001339,"Black, Black British, Black Welsh, Caribbean or African",423
E01001339,Mixed or Multiple ethnic groups,114
E01001339,White,356
E01001339,Other ethnic group,216
E01001340,Does not apply,0
E01001340,"Asian, Asian British or Asian Welsh",361
E01001340,"Black, Black British, Black Welsh, Caribbean or African",377
E01001340,Mixed or Multiple ethnic groups,108
E01001340,White,579
E01001340,Other ethnic group,142
E01001341,Does not apply,0
E01001341,"Asian, Asian British or Asian Welsh",678
E01001341,"Black, Black British, Black Welsh, Caribbean or African",143
E01001341,Mixed or Multiple ethnic groups,68
E01001341,White,648
E01001341,Other ethnic group,256
E01001342,Does not apply,0
E01001342,"Asian, Asian British or Asian Welsh",784
E01001342,"Black, Black British, Black Welsh, Caribbean or African",115
E01001342,Mixed or Multiple ethnic groups,62
E01001342,White,620
E01001342,Other ethnic group,315
E01001343,Does not apply,0
E01001343,"Asian, Asian British or Asian Welsh",488
E01001343,"Black, Black British, Black Welsh, Caribbean or African",79
E01001343,Mixed or Multiple ethnic groups,41
E01001343,White,581
E01001343,Other ethnic group,251
E01001344,Does not apply,0
E01001344,"Asian, Asian British or Asian Welsh",467
E01001344,"Black, Black British, Black Welsh, Caribbean or African",159
E01001344,Mixed or Multiple ethnic groups,141
E01001344,White,1073
E01001344,Other ethnic group,449
E01001345,Does not apply,0
E01001345,"Asian, Asian British or Asian Welsh",892
E01001345,"Black, Black British, Black Welsh, Caribbean or African",148
E01001345,Mixed or Multiple ethnic groups,57
E01001345,White,461
E01001345,Other ethnic group,203
E01001346,Does not apply,0
E01001346,"Asian, Asian British or Asian Welsh",379
E01001346,"Black, Black British, Black Welsh, Caribbean or African",160
E01001346,Mixed or Multiple ethnic groups,77
E01001346,White,974
E01001346,Other ethnic group,364
E01001347,Does not apply,0
E01001347,"Asian, Asian British or Asian Welsh",539
E01001347,"Black, Black British, Black Welsh, Caribbean or African",154
E01001347,Mixed or Multiple ethnic groups,90
E01001347,White,794
E01001347,Other ethnic group,397
E01001348,Does not apply,0
E01001348,"Asian, Asian British or Asian Welsh",289
E01001348,"Black, Black British, Black Welsh, Caribbean or African",169
E01001348,Mixed or Multiple ethnic groups,84
E01001348,White,778
E01001348,Other ethnic group,352
E01001349,Does not apply,0
E01001349,"Asian, Asian British or Asian Welsh",373
E01001349,"Black, Black British, Black Welsh, Caribbean or African",254
E01001349,Mixed or Multiple ethnic groups,91
E01001349,White,561
E01001349,Other ethnic group,133
E01001350,Does not apply,0
E01001350,"Asian, Asian British or Asian Welsh",250
E01001350,"Black, Black British, Black Welsh, Caribbean or African",112
E01001350,Mixed or Multiple ethnic groups,70
E01001350,White,904
E01001350,Other ethnic group,103
E01001351,Does not apply,0
E01001351,"Asian, Asian British or Asian Welsh",246
E01001351,"Black, Black British, Black Welsh, Caribbean or African",228
E01001351,Mixed or Multiple ethnic groups,117
E01001351,White,1171
E01001351,Other ethnic group,210
E01001352,Does not apply,0
E01001352,"Asian, Asian British or Asian Welsh",249
E01001352,"Black, Black British, Black Welsh, Caribbean or African",96
E01001352,Mixed or Multiple ethnic groups,102
E01001352,White,1029
E01001352,Other ethnic group,106
E01001353,Does not apply,0
E01001353,"Asian, Asian British or Asian Welsh",169
E01001353,"Black, Black British, Black Welsh, Caribbean or African",152
E01001353,Mixed or Multiple ethnic groups,89
E01001353,White,860
E01001353,Other ethnic group,148
E01001354,Does not apply,0
E01001354,"Asian, Asian British or Asian Welsh",327
E01001354,"Black, Black British, Black Welsh, Caribbean or African",167
E01001354,Mixed or Multiple ethnic groups,146
E01001354,White,1266
E01001354,Other ethnic group,151
E01001355,Does not apply,0
E01001355,"Asian, Asian British or Asian Welsh",185
E01001355,"Black, Black British, Black Welsh, Caribbean or African",186
E01001355,Mixed or Multiple ethnic groups,113
E01001355,White,1281
E01001355,Other ethnic group,195
E01001356,Does not apply,0
E01001356,"Asian, Asian British or Asian Welsh",222
E01001356,"Black, Black British, Black Welsh, Caribbean or African",476
E01001356,Mixed or Multiple ethnic groups,81
E01001356,White,491
E01001356,Other ethnic group,225
E01001357,Does not apply,0
E01001357,"Asian, Asian British or Asian Welsh",398
E01001357,"Black, Black British, Black Welsh, Caribbean or African",609
E01001357,Mixed or Multiple ethnic groups,140
E01001357,White,1365
E01001357,Other ethnic group,238
E01001358,Does not apply,0
E01001358,"Asian, Asian British or Asian Welsh",311
E01001358,"Black, Black British, Black Welsh, Caribbean or African",435
E01001358,Mixed or Multiple ethnic groups,129
E01001358,White,919
E01001358,Other ethnic group,193
E01001359,Does not apply,0
E01001359,"Asian, Asian British or Asian Welsh",2089
E01001359,"Black, Black British, Black Welsh, Caribbean or African",122
E01001359,Mixed or Multiple ethnic groups,25
E01001359,White,47
E01001359,Other ethnic group,180
E01001360,Does not apply,0
E01001360,"Asian, Asian British or Asian Welsh",1944
E01001360,"Black, Black British, Black Welsh, Caribbean or African",59
E01001360,Mixed or Multiple ethnic groups,16
E01001360,White,50
E01001360,Other ethnic group,144
E01001361,Does not apply,0
E01001361,"Asian, Asian British or Asian Welsh",1790
E01001361,"Black, Black British, Black Welsh, Caribbean or African",165
E01001361,Mixed or Multiple ethnic groups,41
E01001361,White,133
E01001361,Other ethnic group,148
E01001362,Does not apply,0
E01001362,"Asian, Asian British or Asian Welsh",1943
E01001362,"Black, Black British, Black Welsh, Caribbean or African",236
E01001362,Mixed or Multiple ethnic groups,57
E01001362,White,168
E01001362,Other ethnic group,220
E01001363,Does not apply,0
E01001363,"Asian, Asian British or Asian Welsh",1607
E01001363,"Black, Black British, Black Welsh, Caribbean or African",149
E01001363,Mixed or Multiple ethnic groups,33
E01001363,White,52
E01001363,Other ethnic group,153
E01001364,Does not apply,0
E01001364,"Asian, Asian British or Asian Welsh",1232
E01001364,"Black, Black British, Black Welsh, Caribbean or African",291
E01001364,Mixed or Multiple ethnic groups,46
E01001364,White,123
E01001364,Other ethnic group,144
E01001365,Does not apply,0
E01001365,"Asian, Asian British or Asian Welsh",1979
E01001365,"Black, Black British, Black Welsh, Caribbean or African",124
E01001365,Mixed or Multiple ethnic groups,35
E01001365,White,105
E01001365,Other ethnic group,334
E01001366,Does not apply,0
E01001366,"Asian, Asian British or Asian Welsh",1424
E01001366,"Black, Black British, Black Welsh, Caribbean or African",194
E01001366,Mixed or Multiple ethnic groups,45
E01001366,White,89
E01001366,Other ethnic group,301
E01001367,Does not apply,0
E01001367,"Asian, Asian British or Asian Welsh",2109
E01001367,"Black, Black British, Black Welsh, Caribbean or African",158
E01001367,Mixed or Multiple ethnic groups,56
E01001367,White,137
E01001367,Other ethnic group,249
E01001368,Does not apply,0
E01001368,"Asian, Asian British or Asian Welsh",1324
E01001368,"Black, Black British, Black Welsh, Caribbean or African",124
E01001368,Mixed or Multiple ethnic groups,28
E01001368,White,91
E01001368,Other ethnic group,197
E01001369,Does not apply,0
E01001369,"Asian, Asian British or Asian Welsh",1554
E01001369,"Black, Black British, Black Welsh, Caribbean or African",129
E01001369,Mixed or Multiple ethnic groups,25
E01001369,White,101
E01001369,Other ethnic group,258
E01001370,Does not apply,0
E01001370,"Asian, Asian British or Asian Welsh",1567
E01001370,"Black, Black British, Black Welsh, Caribbean or African",160
E01001370,Mixed or Multiple ethnic groups,41
E01001370,White,98
E01001370,Other ethnic group,306
E01001371,Does not apply,0
E01001371,"Asian, Asian British or Asian Welsh",1629
E01001371,"Black, Black British, Black Welsh, Caribbean or African",257
E01001371,Mixed or Multiple ethnic groups,25
E01001371,White,150
E01001371,Other ethnic group,248
E01001372,Does not apply,0
E01001372,"Asian, Asian British or Asian Welsh",1843
E01001372,"Black, Black British, Black Welsh, Caribbean or African",217
E01001372,Mixed or Multiple ethnic groups,48
E01001372,White,184
E01001372,Other ethnic group,261
E01001373,Does not apply,0
E01001373,"Asian, Asian British or Asian Welsh",1510
E01001373,"Black, Black British, Black Welsh, Caribbean or African",175
E01001373,Mixed or Multiple ethnic groups,48
E01001373,White,124
E01001373,Other ethnic group,221
E01001374,Does not apply,0
E01001374,"Asian, Asian British or Asian Welsh",181
E01001374,"Black, Black British, Black Welsh, Caribbean or African",153
E01001374,Mixed or Multiple ethnic groups,109
E01001374,White,1424
E01001374,Other ethnic group,78
E01001375,Does not apply,0
E01001375,"Asian, Asian British or Asian Welsh",138
E01001375,"Black, Black British, Black Welsh, Caribbean or African",24
E01001375,Mixed or Multiple ethnic groups,102
E01001375,White,1369
E01001375,Other ethnic group,65
E01001376,Does not apply,0
E01001376,"Asian, Asian British or Asian Welsh",212
E01001376,"Black, Black British, Black Welsh, Caribbean or African",217
E01001376,Mixed or Multiple ethnic groups,130
E01001376,White,1022
E01001376,Other ethnic group,125
E01001377,Does not apply,0
E01001377,"Asian, Asian British or Asian Welsh",120
E01001377,"Black, Black British, Black Welsh, Caribbean or African",58
E01001377,Mixed or Multiple ethnic groups,103
E01001377,White,1305
E01001377,Other ethnic group,51
E01001379,Does not apply,0
E01001379,"Asian, Asian British or Asian Welsh",122
E01001379,"Black, Black British, Black Welsh, Caribbean or African",60
E01001379,Mixed or Multiple ethnic groups,100
E01001379,White,1383
E01001379,Other ethnic group,71
E01001380,Does not apply,0
E01001380,"Asian, Asian British or Asian Welsh",254
E01001380,"Black, Black British, Black Welsh, Caribbean or African",76
E01001380,Mixed or Multiple ethnic groups,159
E01001380,White,1714
E01001380,Other ethnic group,102
E01001381,Does not apply,0
E01001381,"Asian, Asian British or Asian Welsh",171
E01001381,"Black, Black British, Black Welsh, Caribbean or African",182
E01001381,Mixed or Multiple ethnic groups,132
E01001381,White,1221
E01001381,Other ethnic group,171
E01001382,Does not apply,0
E01001382,"Asian, Asian British or Asian Welsh",176
E01001382,"Black, Black British, Black Welsh, Caribbean or African",35
E01001382,Mixed or Multiple ethnic groups,86
E01001382,White,1120
E01001382,Other ethnic group,64
E01001383,Does not apply,0
E01001383,"Asian, Asian British or Asian Welsh",298
E01001383,"Black, Black British, Black Welsh, Caribbean or African",99
E01001383,Mixed or Multiple ethnic groups,124
E01001383,White,1158
E01001383,Other ethnic group,76
E01001384,Does not apply,0
E01001384,"Asian, Asian British or Asian Welsh",213
E01001384,"Black, Black British, Black Welsh, Caribbean or African",112
E01001384,Mixed or Multiple ethnic groups,124
E01001384,White,1177
E01001384,Other ethnic group,124
E01001385,Does not apply,0
E01001385,"Asian, Asian British or Asian Welsh",183
E01001385,"Black, Black British, Black Welsh, Caribbean or African",60
E01001385,Mixed or Multiple ethnic groups,105
E01001385,White,1244
E01001385,Other ethnic group,86
E01001386,Does not apply,0
E01001386,"Asian, Asian British or Asian Welsh",172
E01001386,"Black, Black British, Black Welsh, Caribbean or African",24
E01001386,Mixed or Multiple ethnic groups,113
E01001386,White,1426
E01001386,Other ethnic group,63
E01001387,Does not apply,0
E01001387,"Asian, Asian British or Asian Welsh",207
E01001387,"Black, Black British, Black Welsh, Caribbean or African",86
E01001387,Mixed or Multiple ethnic groups,73
E01001387,White,1092
E01001387,Other ethnic group,73
E01001388,Does not apply,0
E01001388,"Asian, Asian British or Asian Welsh",221
E01001388,"Black, Black British, Black Welsh, Caribbean or African",249
E01001388,Mixed or Multiple ethnic groups,91
E01001388,White,763
E01001388,Other ethnic group,119
E01001389,Does not apply,0
E01001389,"Asian, Asian British or Asian Welsh",267
E01001389,"Black, Black British, Black Welsh, Caribbean or African",158
E01001389,Mixed or Multiple ethnic groups,117
E01001389,White,1135
E01001389,Other ethnic group,148
E01001390,Does not apply,0
E01001390,"Asian, Asian British or Asian Welsh",272
E01001390,"Black, Black British, Black Welsh, Caribbean or African",122
E01001390,Mixed or Multiple ethnic groups,116
E01001390,White,1165
E01001390,Other ethnic group,143
E01001391,Does not apply,0
E01001391,"Asian, Asian British or Asian Welsh",150
E01001391,"Black, Black British, Black Welsh, Caribbean or African",162
E01001391,Mixed or Multiple ethnic groups,112
