Lower layer Super Output Areas Code,Ethnic group (6 categories),Observation
E01000028,Other ethnic group,82
E01000029,Does not apply,0
E01000029,"Asian, Asian British or Asian Welsh",659
E01000029,"Black, Black British, Black Welsh, Caribbean or African",239
E01000029,Mixed or Multiple ethnic groups,38
E01000029,White,823
E01000029,Other ethnic group,61
E01000030,Does not apply,0
E01000030,"Asian, Asian British or Asian Welsh",425
E01000030,"Black, Black British, Black Welsh, Caribbean or African",730
E01000030,Mixed or Multiple ethnic groups,150
E01000030,White,1182
E01000030,Other ethnic group,76
E01000031,Does not apply,0
E01000031,"Asian, Asian British or Asian Welsh",757
E01000031,"Black, Black British, Black Welsh, Caribbean or African",253
E01000031,Mixed or Multiple ethnic groups,100
E01000031,White,582
E01000031,Other ethnic group,78
E01000032,Does not apply,0
E01000032,"Asian, Asian British or Asian Welsh",755
E01000032,"Black, Black British, Black Welsh, Caribbean or African",221
E01000032,Mixed or Multiple ethnic groups,93
E01000032,White,908
E01000032,Other ethnic group,98
E01000033,Does not apply,0
E01000033,"Asian, Asian British or Asian Welsh",156
E01000033,"Black, Black British, Black Welsh, Caribbean or African",341
E01000033,Mixed or Multiple ethnic groups,59
E01000033,White,945
E01000033,Other ethnic group,40
E01000034,Does not apply,0
E01000034,"Asian, Asian British or Asian Welsh",181
E01000034,"Black, Black British, Black Welsh, Caribbean or African",301
E01000034,Mixed or Multiple ethnic groups,55
E01000034,White,1003
E01000034,Other ethnic group,35
E01000035,Does not apply,0
E01000035,"Asian, Asian British or Asian Welsh",380
E01000035,"Black, Black British, Black Welsh, Caribbean or African",392
E01000035,Mixed or Multiple ethnic groups,66
E01000035,White,979
E01000035,Other ethnic group,42
E01000036,Does not apply,0
E01000036,"Asian, Asian British or Asian Welsh",411
E01000036,"Black, Black British, Black Welsh, Caribbean or African",293
E01000036,Mixed or Multiple ethnic groups,28
E01000036,White,692
E01000036,Other ethnic group,46
E01000037,Does not apply,0
E01000037,"Asian, Asian British or Asian Welsh",325
E01000037,"Black, Black British, Black Welsh, Caribbean or African",180
E01000037,Mixed or Multiple ethnic groups,51
E01000037,White,1083
E01000037,Other ethnic group,60
E01000038,Does not apply,0
E01000038,"Asian, Asian British or Asian Welsh",269
E01000038,"Black, Black British, Black Welsh, Caribbean or African",180
E01000038,Mixed or Multiple ethnic groups,66
E01000038,White,1045
E01000038,Other ethnic group,56
E01000039,Does not apply,0
E01000039,"Asian, Asian British or Asian Welsh",281
E01000039,"Black, Black British, Black Welsh, Caribbean or African",288
E01000039,Mixed or Multiple ethnic groups,71
E01000039,White,1043
E01000039,Other ethnic group,70
E01000040,Does not apply,0
E01000040,"Asian, Asian British or Asian Welsh",535
E01000040,"Black, Black British, Black Welsh, Caribbean or African",416
E01000040,Mixed or Multiple ethnic groups,57
E01000040,White,764
E01000040,Other ethnic group,105
E01000041,Does not apply,0
E01000041,"Asian, Asian British or Asian Welsh",339
E01000041,"Black, Black British, Black Welsh, Caribbean or African",319
E01000041,Mixed or Multiple ethnic groups,73
E01000041,White,1074
E01000041,Other ethnic group,37
E01000042,Does not apply,0
E01000042,"Asian, Asian British or Asian Welsh",467
E01000042,"Black, Black British, Black Welsh, Caribbean or African",424
E01000042,Mixed or Multiple ethnic groups,79
E01000042,White,867
E01000042,Other ethnic group,40
E01000043,Does not apply,0
E01000043,"Asian, Asian British or Asian Welsh",568
E01000043,"Black, Black British, Black Welsh, Caribbean or African",211
E01000043,Mixed or Multiple ethnic groups,41
E01000043,White,657
E01000043,Other ethnic group,60
E01000044,Does not apply,0
E01000044,"Asian, Asian British or Asian Welsh",687
E01000044,"Black, Black British, Black Welsh, Caribbean or African",307
E01000044,Mixed or Multiple ethnic groups,130
E01000044,White,790
E01000044,Other ethnic group,75
E01000045,Does not apply,0
E01000045,"Asian, Asian British or Asian Welsh",358
E01000045,"Black, Black British, Black Welsh, Caribbean or African",368
E01000045,Mixed or Multiple ethnic groups,61
E01000045,White,863
E01000045,Other ethnic group,73
E01000046,Does not apply,0
E01000046,"Asian, Asian British or Asian Welsh",342
E01000046,"Black, Black British, Black Welsh, Caribbean or African",391
E01000046,Mixed or Multiple ethnic groups,61
E01000046,White,1115
E01000046,Other ethnic group,47
E01000049,Does not apply,0
E01000049,"Asian, Asian British or Asian Welsh",600
E01000049,"Black, Black British, Black Welsh, Caribbean or African",613
E01000049,Mixed or Multiple ethnic groups,79
E01000049,White,601
E01000049,Other ethnic group,80
E01000050,Does not apply,0
E01000050,"Asian, Asian British or Asian Welsh",676
E01000050,"Black, Black British, Black Welsh, Caribbean or African",321
E01000050,Mixed or Multiple ethnic groups,59
E01000050,White,690
E01000050,Other ethnic group,93
E01000051,Does not apply,0
E01000051,"Asian, Asian British or Asian Welsh",365
E01000051,"Black, Black British, Black Welsh, Caribbean or African",378
E01000051,Mixed or Multiple ethnic groups,54
E01000051,White,264
E01000051,Other ethnic group,46
E01000052,Does not apply,0
E01000052,"Asian, Asian British or Asian Welsh",836
E01000052,"Black, Black British, Black Welsh, Caribbean or African",347
E01000052,Mixed or Multiple ethnic groups,115
