lsoa21cd,tov_count
E01000350,13
E01000361,16
E01000385,26
E01000331,31
E01000363,18
E01000448,14
E01000468,37
E01000417,33
E01000328,12
E01000386,13
E01000428,23
E01000374,24
E01000377,17
E01000405,33
E01000444,22
E01000462,17
E01000403,65
E01000445,13
E01000376,23
E01000408,62
E01000434,16
E01000335,61
E01000430,38
E01000447,22
E01033792,20
E01000381,18
E01000466,51
E01000383,15
E01000471,9
E01000509,19
E01000522,27
E01000532,17
E01000546,20
E01000547,22
E01000549,20
E01000552,5
E01000556,23
E01000559,20
E01000561,17
E01000584,19
E01000585,22
E01000599,13
E01000603,10
E01000611,4
E01000616,19
E01000637,16
E01033485,20
E01033936,14
E01033939,19
E01033940,5
E01033941,4
E01000505,26
E01000508,30
E01000523,30
E01000531,28
E01000544,9
E01000545,34
E01000548,24
E01000551,10
E01000553,32
E01000570,16
E01000572,18
E01000579,18
E01000593,9
E01000629,25
E01033455,20
E01033929,19
E01033933,17
E01033937,12
E01000483,24
E01000513,19
E01000517,13
E01000526,22
E01000550,19
E01000557,20
E01000558,16
E01000560,11
E01000567,5
E01000574,15
E01000581,21
E01000592,8
E01000602,18
E01000606,17
E01000607,17
E01000619,14
E01000639,18
E01000642,23
E01000644,26
E01033457,9
E01033934,36
E01033935,13
E01000490,22
E01000493,16
E01000504,29
E01000514,13
E01000520,27
E01000521,34
E01000530,20
E01000555,16
E01000594,19
E01000595,13
E01000612,8
E01000613,12
E01000617,17
E01000632,12
E01000640,40
E01033930,34
E01000488,12
E01000492,20
E01000512,14
E01000528,16
E01000541,17
E01000569,12
E01000573,12
E01000583,27
E01000636,21
E01000641,36
E01000485,10
E01000494,13
E01000507,22
E01000510,34
E01000525,22
E01000527,24
E01000534,23
E01000554,36
E01000604,9
E01000605,17
E01000634,10
E01000511,22
E01000533,28
E01000566,11
E01000580,45
E01000582,34
E01000621,15
E01000623,22
E01000627,23
E01000474,21
E01000495,13
E01000501,23
E01000516,25
E01000524,24
E01000535,27
E01000565,9
E01000571,14
E01000626,23
E01000476,18
E01000497,48
E01000498,34
E01000506,26
E01000577,38
E01000609,15
E01000618,14
E01000628,38
E01000633,20
E01033931,18
E01033932,7
E01000478,22
E01000479,16
E01000480,29
E01000503,47
E01000515,26
E01000631,16
E01033942,18
E01000472,25
E01000484,13
E01000502,31
E01000536,23
E01000562,15
E01000578,21
E01000587,35
E01033456,33
E01000564,20
E01000568,21
E01000590,24
E01000625,21
E01000630,26
E01000473,21
E01000543,23
E01000596,28
E01000610,19
E01000620,18
E01000624,19
E01000491,23
E01000638,40
E01000475,30
E01000477,23
E01000489,25
E01000540,10
E01000586,27
E01000589,26
E01000591,23
E01000538,12
E01000539,16
E01000575,14
E01000576,10
E01000615,31
E01000481,12
E01000519,16
E01000563,20
E01000601,40
E01000608,19
E01000622,14
E01000643,26
E01000487,21
E01000486,21
E01000499,60
E01033463,24
E01000518,35
E01033938,56
E01000701,16
E01000702,21
E01000705,21
E01000746,20
E01000796,13
E01034386,21
E01000669,23
E01000699,18
E01000741,14
E01000744,38
E01034384,10
E01000781,19
E01000798,19
E01000805,26
E01032562,19
E01000707,23
E01000795,8
E01000801,21
E01000806,29
E01000674,18
E01000700,19
E01000778,21
