Lower layer Super Output Areas Code,Residents Population Density (per square kilometre)
E01000323 ,"11,050.4"
E01000276 ,"2,999.2"
E01000278 ,"5,361.4"
E01000301 ,"5,236.4"
E01000303 ,"6,937.6"
E01000304 ,"8,766.9"
E01000130 ,"11,325.9"
E01000132 ,"10,534.2"
E01000133 ,"10,572.0"
E01000234 ,"6,445.9"
E01000235 ,"5,307.9"
E01000156 ,"11,255.6"
E01000157 ,"12,565.5"
E01000163 ,"8,834.9"
E01000164 ,"3,129.2"
E01000165 ,"9,784.0"
E01000315 ,"3,361.0"
E01000197 ,"6,682.3"
E01000295 ,"7,908.9"
E01000296 ,"7,979.4"
E01000298 ,"6,432.3"
E01000127 ,"7,761.7"
E01000128 ,"8,302.3"
E01000129 ,"9,336.4"
E01000131 ,"6,013.1"
E01000134 ,"11,442.9"
E01033913 ,"9,526.5"
E01033914 ,"12,316.6"
E01000198 ,"6,659.6"
E01000199 ,"4,673.2"
E01000204 ,"5,374.4"
E01000259 ,"2,058.3"
E01000260 ,"2,653.4"
E01000126 ,"14,080.5"
E01000151 ,"12,102.7"
E01000152 ,"14,564.6"
E01000153 ,"11,690.9"
E01000154 ,"14,216.8"
E01000176 ,"7,834.4"
E01000178 ,"4,005.3"
E01000184 ,"2,730.3"
E01000297 ,"6,127.6"
E01000316 ,"5,627.5"
E01000319 ,"8,817.6"
E01000196 ,"8,641.2"
E01000200 ,"7,115.1"
E01000201 ,"3,913.2"
E01000202 ,"7,402.7"
E01000203 ,"6,040.0"
E01000177 ,"9,840.2"
E01000179 ,"12,475.6"
E01000180 ,"9,466.9"
E01000181 ,"11,787.7"
E01000182 ,"7,385.9"
E01000185 ,"11,925.6"
E01000239 ,"4,811.8"
E01000240 ,"3,916.9"
E01000241 ,"5,263.5"
E01000309 ,"7,065.1"
E01000237 ,"6,471.5"
E01000242 ,"5,790.2"
E01000243 ,"11,785.5"
E01000244 ,"7,325.6"
E01000245 ,"11,358.4"
E01000314 ,"8,632.9"
E01000183 ,"6,580.2"
E01000206 ,"1,136.1"
E01000207 ,"4,554.4"
E01000208 ,"4,003.4"
E01000210 ,"3,119.1"
E01000213 ,"3,180.3"
E01000236 ,"8,509.2"
E01000238 ,"9,928.9"
E01000310 ,"7,194.9"
E01000311 ,"5,074.5"
E01000205 ,"3,959.0"
E01000209 ,"3,694.6"
E01000211 ,"7,760.8"
E01000212 ,"3,872.9"
E01000216 ,"10,143.6"
E01000217 ,"8,317.8"
E01000150 ,"4,852.6"
E01000305 ,"2,352.3"
E01000306 ,"13,444.7"
E01000308 ,"3,989.4"
E01000312 ,"12,060.0"
E01000313 ,"8,712.2"
E01000145 ,"7,798.2"
E01000215 ,"9,808.0"
E01000218 ,"12,155.6"
E01000219 ,"11,485.4"
E01000220 ,"12,309.2"
E01000225 ,"6,020.6"
E01000135 ,"5,140.6"
E01000136 ,"2,854.9"
E01000144 ,"8,379.6"
E01000146 ,"9,061.0"
E01000214 ,"4,911.0"
E01000141 ,"5,029.7"
E01000221 ,"3,348.4"
E01000223 ,"3,731.9"
E01000307 ,"3,297.4"
E01000138 ,"6,187.4"
E01000142 ,"11,208.0"
E01000222 ,"4,899.0"
E01000224 ,"10,542.1"
E01000137 ,"13,479.7"
E01000139 ,"3,954.4"
E01000140 ,"13,422.5"
E01000143 ,"9,575.9"
E01033915 ,"8,146.9"
E01033916 ,"11,882.9"
E01033917 ,"46,146.8"
E01033918 ,"14,455.8"
E01033919 ,"22,681.7"
E01033920 ,"9,098.0"
E01000147 ,"9,456.3"
E01033921 ,"43,552.6"
E01033922 ,"16,712.3"
E01033923 ,"16,659.6"
E01033924 ,"10,997.2"
E01033925 ,"6,282.2"
E01000466 ,726.0
E01000467 ,"9,750.3"
E01000468 ,"10,177.0"
E01000469 ,"4,575.9"
E01000416 ,"9,147.5"
E01000418 ,"3,775.0"
E01000422 ,"12,840.7"
E01000464 ,"10,440.2"
E01000465 ,"6,298.9"
E01000470 ,"3,619.5"
E01000333 ,"6,596.7"
E01000335 ,"1,961.9"
E01000336 ,"11,050.9"
E01000337 ,"6,319.6"
E01000338 ,"10,704.4"
E01000403 ,"3,829.5"
E01000404 ,"14,153.0"
E01000405 ,"4,120.3"
E01000408 ,"1,634.3"
E01000332 ,"5,726.1"
E01000402 ,"5,145.9"
E01000406 ,"5,001.2"
E01000407 ,"4,323.7"
E01000334 ,"6,320.8"
E01000417 ,"2,333.0"
E01000419 ,"5,669.3"
E01000420 ,"5,544.6"
E01000442 ,"5,461.9"
E01000437 ,"5,159.7"
E01000438 ,"9,219.0"
E01000439 ,"5,646.3"
E01000440 ,"5,730.2"
E01000441 ,"7,651.8"
E01000373 ,"14,887.6"
E01000429 ,"5,471.9"
E01000430 ,"1,355.1"
E01000431 ,"8,191.1"
E01000433 ,"6,288.6"
E01000434 ,"1,029.3"
E01033789 ,"7,520.2"
E01033790 ,"5,925.6"
E01000356 ,"5,067.9"
E01000357 ,"6,959.3"
E01000359 ,"6,203.3"
E01000421 ,"5,272.1"
E01000450 ,"7,857.8"
E01000451 ,"8,401.3"
E01000452 ,"8,914.0"
E01000367 ,"8,658.8"
E01000368 ,"7,064.8"
E01000372 ,"7,365.9"
E01000380 ,"7,729.3"
E01000435 ,"8,504.6"
E01000353 ,"4,846.1"
E01000354 ,"7,263.9"
E01000355 ,"3,426.1"
E01000358 ,"5,629.9"
E01000436 ,"6,340.7"
E01000401 ,"6,728.4"
E01000453 ,"7,023.3"
E01000454 ,"7,944.5"
E01000455 ,"6,813.7"
E01000456 ,"8,424.2"
E01000325 ,"4,209.0"
E01000326 ,"5,053.1"
E01000369 ,"6,490.0"
E01000370 ,"4,783.5"
E01000371 ,"6,997.8"
E01000360 ,"4,343.9"
E01000362 ,"4,726.2"
E01000365 ,"5,067.4"
E01000366 ,"6,955.0"
E01000394 ,"6,869.2"
E01000388 ,"2,854.7"
E01000392 ,"8,859.2"
E01000409 ,"7,690.9"
E01000411 ,"7,813.8"
E01000414 ,"6,431.2"
E01000415 ,"6,405.8"
E01000327 ,"4,154.1"
E01000328 ,"3,013.1"
E01000329 ,"3,523.2"
E01000330 ,"6,491.6"
E01000331 ,"3,161.7"
E01000340 ,"6,810.0"
E01000395 ,"4,760.3"
E01000396 ,"6,627.1"
E01000410 ,"6,084.4"
E01000412 ,"7,055.5"
E01000413 ,"6,671.6"
E01000374 ,"2,121.5"
E01000375 ,"4,958.1"
E01000376 ,"2,934.0"
E01000377 ,"3,423.9"
E01000379 ,"5,280.7"
E01033791 ,"3,638.0"
E01033792 ,"1,566.4"
E01000348 ,"5,163.6"
E01000349 ,"5,169.5"
E01000361 ,"5,576.6"
E01000363 ,"3,724.3"
E01000389 ,"3,845.3"
E01000390 ,"2,445.4"
E01000393 ,"6,136.9"
E01000346 ,"4,563.2"
E01000347 ,"7,740.5"
E01000350 ,"5,513.9"
E01000352 ,"4,699.4"
E01000391 ,"3,756.7"
E01000341 ,"6,345.7"
E01000342 ,"6,965.3"
E01000343 ,"4,980.2"
E01000345 ,"6,461.2"
E01000460 ,"2,443.3"
E01000364 ,"3,923.3"
E01000444 ,"1,190.1"
E01000447 ,"1,975.8"
E01000448 ,"2,955.0"
E01000449 ,"3,420.9"
E01000351 ,"5,156.7"
E01000443 ,"4,857.6"
E01000445 ,"2,818.0"
E01000446 ,"5,373.1"
E01000461 ,"3,025.3"
E01000339 ,"6,346.5"
E01000344 ,"7,025.6"
E01000423 ,"5,674.4"
E01000425 ,"4,906.0"
E01000463 ,"5,303.1"
E01000424 ,"4,478.7"
E01000426 ,"6,531.3"
E01000427 ,"4,937.4"
E01000457 ,"7,306.0"
E01000462 ,"4,436.3"
E01000382 ,"2,687.6"
E01000384 ,"5,733.8"
E01000387 ,"5,066.7"
E01000428 ,"2,130.1"
E01000458 ,"4,556.7"
E01000459 ,"6,033.5"
E01000381 ,786.2
E01000383 ,571.8
E01000385 ,"3,357.9"
E01000386 ,"2,787.7"
E01000398 ,"6,816.4"
E01000399 ,"5,391.2"
E01000400 ,"5,578.0"
E01032566 ,"3,406.8"
E01000587 ,"8,211.2"
E01000589 ,"8,765.5"
E01000590 ,"7,253.7"
E01000592 ,"9,247.5"
E01000593 ,"11,731.2"
E01000594 ,"7,475.3"
E01000513 ,"9,994.0"
E01000514 ,"10,006.4"
E01000516 ,"9,532.5"
E01000520 ,"6,909.8"
E01033929 ,"8,463.5"
E01033930 ,"9,649.8"
E01000515 ,"4,905.8"
E01000517 ,"7,075.0"
E01000543 ,"8,278.1"
E01000591 ,"6,769.0"
E01033463 ,"7,540.6"
E01000536 ,"4,672.4"
E01000538 ,"4,069.2"
E01000539 ,"5,559.1"
E01000540 ,"3,877.5"
E01000541 ,"5,813.8"
E01000518 ,"3,828.5"
E01000519 ,"2,746.6"
E01000623 ,"9,838.0"
E01000624 ,"6,617.4"
E01000629 ,"10,797.4"
E01000480 ,"5,659.6"
E01000484 ,"5,662.5"
E01000485 ,"9,031.5"
E01000486 ,"2,281.0"
E01000487 ,"6,474.4"
E01000572 ,"6,943.8"
E01000573 ,"7,089.5"
E01000574 ,"7,509.1"
E01000575 ,"7,983.7"
E01000577 ,"7,468.9"
E01000562 ,"4,823.9"
E01000563 ,"4,233.5"
E01000566 ,"7,423.4"
E01000568 ,"2,754.3"
E01000569 ,"3,864.1"
E01000479 ,"5,600.1"
E01000481 ,"6,426.9"
E01000483 ,"8,205.6"
E01000625 ,"6,248.1"
E01033931 ,"7,575.3"
E01033932 ,"10,209.1"
E01000498 ,"5,913.6"
E01000622 ,"3,162.4"
E01000626 ,"7,459.0"
E01033933 ,"14,721.7"
E01033934 ,"11,634.7"
E01000497 ,"6,859.9"
E01000499 ,"3,593.0"
E01000501 ,"12,646.3"
E01000502 ,"5,000.0"
E01000503 ,"5,162.8"
E01000570 ,"11,589.2"
E01000571 ,"5,007.1"
E01000576 ,"6,400.3"
E01000578 ,"7,044.6"
E01000564 ,"8,011.8"
E01000565 ,"8,271.4"
E01000607 ,"13,205.9"
E01000608 ,"4,118.4"
E01000613 ,"8,065.3"
E01000506 ,"5,638.0"
E01000509 ,"11,087.1"
E01000510 ,"9,500.0"
E01000511 ,"10,510.7"
E01000627 ,"9,279.6"
E01000628 ,"5,015.6"
E01000553 ,"14,346.0"
E01000554 ,"9,090.9"
E01000555 ,"7,665.5"
E01000556 ,"21,359.9"
E01000557 ,"15,899.4"
E01000558 ,"7,991.9"
E01000567 ,"6,792.8"
E01000606 ,"7,949.0"
E01000609 ,"8,295.7"
E01000611 ,"15,662.1"
E01000504 ,"12,398.3"
E01000505 ,"10,715.7"
E01000507 ,"6,993.9"
E01000512 ,"11,189.2"
E01000559 ,"12,085.9"
E01000610 ,"7,648.7"
E01000612 ,"6,901.1"
E01000631 ,"8,200.2"
E01000633 ,"15,873.8"
E01000634 ,"15,657.6"
E01000616 ,"11,353.3"
E01000620 ,"3,986.3"
E01000621 ,"8,482.4"
E01000636 ,"12,196.2"
E01033935 ,"13,072.9"
E01033936 ,"20,811.2"
E01000596 ,"9,736.6"
E01000601 ,"1,988.8"
E01000602 ,"10,835.2"
E01000603 ,"11,775.2"
E01000604 ,"10,278.3"
E01000605 ,"10,268.1"
E01000488 ,"10,135.4"
E01000637 ,"20,973.6"
E01000639 ,"17,753.6"
E01000642 ,"13,915.8"
E01000644 ,"15,503.2"
E01000490 ,"13,414.1"
E01000494 ,"8,033.8"
E01000495 ,"9,255.4"
E01000560 ,"7,526.5"
E01000561 ,"16,415.3"
E01000638 ,"7,287.3"
E01000640 ,"17,964.3"
E01000641 ,"18,098.3"
E01000643 ,"3,923.7"
E01000508 ,"11,420.5"
E01000521 ,"16,134.8"
E01000522 ,"14,232.1"
E01000526 ,"15,839.9"
E01000527 ,"14,833.9"
E01000528 ,"15,512.6"
E01000471 ,"12,372.4"
E01000474 ,"11,568.2"
E01000476 ,"9,661.2"
E01000477 ,"6,169.8"
E01000630 ,"9,531.8"
E01000595 ,"9,296.9"
E01000599 ,"21,563.9"
E01033456 ,"9,909.4"
E01033937 ,"13,468.2"
E01033938 ,687.9
E01033939 ,"12,788.1"
E01000545 ,"16,574.6"
E01000546 ,"17,263.2"
E01000547 ,"21,847.0"
E01000548 ,"18,268.9"
E01000549 ,"16,362.8"
E01000472 ,"5,554.5"
E01000473 ,"15,567.1"
E01000475 ,"6,803.3"
E01000478 ,"13,159.8"
E01000632 ,"8,707.9"
E01000489 ,"5,408.5"
E01000491 ,"5,555.3"
E01000492 ,"8,046.8"
E01000493 ,"8,531.0"
E01000581 ,"9,120.0"
E01000523 ,"16,407.1"
E01000524 ,"15,384.1"
E01000525 ,"11,857.8"
E01000533 ,"11,627.4"
E01000535 ,"10,920.2"
E01033455 ,"18,421.9"
E01033485 ,"11,335.6"
E01000579 ,"14,069.1"
E01000580 ,"4,683.4"
E01000582 ,"9,565.9"
E01000583 ,"10,496.7"
E01000586 ,"15,930.4"
E01000530 ,"10,347.0"
E01000531 ,"16,719.3"
E01000532 ,"14,693.3"
E01000534 ,"11,387.6"
E01000584 ,"12,410.5"
E01000585 ,"14,980.1"
E01000544 ,"24,521.5"
E01000550 ,"14,202.4"
E01000551 ,"21,170.4"
E01000552 ,"17,399.3"
E01033457 ,"11,005.0"
E01033940 ,"23,310.2"
E01033941 ,"35,694.8"
E01033942 ,"5,654.5"
E01000615 ,"4,798.5"
E01000617 ,"8,367.8"
E01000618 ,"9,189.0"
E01000619 ,"7,951.2"
E01000779 ,"1,206.2"
E01000780 ,"7,672.5"
E01000781 ,"9,134.2"
E01000782 ,"5,449.7"
E01000783 ,"8,597.1"
E01000785 ,"7,498.8"
E01000689 ,"1,180.2"
E01000690 ,"4,182.2"
E01000691 ,"6,350.8"
E01000692 ,"4,737.6"
E01000784 ,"6,950.9"
E01000799 ,"8,343.4"
E01000802 ,"9,983.8"
E01000803 ,"6,164.8"
E01000804 ,"2,216.2"
E01000805 ,"10,553.8"
E01000741 ,"13,365.2"
E01000742 ,"7,942.3"
E01000745 ,"4,020.1"
E01000746 ,"11,178.1"
E01034383 ,"2,068.6"
E01034384 ,"16,240.9"
E01000709 ,"5,630.9"
E01000710 ,"4,346.0"
E01000711 ,"6,673.8"
