lsoa21cd,tfv_count
E01000350,6
E01000361,11
E01000385,48
E01000331,37
E01000363,10
E01000448,5
E01000468,34
E01000417,41
E01000328,11
E01000386,49
E01000428,65
E01000374,26
E01000377,14
E01000405,26
E01000444,15
E01000462,41
E01000403,69
E01000445,5
E01000376,4
E01000408,31
E01000434,15
E01000335,66
E01000430,25
E01000447,88
E01033792,26
E01000381,11
E01000466,50
E01000383,21
E01000471,10
E01000509,30
E01000522,39
E01000532,23
E01000546,42
E01000547,29
E01000549,33
E01000552,15
E01000556,71
E01000559,30
E01000561,59
E01000584,27
E01000585,17
E01000599,21
E01000603,7
E01000611,17
E01000616,23
E01000637,37
E01033485,34
E01033936,11
E01033939,22
E01033940,17
E01033941,9
E01000505,28
E01000508,65
E01000523,62
E01000531,34
E01000544,27
E01000545,77
E01000548,42
E01000551,34
E01000553,51
E01000570,7
E01000572,4
E01000579,28
E01000593,21
E01000629,20
E01033455,17
E01033929,76
E01033933,19
E01033937,15
E01000483,22
E01000513,25
E01000517,22
E01000526,37
E01000550,58
E01000557,50
E01000558,55
E01000560,51
E01000567,10
E01000574,14
E01000581,32
E01000592,36
E01000602,26
E01000606,34
E01000607,21
E01000619,17
E01000639,31
E01000642,55
E01000644,50
E01033457,26
E01033934,38
E01033935,12
E01000490,41
E01000493,26
E01000504,31
E01000514,21
E01000520,13
E01000521,62
E01000530,28
E01000555,24
E01000594,42
E01000595,24
E01000612,9
E01000613,14
E01000617,31
E01000632,13
E01000640,47
E01033930,27
E01000488,23
E01000492,35
E01000512,26
E01000528,27
E01000541,16
E01000569,14
E01000573,8
E01000583,52
E01000636,15
E01000641,72
E01000485,13
E01000494,40
E01000507,24
E01000510,47
E01000525,37
E01000527,36
E01000534,48
E01000554,56
E01000604,23
E01000605,84
E01000634,8
E01000511,39
E01000533,56
E01000566,15
E01000580,83
E01000582,54
E01000621,14
E01000623,25
E01000627,37
E01000474,17
E01000495,39
E01000501,28
E01000516,37
E01000524,47
E01000535,33
E01000565,10
E01000571,9
E01000626,30
E01000476,16
E01000497,93
E01000498,24
E01000506,45
E01000577,16
E01000609,20
E01000618,14
E01000628,38
E01000633,15
E01033931,51
E01033932,16
E01000478,15
E01000479,24
E01000480,22
E01000503,48
E01000515,21
E01000631,12
E01033942,68
E01000472,35
E01000484,8
E01000502,26
E01000536,57
E01000562,17
E01000578,144
E01000587,43
E01033456,46
E01000564,12
E01000568,39
E01000590,21
E01000625,23
E01000630,24
E01000473,14
E01000543,21
E01000596,33
E01000610,20
E01000620,12
E01000624,22
E01000491,42
E01000638,40
E01000475,21
E01000477,39
E01000489,27
E01000540,21
E01000586,45
E01000589,36
E01000591,43
E01000538,11
E01000539,12
E01000575,17
E01000576,16
E01000615,154
E01000481,16
E01000519,16
E01000563,9
E01000601,369
E01000608,34
E01000622,18
E01000643,40
E01000487,22
E01000486,10
E01000499,57
E01033463,24
E01000518,25
E01033938,135
E01000701,23
E01000702,25
E01000705,25
E01000746,20
E01000796,35
E01034386,29
E01000669,51
E01000699,23
E01000741,28
E01000744,29
E01034384,12
E01000781,15
E01000798,24
E01000805,31
E01032562,18
E01000707,18
E01000795,14
E01000801,35
E01000806,40
E01000674,34
E01000700,7
E01000778,23
E01000784,21
E01000785,17
E01000789,24
E01000709,20
E01000780,27
E01000825,29
E01000834,8
E01000672,40
E01000679,27
E01000682,10
E01000691,26
E01000703,26
E01000726,26
E01000768,20
E01000802,65
E01000822,30
E01000824,30
E01000833,15
E01032568,34
E01000762,15
E01000803,51
E01000708,9
E01000739,35
E01000774,21
E01000783,19
E01000811,23
E01000721,31
E01000782,19
E01000827,15
E01000829,14
E01000836,6
E01032563,27
E01000673,43
E01000677,26
E01000729,39
E01000742,61
E01000773,24
E01000777,28
E01000810,10
E01000816,27
E01000823,21
E01000647,18
E01000690,19
E01000704,34
E01000712,24
E01000799,31
E01000808,16
E01000812,24
E01000651,27
E01000683,10
E01000706,43
E01000718,72
E01000733,20
E01000764,5
E01000787,32
E01000657,14
E01000678,20
E01000724,34
E01000835,23
E01000648,20
E01000687,12
E01000692,21
E01000711,47
E01000715,24
E01000719,91
E01000727,39
E01000734,15
E01000750,16
E01000758,7
E01000767,21
E01000794,10
E01000839,20
E01000663,16
E01000670,16
E01000716,18
E01000722,54
E01000766,11
E01000792,14
E01000797,79
E01000841,31
E01032570,20
E01000681,9
E01000717,16
E01000735,20
E01000736,12
E01000737,19
E01000771,27
E01000793,22
E01000655,22
E01000713,37
E01000714,35
E01000754,15
E01000755,14
E01000760,33
E01000814,12
E01000819,31
E01034383,23
E01034385,30
E01000662,38
E01000686,15
E01000723,11
E01000730,32
E01000731,17
E01000732,16
E01000743,18
E01000800,41
E01000838,12
E01000653,13
E01000659,12
E01000671,22
E01000725,38
E01000745,44
E01000772,27
E01000828,14
E01000831,17
E01000646,13
E01000649,24
E01000676,52
E01000694,10
E01000698,19
E01000738,46
E01000769,13
E01000804,67
E01000809,9
E01000815,16
E01000820,31
E01000830,20
E01000684,9
E01000757,4
E01000791,14
E01000837,25
E01000840,17
E01000652,19
E01000688,12
E01000756,14
E01000761,34
E01000788,27
E01000790,76
E01000813,18
E01000826,25
E01000661,31
E01000697,26
E01000710,52
E01000763,8
E01000779,28
E01000832,12
E01000645,10
E01000667,26
E01000668,43
E01000689,15
E01000752,23
E01000770,22
E01000775,17
E01000650,24
E01000654,19
E01000665,32
E01000695,12
E01000786,14
E01000664,21
E01000685,20
E01000753,15
E01000818,18
E01000728,101
E01000751,15
E01000807,23
E01000658,21
E01000693,26
E01000656,32
E01000666,37
E01000696,21
E01000765,27
E01000749,27
E01000759,30
E01000680,27
E01000720,46
E01000747,18
E01000748,21
E01000843,22
E01000846,29
E01000847,67
E01000849,28
E01000853,12
E01000857,46
E01000867,37
E01000868,25
E01000869,50
E01000882,55
E01000886,31
E01000887,36
E01000890,21
E01000891,26
E01000901,34
E01000904,55
E01000905,31
E01000906,63
E01000919,94
E01000923,36
E01000926,32
E01000927,43
E01000929,41
E01000932,46
E01000934,23
E01000935,26
E01000939,33
E01000941,20
E01000942,32
E01000943,13
E01000944,7
E01000949,32
E01000951,22
E01000954,18
E01000955,32
E01000957,41
E01000959,25
E01000961,32
E01000964,46
E01000968,41
E01000969,42
E01000970,29
E01000971,29
E01000842,39
E01000848,104
E01000859,42
E01000870,45
E01000873,36
E01000874,17
E01000875,46
E01000876,40
E01000877,36
E01000888,47
E01000892,56
E01000900,43
E01000902,23
E01000903,40
E01000907,33
E01000911,28
E01000915,19
E01000920,25
E01000924,48
E01000930,81
E01000938,82
E01000952,26
E01000966,32
E01000974,50
E01035712,19
E01000844,37
E01000845,43
E01000861,60
E01000862,74
E01000866,58
E01000880,44
E01000895,31
E01000898,46
E01000910,22
E01000916,132
E01000917,10
E01000925,18
E01000933,78
E01000937,31
E01000956,74
E01000960,78
E01000962,34
E01000965,82
E01000972,79
E01000863,98
E01000872,85
E01000889,37
E01000918,331
