Lower layer Super Output Areas Code,Tenure of household (7 categories),Observation
E01000292,Social rented: Other social rented,43
E01000292,Private rented: Private landlord or letting agency,121
E01000292,Private rented: Other private rented or lives rent free,16
E01000293,Does not apply,0
E01000293,Owned: Owns outright,274
E01000293,Owned: Owns with a mortgage or loan or shared ownership,238
E01000293,Social rented: Rents from council or Local Authority,2
E01000293,Social rented: Other social rented,21
E01000293,Private rented: Private landlord or letting agency,153
E01000293,Private rented: Other private rented or lives rent free,20
E01000294,Does not apply,0
E01000294,Owned: Owns outright,198
E01000294,Owned: Owns with a mortgage or loan or shared ownership,217
E01000294,Social rented: Rents from council or Local Authority,51
E01000294,Social rented: Other social rented,72
E01000294,Private rented: Private landlord or letting agency,182
E01000294,Private rented: Other private rented or lives rent free,11
E01000295,Does not apply,0
E01000295,Owned: Owns outright,203
E01000295,Owned: Owns with a mortgage or loan or shared ownership,164
E01000295,Social rented: Rents from council or Local Authority,10
E01000295,Social rented: Other social rented,13
E01000295,Private rented: Private landlord or letting agency,245
E01000295,Private rented: Other private rented or lives rent free,13
E01000296,Does not apply,0
E01000296,Owned: Owns outright,151
E01000296,Owned: Owns with a mortgage or loan or shared ownership,145
E01000296,Social rented: Rents from council or Local Authority,3
E01000296,Social rented: Other social rented,27
E01000296,Private rented: Private landlord or letting agency,418
E01000296,Private rented: Other private rented or lives rent free,23
E01000297,Does not apply,0
E01000297,Owned: Owns outright,157
E01000297,Owned: Owns with a mortgage or loan or shared ownership,147
E01000297,Social rented: Rents from council or Local Authority,16
E01000297,Social rented: Other social rented,21
E01000297,Private rented: Private landlord or letting agency,193
E01000297,Private rented: Other private rented or lives rent free,6
E01000298,Does not apply,0
E01000298,Owned: Owns outright,153
E01000298,Owned: Owns with a mortgage or loan or shared ownership,163
E01000298,Social rented: Rents from council or Local Authority,8
E01000298,Social rented: Other social rented,38
E01000298,Private rented: Private landlord or letting agency,356
E01000298,Private rented: Other private rented or lives rent free,15
E01000299,Does not apply,0
E01000299,Owned: Owns outright,201
E01000299,Owned: Owns with a mortgage or loan or shared ownership,168
E01000299,Social rented: Rents from council or Local Authority,15
E01000299,Social rented: Other social rented,40
E01000299,Private rented: Private landlord or letting agency,457
E01000299,Private rented: Other private rented or lives rent free,25
E01000300,Does not apply,0
E01000300,Owned: Owns outright,209
E01000300,Owned: Owns with a mortgage or loan or shared ownership,214
E01000300,Social rented: Rents from council or Local Authority,32
E01000300,Social rented: Other social rented,11
E01000300,Private rented: Private landlord or letting agency,199
E01000300,Private rented: Other private rented or lives rent free,16
E01000301,Does not apply,0
E01000301,Owned: Owns outright,218
E01000301,Owned: Owns with a mortgage or loan or shared ownership,170
E01000301,Social rented: Rents from council or Local Authority,1
E01000301,Social rented: Other social rented,0
E01000301,Private rented: Private landlord or letting agency,134
E01000301,Private rented: Other private rented or lives rent free,7
E01000302,Does not apply,0
E01000302,Owned: Owns outright,154
E01000302,Owned: Owns with a mortgage or loan or shared ownership,141
E01000302,Social rented: Rents from council or Local Authority,53
E01000302,Social rented: Other social rented,37
E01000302,Private rented: Private landlord or letting agency,427
E01000302,Private rented: Other private rented or lives rent free,26
E01000303,Does not apply,0
E01000303,Owned: Owns outright,204
E01000303,Owned: Owns with a mortgage or loan or shared ownership,163
E01000303,Social rented: Rents from council or Local Authority,3
E01000303,Social rented: Other social rented,17
E01000303,Private rented: Private landlord or letting agency,140
E01000303,Private rented: Other private rented or lives rent free,7
E01000304,Does not apply,0
E01000304,Owned: Owns outright,156
E01000304,Owned: Owns with a mortgage or loan or shared ownership,161
E01000304,Social rented: Rents from council or Local Authority,21
E01000304,Social rented: Other social rented,9
E01000304,Private rented: Private landlord or letting agency,247
E01000304,Private rented: Other private rented or lives rent free,9
E01000305,Does not apply,0
E01000305,Owned: Owns outright,131
E01000305,Owned: Owns with a mortgage or loan or shared ownership,186
E01000305,Social rented: Rents from council or Local Authority,19
E01000305,Social rented: Other social rented,51
E01000305,Private rented: Private landlord or letting agency,249
E01000305,Private rented: Other private rented or lives rent free,17
E01000306,Does not apply,0
E01000306,Owned: Owns outright,187
E01000306,Owned: Owns with a mortgage or loan or shared ownership,102
E01000306,Social rented: Rents from council or Local Authority,4
E01000306,Social rented: Other social rented,18
E01000306,Private rented: Private landlord or letting agency,284
E01000306,Private rented: Other private rented or lives rent free,23
E01000307,Does not apply,0
E01000307,Owned: Owns outright,156
E01000307,Owned: Owns with a mortgage or loan or shared ownership,127
E01000307,Social rented: Rents from council or Local Authority,80
E01000307,Social rented: Other social rented,9
E01000307,Private rented: Private landlord or letting agency,159
E01000307,Private rented: Other private rented or lives rent free,19
E01000308,Does not apply,0
E01000308,Owned: Owns outright,93
E01000308,Owned: Owns with a mortgage or loan or shared ownership,312
E01000308,Social rented: Rents from council or Local Authority,139
E01000308,Social rented: Other social rented,119
E01000308,Private rented: Private landlord or letting agency,276
E01000308,Private rented: Other private rented or lives rent free,19
E01000309,Does not apply,0
E01000309,Owned: Owns outright,165
E01000309,Owned: Owns with a mortgage or loan or shared ownership,189
E01000309,Social rented: Rents from council or Local Authority,14
E01000309,Social rented: Other social rented,25
E01000309,Private rented: Private landlord or letting agency,301
E01000309,Private rented: Other private rented or lives rent free,14
E01000310,Does not apply,0
E01000310,Owned: Owns outright,163
E01000310,Owned: Owns with a mortgage or loan or shared ownership,131
E01000310,Social rented: Rents from council or Local Authority,81
E01000310,Social rented: Other social rented,21
E01000310,Private rented: Private landlord or letting agency,424
E01000310,Private rented: Other private rented or lives rent free,29
E01000311,Does not apply,0
E01000311,Owned: Owns outright,158
E01000311,Owned: Owns with a mortgage or loan or shared ownership,185
E01000311,Social rented: Rents from council or Local Authority,2
E01000311,Social rented: Other social rented,8
E01000311,Private rented: Private landlord or letting agency,149
E01000311,Private rented: Other private rented or lives rent free,17
E01000312,Does not apply,0
E01000312,Owned: Owns outright,121
E01000312,Owned: Owns with a mortgage or loan or shared ownership,159
E01000312,Social rented: Rents from council or Local Authority,148
E01000312,Social rented: Other social rented,34
E01000312,Private rented: Private landlord or letting agency,247
E01000312,Private rented: Other private rented or lives rent free,12
E01000313,Does not apply,0
E01000313,Owned: Owns outright,129
E01000313,Owned: Owns with a mortgage or loan or shared ownership,121
E01000313,Social rented: Rents from council or Local Authority,36
E01000313,Social rented: Other social rented,32
E01000313,Private rented: Private landlord or letting agency,372
E01000313,Private rented: Other private rented or lives rent free,19
E01000314,Does not apply,0
E01000314,Owned: Owns outright,175
E01000314,Owned: Owns with a mortgage or loan or shared ownership,137
E01000314,Social rented: Rents from council or Local Authority,6
E01000314,Social rented: Other social rented,12
E01000314,Private rented: Private landlord or letting agency,433
E01000314,Private rented: Other private rented or lives rent free,17
E01000315,Does not apply,0
E01000315,Owned: Owns outright,108
E01000315,Owned: Owns with a mortgage or loan or shared ownership,139
E01000315,Social rented: Rents from council or Local Authority,149
E01000315,Social rented: Other social rented,116
E01000315,Private rented: Private landlord or letting agency,103
E01000315,Private rented: Other private rented or lives rent free,19
E01000316,Does not apply,0
E01000316,Owned: Owns outright,179
E01000316,Owned: Owns with a mortgage or loan or shared ownership,214
E01000316,Social rented: Rents from council or Local Authority,16
E01000316,Social rented: Other social rented,115
E01000316,Private rented: Private landlord or letting agency,330
E01000316,Private rented: Other private rented or lives rent free,35
E01000317,Does not apply,0
E01000317,Owned: Owns outright,206
E01000317,Owned: Owns with a mortgage or loan or shared ownership,158
E01000317,Social rented: Rents from council or Local Authority,30
E01000317,Social rented: Other social rented,18
E01000317,Private rented: Private landlord or letting agency,215
E01000317,Private rented: Other private rented or lives rent free,10
E01000318,Does not apply,0
E01000318,Owned: Owns outright,249
E01000318,Owned: Owns with a mortgage or loan or shared ownership,189
E01000318,Social rented: Rents from council or Local Authority,17
E01000318,Social rented: Other social rented,9
E01000318,Private rented: Private landlord or letting agency,149
E01000318,Private rented: Other private rented or lives rent free,21
E01000319,Does not apply,0
E01000319,Owned: Owns outright,176
E01000319,Owned: Owns with a mortgage or loan or shared ownership,198
E01000319,Social rented: Rents from council or Local Authority,22
E01000319,Social rented: Other social rented,5
E01000319,Private rented: Private landlord or letting agency,91
E01000319,Private rented: Other private rented or lives rent free,6
E01000320,Does not apply,0
E01000320,Owned: Owns outright,268
E01000320,Owned: Owns with a mortgage or loan or shared ownership,255
E01000320,Social rented: Rents from council or Local Authority,12
E01000320,Social rented: Other social rented,39
E01000320,Private rented: Private landlord or letting agency,224
E01000320,Private rented: Other private rented or lives rent free,11
E01000321,Does not apply,0
E01000321,Owned: Owns outright,170
E01000321,Owned: Owns with a mortgage or loan or shared ownership,184
E01000321,Social rented: Rents from council or Local Authority,23
E01000321,Social rented: Other social rented,20
E01000321,Private rented: Private landlord or letting agency,396
E01000321,Private rented: Other private rented or lives rent free,36
E01000322,Does not apply,0
E01000322,Owned: Owns outright,176
E01000322,Owned: Owns with a mortgage or loan or shared ownership,197
E01000322,Social rented: Rents from council or Local Authority,31
E01000322,Social rented: Other social rented,31
E01000322,Private rented: Private landlord or letting agency,350
E01000322,Private rented: Other private rented or lives rent free,21
E01000323,Does not apply,0
E01000323,Owned: Owns outright,166
E01000323,Owned: Owns with a mortgage or loan or shared ownership,185
E01000323,Social rented: Rents from council or Local Authority,28
E01000323,Social rented: Other social rented,30
E01000323,Private rented: Private landlord or letting agency,593
E01000323,Private rented: Other private rented or lives rent free,17
E01000324,Does not apply,0
E01000324,Owned: Owns outright,203
E01000324,Owned: Owns with a mortgage or loan or shared ownership,235
E01000324,Social rented: Rents from council or Local Authority,27
E01000324,Social rented: Other social rented,28
E01000324,Private rented: Private landlord or letting agency,143
E01000324,Private rented: Other private rented or lives rent free,12
E01000325,Does not apply,0
E01000325,Owned: Owns outright,288
E01000325,Owned: Owns with a mortgage or loan or shared ownership,253
E01000325,Social rented: Rents from council or Local Authority,6
E01000325,Social rented: Other social rented,6
E01000325,Private rented: Private landlord or letting agency,29
E01000325,Private rented: Other private rented or lives rent free,2
E01000326,Does not apply,0
E01000326,Owned: Owns outright,162
E01000326,Owned: Owns with a mortgage or loan or shared ownership,269
E01000326,Social rented: Rents from council or Local Authority,17
E01000326,Social rented: Other social rented,4
E01000326,Private rented: Private landlord or letting agency,82
E01000326,Private rented: Other private rented or lives rent free,8
E01000327,Does not apply,0
E01000327,Owned: Owns outright,290
E01000327,Owned: Owns with a mortgage or loan or shared ownership,246
E01000327,Social rented: Rents from council or Local Authority,0
E01000327,Social rented: Other social rented,31
E01000327,Private rented: Private landlord or letting agency,47
E01000327,Private rented: Other private rented or lives rent free,12
E01000328,Does not apply,0
E01000328,Owned: Owns outright,267
E01000328,Owned: Owns with a mortgage or loan or shared ownership,252
E01000328,Social rented: Rents from council or Local Authority,8
E01000328,Social rented: Other social rented,34
E01000328,Private rented: Private landlord or letting agency,47
E01000328,Private rented: Other private rented or lives rent free,4
E01000329,Does not apply,0
E01000329,Owned: Owns outright,216
E01000329,Owned: Owns with a mortgage or loan or shared ownership,246
E01000329,Social rented: Rents from council or Local Authority,19
E01000329,Social rented: Other social rented,73
E01000329,Private rented: Private landlord or letting agency,94
E01000329,Private rented: Other private rented or lives rent free,11
E01000330,Does not apply,0
E01000330,Owned: Owns outright,279
E01000330,Owned: Owns with a mortgage or loan or shared ownership,222
E01000330,Social rented: Rents from council or Local Authority,17
E01000330,Social rented: Other social rented,109
E01000330,Private rented: Private landlord or letting agency,125
E01000330,Private rented: Other private rented or lives rent free,15
E01000331,Does not apply,0
E01000331,Owned: Owns outright,165
E01000331,Owned: Owns with a mortgage or loan or shared ownership,221
E01000331,Social rented: Rents from council or Local Authority,37
E01000331,Social rented: Other social rented,142
E01000331,Private rented: Private landlord or letting agency,49
E01000331,Private rented: Other private rented or lives rent free,3
E01000332,Does not apply,0
E01000332,Owned: Owns outright,260
E01000332,Owned: Owns with a mortgage or loan or shared ownership,212
E01000332,Social rented: Rents from council or Local Authority,9
E01000332,Social rented: Other social rented,47
E01000332,Private rented: Private landlord or letting agency,73
E01000332,Private rented: Other private rented or lives rent free,12
E01000333,Does not apply,0
E01000333,Owned: Owns outright,196
E01000333,Owned: Owns with a mortgage or loan or shared ownership,258
E01000333,Social rented: Rents from council or Local Authority,36
E01000333,Social rented: Other social rented,127
E01000333,Private rented: Private landlord or letting agency,170
E01000333,Private rented: Other private rented or lives rent free,22
E01000334,Does not apply,0
E01000334,Owned: Owns outright,261
E01000334,Owned: Owns with a mortgage or loan or shared ownership,239
E01000334,Social rented: Rents from council or Local Authority,10
E01000334,Social rented: Other social rented,26
E01000334,Private rented: Private landlord or letting agency,83
E01000334,Private rented: Other private rented or lives rent free,16
E01000335,Does not apply,0
E01000335,Owned: Owns outright,143
E01000335,Owned: Owns with a mortgage or loan or shared ownership,316
E01000335,Social rented: Rents from council or Local Authority,34
E01000335,Social rented: Other social rented,139
E01000335,Private rented: Private landlord or letting agency,384
E01000335,Private rented: Other private rented or lives rent free,33
E01000336,Does not apply,0
E01000336,Owned: Owns outright,93
E01000336,Owned: Owns with a mortgage or loan or shared ownership,164
E01000336,Social rented: Rents from council or Local Authority,65
E01000336,Social rented: Other social rented,259
E01000336,Private rented: Private landlord or letting agency,191
E01000336,Private rented: Other private rented or lives rent free,18
E01000337,Does not apply,0
E01000337,Owned: Owns outright,164
E01000337,Owned: Owns with a mortgage or loan or shared ownership,232
E01000337,Social rented: Rents from council or Local Authority,30
E01000337,Social rented: Other social rented,64
E01000337,Private rented: Private landlord or letting agency,148
E01000337,Private rented: Other private rented or lives rent free,4
E01000338,Does not apply,0
E01000338,Owned: Owns outright,194
E01000338,Owned: Owns with a mortgage or loan or shared ownership,245
E01000338,Social rented: Rents from council or Local Authority,14
E01000338,Social rented: Other social rented,35
E01000338,Private rented: Private landlord or letting agency,192
E01000338,Private rented: Other private rented or lives rent free,13
E01000339,Does not apply,0
E01000339,Owned: Owns outright,192
E01000339,Owned: Owns with a mortgage or loan or shared ownership,234
E01000339,Social rented: Rents from council or Local Authority,9
E01000339,Social rented: Other social rented,112
E01000339,Private rented: Private landlord or letting agency,47
E01000339,Private rented: Other private rented or lives rent free,7
E01000340,Does not apply,0
E01000340,Owned: Owns outright,262
E01000340,Owned: Owns with a mortgage or loan or shared ownership,269
E01000340,Social rented: Rents from council or Local Authority,5
E01000340,Social rented: Other social rented,13
E01000340,Private rented: Private landlord or letting agency,68
E01000340,Private rented: Other private rented or lives rent free,9
E01000341,Does not apply,0
E01000341,Owned: Owns outright,306
E01000341,Owned: Owns with a mortgage or loan or shared ownership,238
E01000341,Social rented: Rents from council or Local Authority,3
E01000341,Social rented: Other social rented,13
E01000341,Private rented: Private landlord or letting agency,54
E01000341,Private rented: Other private rented or lives rent free,9
E01000342,Does not apply,0
E01000342,Owned: Owns outright,239
E01000342,Owned: Owns with a mortgage or loan or shared ownership,298
E01000342,Social rented: Rents from council or Local Authority,3
E01000342,Social rented: Other social rented,5
E01000342,Private rented: Private landlord or letting agency,83
E01000342,Private rented: Other private rented or lives rent free,6
E01000343,Does not apply,0
E01000343,Owned: Owns outright,232
E01000343,Owned: Owns with a mortgage or loan or shared ownership,239
E01000343,Social rented: Rents from council or Local Authority,2
E01000343,Social rented: Other social rented,5
E01000343,Private rented: Private landlord or letting agency,69
E01000343,Private rented: Other private rented or lives rent free,11
E01000344,Does not apply,0
E01000344,Owned: Owns outright,265
E01000344,Owned: Owns with a mortgage or loan or shared ownership,274
E01000344,Social rented: Rents from council or Local Authority,2
E01000344,Social rented: Other social rented,10
E01000344,Private rented: Private landlord or letting agency,75
E01000344,Private rented: Other private rented or lives rent free,11
E01000345,Does not apply,0
E01000345,Owned: Owns outright,208
E01000345,Owned: Owns with a mortgage or loan or shared ownership,239
E01000345,Social rented: Rents from council or Local Authority,3
E01000345,Social rented: Other social rented,2
E01000345,Private rented: Private landlord or letting agency,31
E01000345,Private rented: Other private rented or lives rent free,6
E01000346,Does not apply,0
E01000346,Owned: Owns outright,242
E01000346,Owned: Owns with a mortgage or loan or shared ownership,309
E01000346,Social rented: Rents from council or Local Authority,1
E01000346,Social rented: Other social rented,7
E01000346,Private rented: Private landlord or letting agency,49
E01000346,Private rented: Other private rented or lives rent free,7
E01000347,Does not apply,0
E01000347,Owned: Owns outright,238
E01000347,Owned: Owns with a mortgage or loan or shared ownership,270
E01000347,Social rented: Rents from council or Local Authority,4
E01000347,Social rented: Other social rented,21
E01000347,Private rented: Private landlord or letting agency,85
E01000347,Private rented: Other private rented or lives rent free,9
E01000348,Does not apply,0
E01000348,Owned: Owns outright,234
E01000348,Owned: Owns with a mortgage or loan or shared ownership,262
E01000348,Social rented: Rents from council or Local Authority,0
E01000348,Social rented: Other social rented,5
E01000348,Private rented: Private landlord or letting agency,17
E01000348,Private rented: Other private rented or lives rent free,7
E01000349,Does not apply,0
E01000349,Owned: Owns outright,309
E01000349,Owned: Owns with a mortgage or loan or shared ownership,303
E01000349,Social rented: Rents from council or Local Authority,3
E01000349,Social rented: Other social rented,4
E01000349,Private rented: Private landlord or letting agency,26
E01000349,Private rented: Other private rented or lives rent free,11
E01000350,Does not apply,0
E01000350,Owned: Owns outright,229
E01000350,Owned: Owns with a mortgage or loan or shared ownership,239
E01000350,Social rented: Rents from council or Local Authority,0
E01000350,Social rented: Other social rented,6
E01000350,Private rented: Private landlord or letting agency,49
E01000350,Private rented: Other private rented or lives rent free,4
E01000351,Does not apply,0
E01000351,Owned: Owns outright,288
E01000351,Owned: Owns with a mortgage or loan or shared ownership,278
E01000351,Social rented: Rents from council or Local Authority,0
E01000351,Social rented: Other social rented,3
E01000351,Private rented: Private landlord or letting agency,49
E01000351,Private rented: Other private rented or lives rent free,6
E01000352,Does not apply,0
E01000352,Owned: Owns outright,244
E01000352,Owned: Owns with a mortgage or loan or shared ownership,256
E01000352,Social rented: Rents from council or Local Authority,6
E01000352,Social rented: Other social rented,36
E01000352,Private rented: Private landlord or letting agency,115
E01000352,Private rented: Other private rented or lives rent free,10
E01000353,Does not apply,0
E01000353,Owned: Owns outright,387
E01000353,Owned: Owns with a mortgage or loan or shared ownership,238
E01000353,Social rented: Rents from council or Local Authority,1
E01000353,Social rented: Other social rented,1
E01000353,Private rented: Private landlord or letting agency,22
E01000353,Private rented: Other private rented or lives rent free,5
E01000354,Does not apply,0
E01000354,Owned: Owns outright,197
E01000354,Owned: Owns with a mortgage or loan or shared ownership,194
E01000354,Social rented: Rents from council or Local Authority,13
E01000354,Social rented: Other social rented,125
E01000354,Private rented: Private landlord or letting agency,70
E01000354,Private rented: Other private rented or lives rent free,8
E01000355,Does not apply,0
E01000355,Owned: Owns outright,337
E01000355,Owned: Owns with a mortgage or loan or shared ownership,220
E01000355,Social rented: Rents from council or Local Authority,0
E01000355,Social rented: Other social rented,7
E01000355,Private rented: Private landlord or letting agency,29
E01000355,Private rented: Other private rented or lives rent free,8
E01000356,Does not apply,0
E01000356,Owned: Owns outright,326
E01000356,Owned: Owns with a mortgage or loan or shared ownership,206
E01000356,Social rented: Rents from council or Local Authority,3
E01000356,Social rented: Other social rented,4
E01000356,Private rented: Private landlord or letting agency,75
E01000356,Private rented: Other private rented or lives rent free,14
E01000357,Does not apply,0
E01000357,Owned: Owns outright,229
E01000357,Owned: Owns with a mortgage or loan or shared ownership,236
E01000357,Social rented: Rents from council or Local Authority,1
E01000357,Social rented: Other social rented,4
E01000357,Private rented: Private landlord or letting agency,16
E01000357,Private rented: Other private rented or lives rent free,2
E01000358,Does not apply,0
E01000358,Owned: Owns outright,302
E01000358,Owned: Owns with a mortgage or loan or shared ownership,232
E01000358,Social rented: Rents from council or Local Authority,4
E01000358,Social rented: Other social rented,16
E01000358,Private rented: Private landlord or letting agency,100
E01000358,Private rented: Other private rented or lives rent free,11
E01000359,Does not apply,0
E01000359,Owned: Owns outright,231
E01000359,Owned: Owns with a mortgage or loan or shared ownership,212
E01000359,Social rented: Rents from council or Local Authority,2
E01000359,Social rented: Other social rented,2
E01000359,Private rented: Private landlord or letting agency,37
E01000359,Private rented: Other private rented or lives rent free,11
E01000360,Does not apply,0
E01000360,Owned: Owns outright,239
E01000360,Owned: Owns with a mortgage or loan or shared ownership,247
E01000360,Social rented: Rents from council or Local Authority,8
E01000360,Social rented: Other social rented,14
E01000360,Private rented: Private landlord or letting agency,242
E01000360,Private rented: Other private rented or lives rent free,20
E01000361,Does not apply,0
E01000361,Owned: Owns outright,217
E01000361,Owned: Owns with a mortgage or loan or shared ownership,255
E01000361,Social rented: Rents from council or Local Authority,3
E01000361,Social rented: Other social rented,37
E01000361,Private rented: Private landlord or letting agency,73
E01000361,Private rented: Other private rented or lives rent free,13
E01000362,Does not apply,0
E01000362,Owned: Owns outright,300
E01000362,Owned: Owns with a mortgage or loan or shared ownership,330
E01000362,Social rented: Rents from council or Local Authority,11
E01000362,Social rented: Other social rented,51
E01000362,Private rented: Private landlord or letting agency,71
E01000362,Private rented: Other private rented or lives rent free,14
E01000363,Does not apply,0
E01000363,Owned: Owns outright,256
E01000363,Owned: Owns with a mortgage or loan or shared ownership,239
E01000363,Social rented: Rents from council or Local Authority,1
E01000363,Social rented: Other social rented,4
E01000363,Private rented: Private landlord or letting agency,62
E01000363,Private rented: Other private rented or lives rent free,1
E01000364,Does not apply,0
E01000364,Owned: Owns outright,255
E01000364,Owned: Owns with a mortgage or loan or shared ownership,253
E01000364,Social rented: Rents from council or Local Authority,5
E01000364,Social rented: Other social rented,40
E01000364,Private rented: Private landlord or letting agency,89
E01000364,Private rented: Other private rented or lives rent free,7
E01000365,Does not apply,0
E01000365,Owned: Owns outright,293
E01000365,Owned: Owns with a mortgage or loan or shared ownership,223
E01000365,Social rented: Rents from council or Local Authority,15
E01000365,Social rented: Other social rented,28
E01000365,Private rented: Private landlord or letting agency,133
E01000365,Private rented: Other private rented or lives rent free,13
E01000366,Does not apply,0
E01000366,Owned: Owns outright,231
E01000366,Owned: Owns with a mortgage or loan or shared ownership,289
E01000366,Social rented: Rents from council or Local Authority,4
E01000366,Social rented: Other social rented,23
E01000366,Private rented: Private landlord or letting agency,103
E01000366,Private rented: Other private rented or lives rent free,11
E01000367,Does not apply,0
E01000367,Owned: Owns outright,162
E01000367,Owned: Owns with a mortgage or loan or shared ownership,284
E01000367,Social rented: Rents from council or Local Authority,46
E01000367,Social rented: Other social rented,232
E01000367,Private rented: Private landlord or letting agency,64
E01000367,Private rented: Other private rented or lives rent free,9
E01000368,Does not apply,0
E01000368,Owned: Owns outright,94
E01000368,Owned: Owns with a mortgage or loan or shared ownership,194
E01000368,Social rented: Rents from council or Local Authority,34
E01000368,Social rented: Other social rented,240
E01000368,Private rented: Private landlord or letting agency,58
E01000368,Private rented: Other private rented or lives rent free,7
E01000369,Does not apply,0
E01000369,Owned: Owns outright,243
E01000369,Owned: Owns with a mortgage or loan or shared ownership,282
E01000369,Social rented: Rents from council or Local Authority,8
E01000369,Social rented: Other social rented,40
E01000369,Private rented: Private landlord or letting agency,47
E01000369,Private rented: Other private rented or lives rent free,9
E01000370,Does not apply,0
E01000370,Owned: Owns outright,268
E01000370,Owned: Owns with a mortgage or loan or shared ownership,246
E01000370,Social rented: Rents from council or Local Authority,6
E01000370,Social rented: Other social rented,51
E01000370,Private rented: Private landlord or letting agency,56
E01000370,Private rented: Other private rented or lives rent free,6
E01000371,Does not apply,0
E01000371,Owned: Owns outright,237
E01000371,Owned: Owns with a mortgage or loan or shared ownership,295
E01000371,Social rented: Rents from council or Local Authority,7
E01000371,Social rented: Other social rented,18
E01000371,Private rented: Private landlord or letting agency,61
E01000371,Private rented: Other private rented or lives rent free,12
E01000372,Does not apply,0
E01000372,Owned: Owns outright,155
E01000372,Owned: Owns with a mortgage or loan or shared ownership,196
E01000372,Social rented: Rents from council or Local Authority,39
E01000372,Social rented: Other social rented,157
E01000372,Private rented: Private landlord or letting agency,38
E01000372,Private rented: Other private rented or lives rent free,5
E01000373,Does not apply,0
E01000373,Owned: Owns outright,33
E01000373,Owned: Owns with a mortgage or loan or shared ownership,173
E01000373,Social rented: Rents from council or Local Authority,24
E01000373,Social rented: Other social rented,172
E01000373,Private rented: Private landlord or letting agency,53
E01000373,Private rented: Other private rented or lives rent free,5
E01000374,Does not apply,0
E01000374,Owned: Owns outright,93
E01000374,Owned: Owns with a mortgage or loan or shared ownership,173
E01000374,Social rented: Rents from council or Local Authority,50
E01000374,Social rented: Other social rented,169
E01000374,Private rented: Private landlord or letting agency,31
E01000374,Private rented: Other private rented or lives rent free,7
E01000375,Does not apply,0
E01000375,Owned: Owns outright,166
E01000375,Owned: Owns with a mortgage or loan or shared ownership,352
E01000375,Social rented: Rents from council or Local Authority,22
E01000375,Social rented: Other social rented,104
E01000375,Private rented: Private landlord or letting agency,130
E01000375,Private rented: Other private rented or lives rent free,11
E01000376,Does not apply,0
E01000376,Owned: Owns outright,176
E01000376,Owned: Owns with a mortgage or loan or shared ownership,293
E01000376,Social rented: Rents from council or Local Authority,11
E01000376,Social rented: Other social rented,57
E01000376,Private rented: Private landlord or letting agency,66
E01000376,Private rented: Other private rented or lives rent free,8
E01000377,Does not apply,0
E01000377,Owned: Owns outright,238
E01000377,Owned: Owns with a mortgage or loan or shared ownership,268
E01000377,Social rented: Rents from council or Local Authority,29
E01000377,Social rented: Other social rented,28
E01000377,Private rented: Private landlord or letting agency,83
E01000377,Private rented: Other private rented or lives rent free,10
E01000379,Does not apply,0
E01000379,Owned: Owns outright,197
E01000379,Owned: Owns with a mortgage or loan or shared ownership,281
E01000379,Social rented: Rents from council or Local Authority,19
E01000379,Social rented: Other social rented,87
E01000379,Private rented: Private landlord or letting agency,78
E01000379,Private rented: Other private rented or lives rent free,9
E01000380,Does not apply,0
E01000380,Owned: Owns outright,131
E01000380,Owned: Owns with a mortgage or loan or shared ownership,291
E01000380,Social rented: Rents from council or Local Authority,18
E01000380,Social rented: Other social rented,324
E01000380,Private rented: Private landlord or letting agency,128
E01000380,Private rented: Other private rented or lives rent free,12
E01000381,Does not apply,0
E01000381,Owned: Owns outright,182
E01000381,Owned: Owns with a mortgage or loan or shared ownership,205
E01000381,Social rented: Rents from council or Local Authority,29
E01000381,Social rented: Other social rented,153
E01000381,Private rented: Private landlord or letting agency,77
E01000381,Private rented: Other private rented or lives rent free,10
E01000382,Does not apply,0
E01000382,Owned: Owns outright,279
E01000382,Owned: Owns with a mortgage or loan or shared ownership,254
E01000382,Social rented: Rents from council or Local Authority,3
E01000382,Social rented: Other social rented,18
E01000382,Private rented: Private landlord or letting agency,29
E01000382,Private rented: Other private rented or lives rent free,7
E01000383,Does not apply,0
E01000383,Owned: Owns outright,274
E01000383,Owned: Owns with a mortgage or loan or shared ownership,231
E01000383,Social rented: Rents from council or Local Authority,17
E01000383,Social rented: Other social rented,50
E01000383,Private rented: Private landlord or letting agency,45
E01000383,Private rented: Other private rented or lives rent free,8
E01000384,Does not apply,0
E01000384,Owned: Owns outright,219
E01000384,Owned: Owns with a mortgage or loan or shared ownership,285
E01000384,Social rented: Rents from council or Local Authority,19
E01000384,Social rented: Other social rented,98
E01000384,Private rented: Private landlord or letting agency,122
E01000384,Private rented: Other private rented or lives rent free,15
E01000385,Does not apply,0
E01000385,Owned: Owns outright,152
E01000385,Owned: Owns with a mortgage or loan or shared ownership,258
E01000385,Social rented: Rents from council or Local Authority,54
E01000385,Social rented: Other social rented,252
E01000385,Private rented: Private landlord or letting agency,62
E01000385,Private rented: Other private rented or lives rent free,8
E01000386,Does not apply,0
E01000386,Owned: Owns outright,88
E01000386,Owned: Owns with a mortgage or loan or shared ownership,141
E01000386,Social rented: Rents from council or Local Authority,48
E01000386,Social rented: Other social rented,271
E01000386,Private rented: Private landlord or letting agency,90
E01000386,Private rented: Other private rented or lives rent free,7
E01000387,Does not apply,0
E01000387,Owned: Owns outright,292
