Lower layer Super Output Areas Code,Country of birth (UK) (3 categories),Observation
E01001463,Born outside the UK,748
E01001464,Does not apply,0
E01001464,Born in the UK,790
E01001464,Born outside the UK,525
E01001465,Does not apply,0
E01001465,Born in the UK,698
E01001465,Born outside the UK,863
E01001466,Does not apply,0
E01001466,Born in the UK,1022
E01001466,Born outside the UK,974
E01001467,Does not apply,0
E01001467,Born in the UK,942
E01001467,Born outside the UK,1057
E01001468,Does not apply,0
E01001468,Born in the UK,1023
E01001468,Born outside the UK,395
E01001469,Does not apply,0
E01001469,Born in the UK,1286
E01001469,Born outside the UK,481
E01001470,Does not apply,0
E01001470,Born in the UK,1281
E01001470,Born outside the UK,368
E01001471,Does not apply,0
E01001471,Born in the UK,1352
E01001471,Born outside the UK,556
E01001472,Does not apply,0
E01001472,Born in the UK,1223
E01001472,Born outside the UK,430
E01001473,Does not apply,0
E01001473,Born in the UK,1194
E01001473,Born outside the UK,402
E01001474,Does not apply,0
E01001474,Born in the UK,1443
E01001474,Born outside the UK,455
E01001475,Does not apply,0
E01001475,Born in the UK,1328
E01001475,Born outside the UK,474
E01001476,Does not apply,0
E01001476,Born in the UK,902
E01001476,Born outside the UK,849
E01001477,Does not apply,0
E01001477,Born in the UK,1077
E01001477,Born outside the UK,903
E01001478,Does not apply,0
E01001478,Born in the UK,1021
E01001478,Born outside the UK,637
E01001479,Does not apply,0
E01001479,Born in the UK,838
E01001479,Born outside the UK,955
E01001480,Does not apply,0
E01001480,Born in the UK,882
E01001480,Born outside the UK,706
E01001481,Does not apply,0
E01001481,Born in the UK,897
E01001481,Born outside the UK,899
E01001482,Does not apply,0
E01001482,Born in the UK,960
E01001482,Born outside the UK,960
E01001483,Does not apply,0
E01001483,Born in the UK,598
E01001483,Born outside the UK,589
E01001484,Does not apply,0
E01001484,Born in the UK,839
E01001484,Born outside the UK,575
E01001485,Does not apply,0
E01001485,Born in the UK,883
E01001485,Born outside the UK,975
E01001486,Does not apply,0
E01001486,Born in the UK,1068
E01001486,Born outside the UK,1080
E01001487,Does not apply,0
E01001487,Born in the UK,906
E01001487,Born outside the UK,1035
E01001488,Does not apply,0
E01001488,Born in the UK,962
E01001488,Born outside the UK,1017
E01001489,Does not apply,0
E01001489,Born in the UK,922
E01001489,Born outside the UK,966
E01001491,Does not apply,0
E01001491,Born in the UK,970
E01001491,Born outside the UK,980
E01001492,Does not apply,0
E01001492,Born in the UK,972
E01001492,Born outside the UK,1066
E01001493,Does not apply,0
E01001493,Born in the UK,1144
E01001493,Born outside the UK,767
E01001494,Does not apply,0
E01001494,Born in the UK,826
E01001494,Born outside the UK,651
E01001495,Does not apply,0
E01001495,Born in the UK,984
E01001495,Born outside the UK,862
E01001496,Does not apply,0
E01001496,Born in the UK,953
E01001496,Born outside the UK,948
E01001497,Does not apply,0
E01001497,Born in the UK,798
E01001497,Born outside the UK,658
E01001498,Does not apply,0
E01001498,Born in the UK,943
E01001498,Born outside the UK,894
E01001499,Does not apply,0
E01001499,Born in the UK,804
E01001499,Born outside the UK,736
E01001500,Does not apply,0
E01001500,Born in the UK,796
E01001500,Born outside the UK,793
E01001501,Does not apply,0
E01001501,Born in the UK,1134
E01001501,Born outside the UK,1086
E01001502,Does not apply,0
E01001502,Born in the UK,1053
E01001502,Born outside the UK,901
E01001503,Does not apply,0
E01001503,Born in the UK,1056
E01001503,Born outside the UK,832
E01001504,Does not apply,0
E01001504,Born in the UK,1106
E01001504,Born outside the UK,1033
E01001505,Does not apply,0
E01001505,Born in the UK,1055
E01001505,Born outside the UK,904
E01001507,Does not apply,0
E01001507,Born in the UK,1102
E01001507,Born outside the UK,1481
E01001508,Does not apply,0
E01001508,Born in the UK,1269
E01001508,Born outside the UK,1175
E01001509,Does not apply,0
E01001509,Born in the UK,919
E01001509,Born outside the UK,854
E01001511,Does not apply,0
E01001511,Born in the UK,1254
E01001511,Born outside the UK,669
E01001512,Does not apply,0
E01001512,Born in the UK,1441
E01001512,Born outside the UK,836
E01001513,Does not apply,0
E01001513,Born in the UK,1297
E01001513,Born outside the UK,685
E01001514,Does not apply,0
E01001514,Born in the UK,1191
E01001514,Born outside the UK,574
E01001515,Does not apply,0
E01001515,Born in the UK,1173
E01001515,Born outside the UK,876
E01001516,Does not apply,0
E01001516,Born in the UK,1472
E01001516,Born outside the UK,651
E01001517,Does not apply,0
E01001517,Born in the UK,1212
E01001517,Born outside the UK,833
E01001518,Does not apply,0
E01001518,Born in the UK,1106
E01001518,Born outside the UK,582
E01001520,Does not apply,0
E01001520,Born in the UK,1104
E01001520,Born outside the UK,756
E01001521,Does not apply,0
E01001521,Born in the UK,1155
E01001521,Born outside the UK,720
E01001522,Does not apply,0
E01001522,Born in the UK,1139
E01001522,Born outside the UK,678
E01001523,Does not apply,0
E01001523,Born in the UK,1239
E01001523,Born outside the UK,608
E01001524,Does not apply,0
E01001524,Born in the UK,978
E01001524,Born outside the UK,584
E01001525,Does not apply,0
E01001525,Born in the UK,1152
E01001525,Born outside the UK,812
E01001526,Does not apply,0
E01001526,Born in the UK,1050
E01001526,Born outside the UK,558
E01001527,Does not apply,0
E01001527,Born in the UK,1151
E01001527,Born outside the UK,903
E01001528,Does not apply,0
E01001528,Born in the UK,888
E01001528,Born outside the UK,800
E01001529,Does not apply,0
E01001529,Born in the UK,803
E01001529,Born outside the UK,986
E01001530,Does not apply,0
E01001530,Born in the UK,968
E01001530,Born outside the UK,759
E01001531,Does not apply,0
E01001531,Born in the UK,1051
E01001531,Born outside the UK,385
E01001532,Does not apply,0
E01001532,Born in the UK,1153
E01001532,Born outside the UK,510
E01001533,Does not apply,0
E01001533,Born in the UK,1147
E01001533,Born outside the UK,515
E01001534,Does not apply,0
E01001534,Born in the UK,925
E01001534,Born outside the UK,764
E01001535,Does not apply,0
E01001535,Born in the UK,804
E01001535,Born outside the UK,599
E01001536,Does not apply,0
E01001536,Born in the UK,1433
E01001536,Born outside the UK,537
E01001537,Does not apply,0
E01001537,Born in the UK,1290
E01001537,Born outside the UK,425
E01001538,Does not apply,0
E01001538,Born in the UK,1390
E01001538,Born outside the UK,287
E01001539,Does not apply,0
E01001539,Born in the UK,1303
E01001539,Born outside the UK,351
E01001540,Does not apply,0
E01001540,Born in the UK,1382
E01001540,Born outside the UK,524
E01001541,Does not apply,0
E01001541,Born in the UK,1294
E01001541,Born outside the UK,238
E01001542,Does not apply,0
E01001542,Born in the UK,1096
E01001542,Born outside the UK,471
E01001543,Does not apply,0
E01001543,Born in the UK,1237
E01001543,Born outside the UK,379
E01001544,Does not apply,0
E01001544,Born in the UK,1251
E01001544,Born outside the UK,443
E01001545,Does not apply,0
E01001545,Born in the UK,1219
E01001545,Born outside the UK,666
E01001546,Does not apply,0
E01001546,Born in the UK,1237
E01001546,Born outside the UK,576
E01001547,Does not apply,0
E01001547,Born in the UK,1171
E01001547,Born outside the UK,921
E01001548,Does not apply,0
E01001548,Born in the UK,1216
E01001548,Born outside the UK,712
E01001549,Does not apply,0
E01001549,Born in the UK,1482
E01001549,Born outside the UK,877
E01001550,Does not apply,0
E01001550,Born in the UK,1148
E01001550,Born outside the UK,622
E01001551,Does not apply,0
E01001551,Born in the UK,1197
E01001551,Born outside the UK,599
E01001552,Does not apply,0
E01001552,Born in the UK,1262
E01001552,Born outside the UK,683
E01001553,Does not apply,0
E01001553,Born in the UK,974
E01001553,Born outside the UK,779
E01001554,Does not apply,0
E01001554,Born in the UK,856
E01001554,Born outside the UK,942
E01001555,Does not apply,0
E01001555,Born in the UK,970
E01001555,Born outside the UK,1264
E01001556,Does not apply,0
E01001556,Born in the UK,803
E01001556,Born outside the UK,787
E01001557,Does not apply,0
E01001557,Born in the UK,865
E01001557,Born outside the UK,850
E01001558,Does not apply,0
E01001558,Born in the UK,923
E01001558,Born outside the UK,1140
E01001559,Does not apply,0
E01001559,Born in the UK,1043
E01001559,Born outside the UK,1086
E01001560,Does not apply,0
E01001560,Born in the UK,769
E01001560,Born outside the UK,802
E01001562,Does not apply,0
E01001562,Born in the UK,1118
E01001562,Born outside the UK,1117
E01001563,Does not apply,0
E01001563,Born in the UK,1026
E01001563,Born outside the UK,710
E01001564,Does not apply,0
E01001564,Born in the UK,1227
E01001564,Born outside the UK,435
E01001565,Does not apply,0
E01001565,Born in the UK,1081
E01001565,Born outside the UK,596
E01001566,Does not apply,0
E01001566,Born in the UK,1221
E01001566,Born outside the UK,560
E01001567,Does not apply,0
E01001567,Born in the UK,1216
E01001567,Born outside the UK,326
E01001568,Does not apply,0
E01001568,Born in the UK,1371
E01001568,Born outside the UK,513
E01001569,Does not apply,0
E01001569,Born in the UK,1208
E01001569,Born outside the UK,562
E01001570,Does not apply,0
E01001570,Born in the UK,1264
E01001570,Born outside the UK,635
E01001571,Does not apply,0
E01001571,Born in the UK,969
E01001571,Born outside the UK,840
E01001572,Does not apply,0
E01001572,Born in the UK,1061
E01001572,Born outside the UK,672
E01001573,Does not apply,0
E01001573,Born in the UK,971
E01001573,Born outside the UK,604
E01001574,Does not apply,0
E01001574,Born in the UK,1255
E01001574,Born outside the UK,669
E01001575,Does not apply,0
E01001575,Born in the UK,1139
E01001575,Born outside the UK,675
E01001576,Does not apply,0
E01001576,Born in the UK,1210
E01001576,Born outside the UK,788
E01001577,Does not apply,0
E01001577,Born in the UK,1264
E01001577,Born outside the UK,753
E01001578,Does not apply,0
E01001578,Born in the UK,1248
E01001578,Born outside the UK,1058
E01001579,Does not apply,0
E01001579,Born in the UK,1095
E01001579,Born outside the UK,639
E01001580,Does not apply,0
E01001580,Born in the UK,1131
E01001580,Born outside the UK,508
E01001581,Does not apply,0
E01001581,Born in the UK,1092
E01001581,Born outside the UK,486
E01001582,Does not apply,0
E01001582,Born in the UK,1059
E01001582,Born outside the UK,474
E01001583,Does not apply,0
E01001583,Born in the UK,1168
E01001583,Born outside the UK,399
E01001584,Does not apply,0
E01001584,Born in the UK,1151
E01001584,Born outside the UK,351
E01001585,Does not apply,0
E01001585,Born in the UK,1123
E01001585,Born outside the UK,406
E01001586,Does not apply,0
E01001586,Born in the UK,1025
E01001586,Born outside the UK,399
E01001587,Does not apply,0
E01001587,Born in the UK,1367
E01001587,Born outside the UK,614
E01001588,Does not apply,0
E01001588,Born in the UK,1092
E01001588,Born outside the UK,600
E01001589,Does not apply,0
E01001589,Born in the UK,1205
E01001589,Born outside the UK,648
E01001590,Does not apply,0
E01001590,Born in the UK,1095
E01001590,Born outside the UK,609
E01001591,Does not apply,0
E01001591,Born in the UK,1391
E01001591,Born outside the UK,709
E01001592,Does not apply,0
E01001592,Born in the UK,1326
E01001592,Born outside the UK,607
E01001593,Does not apply,0
E01001593,Born in the UK,1307
E01001593,Born outside the UK,486
E01001594,Does not apply,0
E01001594,Born in the UK,1472
E01001594,Born outside the UK,896
E01001595,Does not apply,0
E01001595,Born in the UK,1417
E01001595,Born outside the UK,805
E01001596,Does not apply,0
E01001596,Born in the UK,1400
E01001596,Born outside the UK,337
E01001597,Does not apply,0
E01001597,Born in the UK,1120
E01001597,Born outside the UK,436
E01001598,Does not apply,0
E01001598,Born in the UK,1166
E01001598,Born outside the UK,443
E01001599,Does not apply,0
E01001599,Born in the UK,1322
E01001599,Born outside the UK,355
E01001600,Does not apply,0
E01001600,Born in the UK,1172
E01001600,Born outside the UK,337
E01001601,Does not apply,0
E01001601,Born in the UK,1241
E01001601,Born outside the UK,266
E01001602,Does not apply,0
E01001602,Born in the UK,1589
E01001602,Born outside the UK,537
E01001603,Does not apply,0
E01001603,Born in the UK,1392
E01001603,Born outside the UK,364
E01001604,Does not apply,0
E01001604,Born in the UK,1169
E01001604,Born outside the UK,379
E01001605,Does not apply,0
E01001605,Born in the UK,1300
E01001605,Born outside the UK,220
E01001606,Does not apply,0
E01001606,Born in the UK,1339
E01001606,Born outside the UK,287
E01001607,Does not apply,0
E01001607,Born in the UK,1305
E01001607,Born outside the UK,305
E01001608,Does not apply,0
E01001608,Born in the UK,1227
E01001608,Born outside the UK,217
E01001609,Does not apply,0
E01001609,Born in the UK,1250
E01001609,Born outside the UK,441
E01001610,Does not apply,0
E01001610,Born in the UK,1367
E01001610,Born outside the UK,394
E01001611,Does not apply,0
E01001611,Born in the UK,1292
E01001611,Born outside the UK,475
E01001613,Does not apply,0
E01001613,Born in the UK,1268
E01001613,Born outside the UK,485
E01001614,Does not apply,0
E01001614,Born in the UK,1288
E01001614,Born outside the UK,205
E01001615,Does not apply,0
E01001615,Born in the UK,1229
E01001615,Born outside the UK,762
E01001617,Does not apply,0
E01001617,Born in the UK,1273
E01001617,Born outside the UK,355
E01001618,Does not apply,0
E01001618,Born in the UK,1513
E01001618,Born outside the UK,393
E01001619,Does not apply,0
E01001619,Born in the UK,1452
E01001619,Born outside the UK,512
E01001620,Does not apply,0
E01001620,Born in the UK,1110
E01001620,Born outside the UK,472
E01001621,Does not apply,0
E01001621,Born in the UK,1254
E01001621,Born outside the UK,420
E01001623,Does not apply,0
E01001623,Born in the UK,1224
E01001623,Born outside the UK,582
E01001624,Does not apply,0
E01001624,Born in the UK,1238
E01001624,Born outside the UK,390
E01001625,Does not apply,0
E01001625,Born in the UK,1348
E01001625,Born outside the UK,434
E01001629,Does not apply,0
E01001629,Born in the UK,1238
E01001629,Born outside the UK,903
E01001631,Does not apply,0
E01001631,Born in the UK,1208
E01001631,Born outside the UK,900
E01001632,Does not apply,0
E01001632,Born in the UK,918
E01001632,Born outside the UK,1120
E01001633,Does not apply,0
E01001633,Born in the UK,1138
E01001633,Born outside the UK,905
E01001634,Does not apply,0
E01001634,Born in the UK,1059
E01001634,Born outside the UK,677
E01001635,Does not apply,0
E01001635,Born in the UK,1000
E01001635,Born outside the UK,644
E01001636,Does not apply,0
E01001636,Born in the UK,827
E01001636,Born outside the UK,857
E01001637,Does not apply,0
E01001637,Born in the UK,991
E01001637,Born outside the UK,811
E01001638,Does not apply,0
E01001638,Born in the UK,1036
E01001638,Born outside the UK,724
E01001641,Does not apply,0
E01001641,Born in the UK,1244
E01001641,Born outside the UK,622
E01001642,Does not apply,0
E01001642,Born in the UK,1288
E01001642,Born outside the UK,445
E01001644,Does not apply,0
E01001644,Born in the UK,1593
E01001644,Born outside the UK,1036
E01001645,Does not apply,0
E01001645,Born in the UK,1234
E01001645,Born outside the UK,618
E01001646,Does not apply,0
E01001646,Born in the UK,1714
E01001646,Born outside the UK,1106
E01001647,Does not apply,0
E01001647,Born in the UK,985
E01001647,Born outside the UK,502
E01001648,Does not apply,0
E01001648,Born in the UK,1125
E01001648,Born outside the UK,599
E01001649,Does not apply,0
E01001649,Born in the UK,1095
E01001649,Born outside the UK,481
E01001650,Does not apply,0
E01001650,Born in the UK,1182
E01001650,Born outside the UK,652
E01001651,Does not apply,0
E01001651,Born in the UK,1240
E01001651,Born outside the UK,635
E01001652,Does not apply,0
E01001652,Born in the UK,1136
E01001652,Born outside the UK,570
E01001653,Does not apply,0
E01001653,Born in the UK,1167
E01001653,Born outside the UK,424
E01001654,Does not apply,0
E01001654,Born in the UK,1187
E01001654,Born outside the UK,419
E01001655,Does not apply,0
E01001655,Born in the UK,1225
E01001655,Born outside the UK,350
E01001656,Does not apply,0
E01001656,Born in the UK,1018
E01001656,Born outside the UK,322
E01001657,Does not apply,0
E01001657,Born in the UK,1154
E01001657,Born outside the UK,416
E01001658,Does not apply,0
E01001658,Born in the UK,1090
E01001658,Born outside the UK,564
E01001659,Does not apply,0
E01001659,Born in the UK,1058
E01001659,Born outside the UK,560
E01001660,Does not apply,0
E01001660,Born in the UK,1095
E01001660,Born outside the UK,464
E01001661,Does not apply,0
E01001661,Born in the UK,1206
E01001661,Born outside the UK,458
E01001664,Does not apply,0
E01001664,Born in the UK,1408
E01001664,Born outside the UK,668
E01001665,Does not apply,0
E01001665,Born in the UK,1169
E01001665,Born outside the UK,721
E01001666,Does not apply,0
E01001666,Born in the UK,1153
E01001666,Born outside the UK,831
E01001669,Does not apply,0
E01001669,Born in the UK,1579
E01001669,Born outside the UK,916
E01001671,Does not apply,0
E01001671,Born in the UK,1170
E01001671,Born outside the UK,500
E01001672,Does not apply,0
E01001672,Born in the UK,855
E01001672,Born outside the UK,1078
E01001673,Does not apply,0
E01001673,Born in the UK,1064
E01001673,Born outside the UK,1339
E01001674,Does not apply,0
E01001674,Born in the UK,1030
E01001674,Born outside the UK,1165
E01001675,Does not apply,0
E01001675,Born in the UK,891
E01001675,Born outside the UK,1477
E01001676,Does not apply,0
E01001676,Born in the UK,972
E01001676,Born outside the UK,830
E01001677,Does not apply,0
E01001677,Born in the UK,1143
E01001677,Born outside the UK,1020
E01001678,Does not apply,0
E01001678,Born in the UK,1230
E01001678,Born outside the UK,544
E01001679,Does not apply,0
E01001679,Born in the UK,998
E01001679,Born outside the UK,355
E01001680,Does not apply,0
E01001680,Born in the UK,1125
E01001680,Born outside the UK,391
E01001681,Does not apply,0
E01001681,Born in the UK,960
E01001681,Born outside the UK,445
E01001682,Does not apply,0
E01001682,Born in the UK,1000
E01001682,Born outside the UK,377
E01001683,Does not apply,0
E01001683,Born in the UK,1054
E01001683,Born outside the UK,495
E01001684,Does not apply,0
E01001684,Born in the UK,1048
E01001684,Born outside the UK,398
E01001685,Does not apply,0
E01001685,Born in the UK,1062
E01001685,Born outside the UK,499
E01001686,Does not apply,0
E01001686,Born in the UK,1069
E01001686,Born outside the UK,731
E01001687,Does not apply,0
E01001687,Born in the UK,1028
E01001687,Born outside the UK,626
E01001688,Does not apply,0
E01001688,Born in the UK,1438
E01001688,Born outside the UK,1232
E01001690,Does not apply,0
E01001690,Born in the UK,1072
E01001690,Born outside the UK,645
E01001692,Does not apply,0
E01001692,Born in the UK,902
E01001692,Born outside the UK,567
E01001693,Does not apply,0
E01001693,Born in the UK,955
E01001693,Born outside the UK,605
E01001694,Does not apply,0
E01001694,Born in the UK,1023
E01001694,Born outside the UK,722
E01001695,Does not apply,0
E01001695,Born in the UK,856
E01001695,Born outside the UK,693
E01001696,Does not apply,0
E01001696,Born in the UK,1307
E01001696,Born outside the UK,1265
E01001697,Does not apply,0
E01001697,Born in the UK,1214
E01001697,Born outside the UK,1429
E01001698,Does not apply,0
E01001698,Born in the UK,1122
E01001698,Born outside the UK,792
E01001699,Does not apply,0
E01001699,Born in the UK,925
E01001699,Born outside the UK,540
E01001700,Does not apply,0
E01001700,Born in the UK,1109
E01001700,Born outside the UK,1260
E01001701,Does not apply,0
E01001701,Born in the UK,1114
E01001701,Born outside the UK,649
E01001702,Does not apply,0
E01001702,Born in the UK,852
E01001702,Born outside the UK,633
E01001703,Does not apply,0
E01001703,Born in the UK,975
E01001703,Born outside the UK,1104
E01001704,Does not apply,0
E01001704,Born in the UK,1071
E01001704,Born outside the UK,578
E01001705,Does not apply,0
E01001705,Born in the UK,1224
E01001705,Born outside the UK,1024
E01001708,Does not apply,0
E01001708,Born in the UK,1177
E01001708,Born outside the UK,521
E01001710,Does not apply,0
E01001710,Born in the UK,914
E01001710,Born outside the UK,846
E01001712,Does not apply,0
E01001712,Born in the UK,1129
E01001712,Born outside the UK,992
E01001714,Does not apply,0
E01001714,Born in the UK,1090
E01001714,Born outside the UK,961
E01001715,Does not apply,0
E01001715,Born in the UK,734
E01001715,Born outside the UK,552
E01001716,Does not apply,0
E01001716,Born in the UK,979
E01001716,Born outside the UK,809
E01001717,Does not apply,0
E01001717,Born in the UK,671
E01001717,Born outside the UK,455
E01001718,Does not apply,0
E01001718,Born in the UK,1038
E01001718,Born outside the UK,702
E01001719,Does not apply,0
E01001719,Born in the UK,944
E01001719,Born outside the UK,695
E01001720,Does not apply,0
E01001720,Born in the UK,1128
E01001720,Born outside the UK,579
E01001722,Does not apply,0
E01001722,Born in the UK,1367
E01001722,Born outside the UK,936
E01001723,Does not apply,0
E01001723,Born in the UK,1364
E01001723,Born outside the UK,606
E01001724,Does not apply,0
E01001724,Born in the UK,1688
E01001724,Born outside the UK,1206
E01001725,Does not apply,0
E01001725,Born in the UK,1285
E01001725,Born outside the UK,547
E01001726,Does not apply,0
E01001726,Born in the UK,766
E01001726,Born outside the UK,559
E01001727,Does not apply,0
E01001727,Born in the UK,1391
E01001727,Born outside the UK,596
E01001728,Does not apply,0
E01001728,Born in the UK,1374
E01001728,Born outside the UK,605
E01001729,Does not apply,0
E01001729,Born in the UK,1164
E01001729,Born outside the UK,821
E01001730,Does not apply,0
E01001730,Born in the UK,1633
E01001730,Born outside the UK,1134
E01001731,Does not apply,0
E01001731,Born in the UK,1447
E01001731,Born outside the UK,1219
E01001732,Does not apply,0
E01001732,Born in the UK,1181
E01001732,Born outside the UK,719
E01001733,Does not apply,0
E01001733,Born in the UK,1219
E01001733,Born outside the UK,653
E01001734,Does not apply,0
E01001734,Born in the UK,1040
E01001734,Born outside the UK,795
E01001735,Does not apply,0
E01001735,Born in the UK,1050
E01001735,Born outside the UK,520
E01001736,Does not apply,0
E01001736,Born in the UK,1048
E01001736,Born outside the UK,499
E01001737,Does not apply,0
E01001737,Born in the UK,1210
E01001737,Born outside the UK,558
E01001738,Does not apply,0
E01001738,Born in the UK,1144
E01001738,Born outside the UK,596
E01001739,Does not apply,0
E01001739,Born in the UK,1368
E01001739,Born outside the UK,609
E01001740,Does not apply,0
E01001740,Born in the UK,877
E01001740,Born outside the UK,668
E01001741,Does not apply,0
E01001741,Born in the UK,1041
E01001741,Born outside the UK,399
E01001742,Does not apply,0
E01001742,Born in the UK,1161
E01001742,Born outside the UK,593
E01001744,Does not apply,0
E01001744,Born in the UK,1272
E01001744,Born outside the UK,732
E01001745,Does not apply,0
E01001745,Born in the UK,1254
E01001745,Born outside the UK,908
E01001746,Does not apply,0
E01001746,Born in the UK,920
E01001746,Born outside the UK,766
E01001747,Does not apply,0
E01001747,Born in the UK,1313
E01001747,Born outside the UK,1017
E01001749,Does not apply,0
E01001749,Born in the UK,1005
E01001749,Born outside the UK,483
E01001750,Does not apply,0
E01001750,Born in the UK,1224
E01001750,Born outside the UK,898
E01001751,Does not apply,0
E01001751,Born in the UK,1001
E01001751,Born outside the UK,477
E01001753,Does not apply,0
E01001753,Born in the UK,875
E01001753,Born outside the UK,663
E01001755,Does not apply,0
E01001755,Born in the UK,943
E01001755,Born outside the UK,735
E01001756,Does not apply,0
E01001756,Born in the UK,1255
E01001756,Born outside the UK,782
E01001757,Does not apply,0
E01001757,Born in the UK,841
E01001757,Born outside the UK,744
E01001758,Does not apply,0
E01001758,Born in the UK,1470
E01001758,Born outside the UK,1144
E01001759,Does not apply,0
E01001759,Born in the UK,1018
E01001759,Born outside the UK,629
E01001760,Does not apply,0
E01001760,Born in the UK,1090
E01001760,Born outside the UK,794
E01001761,Does not apply,0
E01001761,Born in the UK,1120
E01001761,Born outside the UK,698
E01001762,Does not apply,0
E01001762,Born in the UK,1039
E01001762,Born outside the UK,634
E01001763,Does not apply,0
E01001763,Born in the UK,1108
E01001763,Born outside the UK,661
E01001764,Does not apply,0
E01001764,Born in the UK,1066
E01001764,Born outside the UK,686
E01001765,Does not apply,0
E01001765,Born in the UK,1077
E01001765,Born outside the UK,724
E01001767,Does not apply,0
E01001767,Born in the UK,987
E01001767,Born outside the UK,621
E01001768,Does not apply,0
E01001768,Born in the UK,1236
E01001768,Born outside the UK,632
E01001769,Does not apply,0
E01001769,Born in the UK,955
E01001769,Born outside the UK,566
E01001770,Does not apply,0
E01001770,Born in the UK,1045
E01001770,Born outside the UK,669
E01001772,Does not apply,0
E01001772,Born in the UK,964
E01001772,Born outside the UK,825
E01001773,Does not apply,0
E01001773,Born in the UK,1431
E01001773,Born outside the UK,1050
E01001774,Does not apply,0
E01001774,Born in the UK,1067
E01001774,Born outside the UK,920
E01001775,Does not apply,0
E01001775,Born in the UK,929
E01001775,Born outside the UK,705
E01001776,Does not apply,0
E01001776,Born in the UK,943
E01001776,Born outside the UK,766
E01001777,Does not apply,0
E01001777,Born in the UK,1201
E01001777,Born outside the UK,1432
E01001780,Does not apply,0
E01001780,Born in the UK,878
E01001780,Born outside the UK,938
E01001781,Does not apply,0
E01001781,Born in the UK,858
E01001781,Born outside the UK,744
E01001783,Does not apply,0
E01001783,Born in the UK,837
E01001783,Born outside the UK,769
E01001784,Does not apply,0
E01001784,Born in the UK,937
E01001784,Born outside the UK,835
E01001785,Does not apply,0
E01001785,Born in the UK,1047
E01001785,Born outside the UK,549
E01001786,Does not apply,0
E01001786,Born in the UK,1262
E01001786,Born outside the UK,963
E01001787,Does not apply,0
E01001787,Born in the UK,934
E01001787,Born outside the UK,676
E01001788,Does not apply,0
E01001788,Born in the UK,883
E01001788,Born outside the UK,614
E01001789,Does not apply,0
E01001789,Born in the UK,1125
E01001789,Born outside the UK,648
E01001790,Does not apply,0
E01001790,Born in the UK,834
E01001790,Born outside the UK,679
E01001791,Does not apply,0
E01001791,Born in the UK,960
E01001791,Born outside the UK,499
E01001792,Does not apply,0
E01001792,Born in the UK,1188
E01001792,Born outside the UK,748
E01001793,Does not apply,0
E01001793,Born in the UK,1123
E01001793,Born outside the UK,456
E01001794,Does not apply,0
E01001794,Born in the UK,1295
E01001794,Born outside the UK,603
E01001795,Does not apply,0
E01001795,Born in the UK,831
E01001795,Born outside the UK,477
E01001796,Does not apply,0
E01001796,Born in the UK,894
E01001796,Born outside the UK,582
E01001798,Does not apply,0
E01001798,Born in the UK,1426
E01001798,Born outside the UK,903
E01001799,Does not apply,0
E01001799,Born in the UK,1112
E01001799,Born outside the UK,394
E01001800,Does not apply,0
E01001800,Born in the UK,1145
E01001800,Born outside the UK,603
E01001801,Does not apply,0
E01001801,Born in the UK,1286
E01001801,Born outside the UK,436
E01001802,Does not apply,0
E01001802,Born in the UK,889
E01001802,Born outside the UK,488
E01001803,Does not apply,0
E01001803,Born in the UK,1177
E01001803,Born outside the UK,627
E01001804,Does not apply,0
E01001804,Born in the UK,1270
E01001804,Born outside the UK,401
E01001805,Does not apply,0
E01001805,Born in the UK,797
E01001805,Born outside the UK,430
E01001806,Does not apply,0
E01001806,Born in the UK,966
E01001806,Born outside the UK,503
E01001807,Does not apply,0
E01001807,Born in the UK,1156
E01001807,Born outside the UK,651
E01001808,Does not apply,0
E01001808,Born in the UK,1083
E01001808,Born outside the UK,551
E01001809,Does not apply,0
E01001809,Born in the UK,1322
E01001809,Born outside the UK,562
E01001811,Does not apply,0
E01001811,Born in the UK,1006
E01001811,Born outside the UK,785
E01001812,Does not apply,0
E01001812,Born in the UK,1075
E01001812,Born outside the UK,717
E01001813,Does not apply,0
E01001813,Born in the UK,989
E01001813,Born outside the UK,961
E01001814,Does not apply,0
E01001814,Born in the UK,1052
E01001814,Born outside the UK,647
E01001815,Does not apply,0
E01001815,Born in the UK,1127
E01001815,Born outside the UK,645
E01001816,Does not apply,0
E01001816,Born in the UK,1039
E01001816,Born outside the UK,511
E01001819,Does not apply,0
E01001819,Born in the UK,1050
E01001819,Born outside the UK,537
E01001820,Does not apply,0
E01001820,Born in the UK,845
E01001820,Born outside the UK,545
E01001821,Does not apply,0
E01001821,Born in the UK,814
E01001821,Born outside the UK,536
E01001822,Does not apply,0
E01001822,Born in the UK,1373
E01001822,Born outside the UK,624
E01001823,Does not apply,0
E01001823,Born in the UK,1102
E01001823,Born outside the UK,530
E01001824,Does not apply,0
E01001824,Born in the UK,1114
E01001824,Born outside the UK,510
E01001825,Does not apply,0
E01001825,Born in the UK,957
E01001825,Born outside the UK,393
E01001826,Does not apply,0
E01001826,Born in the UK,1062
E01001826,Born outside the UK,511
E01001827,Does not apply,0
E01001827,Born in the UK,1129
E01001827,Born outside the UK,518
E01001828,Does not apply,0
E01001828,Born in the UK,1276
E01001828,Born outside the UK,777
E01001829,Does not apply,0
E01001829,Born in the UK,1251
E01001829,Born outside the UK,505
E01001830,Does not apply,0
E01001830,Born in the UK,1000
