Lower layer Super Output Areas Code,Country of birth (UK) (3 categories),Observation
E01000080,Born outside the UK,657
E01000081,Does not apply,0
E01000081,Born in the UK,1182
E01000081,Born outside the UK,794
E01000082,Does not apply,0
E01000082,Born in the UK,1239
E01000082,Born outside the UK,674
E01000083,Does not apply,0
E01000083,Born in the UK,1272
E01000083,Born outside the UK,647
E01000084,Does not apply,0
E01000084,Born in the UK,883
E01000084,Born outside the UK,555
E01000085,Does not apply,0
E01000085,Born in the UK,1016
E01000085,Born outside the UK,630
E01000086,Does not apply,0
E01000086,Born in the UK,917
E01000086,Born outside the UK,531
E01000087,Does not apply,0
E01000087,Born in the UK,991
E01000087,Born outside the UK,645
E01000088,Does not apply,0
E01000088,Born in the UK,1095
E01000088,Born outside the UK,880
E01000089,Does not apply,0
E01000089,Born in the UK,1013
E01000089,Born outside the UK,811
E01000090,Does not apply,0
E01000090,Born in the UK,884
E01000090,Born outside the UK,823
E01000091,Does not apply,0
E01000091,Born in the UK,1234
E01000091,Born outside the UK,857
E01000093,Does not apply,0
E01000093,Born in the UK,1098
E01000093,Born outside the UK,711
E01000094,Does not apply,0
E01000094,Born in the UK,1297
E01000094,Born outside the UK,1164
E01000095,Does not apply,0
E01000095,Born in the UK,1424
E01000095,Born outside the UK,826
E01000096,Does not apply,0
E01000096,Born in the UK,976
E01000096,Born outside the UK,682
E01000097,Does not apply,0
E01000097,Born in the UK,1187
E01000097,Born outside the UK,746
E01000098,Does not apply,0
E01000098,Born in the UK,1221
E01000098,Born outside the UK,716
E01000099,Does not apply,0
E01000099,Born in the UK,1691
E01000099,Born outside the UK,1087
E01000100,Does not apply,0
E01000100,Born in the UK,1231
E01000100,Born outside the UK,713
E01000101,Does not apply,0
E01000101,Born in the UK,1028
E01000101,Born outside the UK,671
E01000102,Does not apply,0
E01000102,Born in the UK,1118
E01000102,Born outside the UK,666
E01000103,Does not apply,0
E01000103,Born in the UK,1107
E01000103,Born outside the UK,666
E01000104,Does not apply,0
E01000104,Born in the UK,1197
E01000104,Born outside the UK,718
E01000105,Does not apply,0
E01000105,Born in the UK,1453
E01000105,Born outside the UK,878
E01000106,Does not apply,0
E01000106,Born in the UK,1345
E01000106,Born outside the UK,862
E01000107,Does not apply,0
E01000107,Born in the UK,1136
E01000107,Born outside the UK,650
E01000108,Does not apply,0
E01000108,Born in the UK,1184
E01000108,Born outside the UK,731
E01000110,Does not apply,0
E01000110,Born in the UK,984
E01000110,Born outside the UK,589
E01000111,Does not apply,0
E01000111,Born in the UK,1256
E01000111,Born outside the UK,899
E01000112,Does not apply,0
E01000112,Born in the UK,1087
E01000112,Born outside the UK,884
E01000113,Does not apply,0
E01000113,Born in the UK,1020
E01000113,Born outside the UK,975
E01000114,Does not apply,0
E01000114,Born in the UK,1446
E01000114,Born outside the UK,973
E01000115,Does not apply,0
E01000115,Born in the UK,940
E01000115,Born outside the UK,455
E01000116,Does not apply,0
E01000116,Born in the UK,1235
E01000116,Born outside the UK,510
E01000117,Does not apply,0
E01000117,Born in the UK,1240
E01000117,Born outside the UK,495
E01000118,Does not apply,0
E01000118,Born in the UK,1372
E01000118,Born outside the UK,677
E01000119,Does not apply,0
E01000119,Born in the UK,1031
E01000119,Born outside the UK,762
E01000120,Does not apply,0
E01000120,Born in the UK,954
E01000120,Born outside the UK,541
E01000121,Does not apply,0
E01000121,Born in the UK,1025
E01000121,Born outside the UK,452
E01000122,Does not apply,0
E01000122,Born in the UK,963
E01000122,Born outside the UK,548
E01000123,Does not apply,0
E01000123,Born in the UK,1077
E01000123,Born outside the UK,685
E01000124,Does not apply,0
E01000124,Born in the UK,1085
E01000124,Born outside the UK,782
E01000126,Does not apply,0
E01000126,Born in the UK,1145
E01000126,Born outside the UK,1129
E01000127,Does not apply,0
E01000127,Born in the UK,818
E01000127,Born outside the UK,739
E01000128,Does not apply,0
E01000128,Born in the UK,1011
E01000128,Born outside the UK,1038
E01000129,Does not apply,0
E01000129,Born in the UK,697
E01000129,Born outside the UK,907
E01000130,Does not apply,0
E01000130,Born in the UK,967
E01000130,Born outside the UK,972
E01000131,Does not apply,0
E01000131,Born in the UK,837
