Lower layer Super Output Areas Code,Age (6 categories),Observation
E01001253,Aged 50 to 64 years,378
E01001253,Aged 65 years and over,193
E01001254,Aged 15 years and under,364
E01001254,Aged 16 to 24 years,129
E01001254,Aged 25 to 34 years,195
E01001254,Aged 35 to 49 years,438
E01001254,Aged 50 to 64 years,366
E01001254,Aged 65 years and over,255
E01001255,Aged 15 years and under,376
E01001255,Aged 16 to 24 years,123
E01001255,Aged 25 to 34 years,157
E01001255,Aged 35 to 49 years,421
E01001255,Aged 50 to 64 years,307
E01001255,Aged 65 years and over,205
E01001257,Aged 15 years and under,569
E01001257,Aged 16 to 24 years,272
E01001257,Aged 25 to 34 years,378
E01001257,Aged 35 to 49 years,508
E01001257,Aged 50 to 64 years,341
E01001257,Aged 65 years and over,165
E01001258,Aged 15 years and under,414
E01001258,Aged 16 to 24 years,169
E01001258,Aged 25 to 34 years,240
E01001258,Aged 35 to 49 years,465
E01001258,Aged 50 to 64 years,316
E01001258,Aged 65 years and over,269
E01001259,Aged 15 years and under,331
E01001259,Aged 16 to 24 years,152
E01001259,Aged 25 to 34 years,260
E01001259,Aged 35 to 49 years,358
E01001259,Aged 50 to 64 years,289
E01001259,Aged 65 years and over,209
E01001260,Aged 15 years and under,376
E01001260,Aged 16 to 24 years,210
E01001260,Aged 25 to 34 years,307
E01001260,Aged 35 to 49 years,458
E01001260,Aged 50 to 64 years,398
E01001260,Aged 65 years and over,287
E01001261,Aged 15 years and under,435
E01001261,Aged 16 to 24 years,244
E01001261,Aged 25 to 34 years,423
E01001261,Aged 35 to 49 years,553
E01001261,Aged 50 to 64 years,410
E01001261,Aged 65 years and over,254
E01001262,Aged 15 years and under,328
E01001262,Aged 16 to 24 years,197
E01001262,Aged 25 to 34 years,211
E01001262,Aged 35 to 49 years,325
E01001262,Aged 50 to 64 years,287
E01001262,Aged 65 years and over,275
E01001263,Aged 15 years and under,451
E01001263,Aged 16 to 24 years,189
E01001263,Aged 25 to 34 years,333
E01001263,Aged 35 to 49 years,401
E01001263,Aged 50 to 64 years,359
E01001263,Aged 65 years and over,214
E01001264,Aged 15 years and under,366
E01001264,Aged 16 to 24 years,235
E01001264,Aged 25 to 34 years,233
E01001264,Aged 35 to 49 years,400
E01001264,Aged 50 to 64 years,339
E01001264,Aged 65 years and over,248
E01001265,Aged 15 years and under,339
E01001265,Aged 16 to 24 years,162
E01001265,Aged 25 to 34 years,264
E01001265,Aged 35 to 49 years,450
E01001265,Aged 50 to 64 years,322
E01001265,Aged 65 years and over,186
E01001266,Aged 15 years and under,293
E01001266,Aged 16 to 24 years,209
E01001266,Aged 25 to 34 years,274
E01001266,Aged 35 to 49 years,383
E01001266,Aged 50 to 64 years,361
E01001266,Aged 65 years and over,313
E01001267,Aged 15 years and under,424
E01001267,Aged 16 to 24 years,192
E01001267,Aged 25 to 34 years,261
E01001267,Aged 35 to 49 years,455
E01001267,Aged 50 to 64 years,375
E01001267,Aged 65 years and over,327
E01001268,Aged 15 years and under,408
E01001268,Aged 16 to 24 years,197
E01001268,Aged 25 to 34 years,227
E01001268,Aged 35 to 49 years,448
E01001268,Aged 50 to 64 years,363
E01001268,Aged 65 years and over,320
E01001269,Aged 15 years and under,465
E01001269,Aged 16 to 24 years,255
E01001269,Aged 25 to 34 years,358
E01001269,Aged 35 to 49 years,584
E01001269,Aged 50 to 64 years,379
E01001269,Aged 65 years and over,231
E01001270,Aged 15 years and under,334
E01001270,Aged 16 to 24 years,204
E01001270,Aged 25 to 34 years,239
E01001270,Aged 35 to 49 years,391
E01001270,Aged 50 to 64 years,389
E01001270,Aged 65 years and over,204
E01001271,Aged 15 years and under,414
E01001271,Aged 16 to 24 years,224
E01001271,Aged 25 to 34 years,256
E01001271,Aged 35 to 49 years,436
E01001271,Aged 50 to 64 years,382
E01001271,Aged 65 years and over,208
E01001272,Aged 15 years and under,301
E01001272,Aged 16 to 24 years,193
E01001272,Aged 25 to 34 years,266
E01001272,Aged 35 to 49 years,441
E01001272,Aged 50 to 64 years,311
E01001272,Aged 65 years and over,205
E01001273,Aged 15 years and under,299
E01001273,Aged 16 to 24 years,195
E01001273,Aged 25 to 34 years,209
E01001273,Aged 35 to 49 years,365
E01001273,Aged 50 to 64 years,325
E01001273,Aged 65 years and over,282
E01001274,Aged 15 years and under,400
E01001274,Aged 16 to 24 years,141
E01001274,Aged 25 to 34 years,187
E01001274,Aged 35 to 49 years,442
E01001274,Aged 50 to 64 years,241
E01001274,Aged 65 years and over,200
E01001275,Aged 15 years and under,251
E01001275,Aged 16 to 24 years,121
E01001275,Aged 25 to 34 years,418
E01001275,Aged 35 to 49 years,501
E01001275,Aged 50 to 64 years,260
E01001275,Aged 65 years and over,249
E01001276,Aged 15 years and under,299
E01001276,Aged 16 to 24 years,200
E01001276,Aged 25 to 34 years,279
E01001276,Aged 35 to 49 years,462
E01001276,Aged 50 to 64 years,311
E01001276,Aged 65 years and over,227
E01001277,Aged 15 years and under,431
E01001277,Aged 16 to 24 years,197
E01001277,Aged 25 to 34 years,387
E01001277,Aged 35 to 49 years,495
E01001277,Aged 50 to 64 years,297
E01001277,Aged 65 years and over,234
E01001278,Aged 15 years and under,453
E01001278,Aged 16 to 24 years,173
E01001278,Aged 25 to 34 years,370
E01001278,Aged 35 to 49 years,491
E01001278,Aged 50 to 64 years,320
E01001278,Aged 65 years and over,271
E01001279,Aged 15 years and under,295
E01001279,Aged 16 to 24 years,102
E01001279,Aged 25 to 34 years,139
E01001279,Aged 35 to 49 years,315
E01001279,Aged 50 to 64 years,277
E01001279,Aged 65 years and over,364
E01001280,Aged 15 years and under,392
E01001280,Aged 16 to 24 years,109
E01001280,Aged 25 to 34 years,277
E01001280,Aged 35 to 49 years,494
E01001280,Aged 50 to 64 years,282
E01001280,Aged 65 years and over,263
E01001281,Aged 15 years and under,319
E01001281,Aged 16 to 24 years,107
E01001281,Aged 25 to 34 years,188
E01001281,Aged 35 to 49 years,389
E01001281,Aged 50 to 64 years,273
E01001281,Aged 65 years and over,295
E01001282,Aged 15 years and under,355
E01001282,Aged 16 to 24 years,157
E01001282,Aged 25 to 34 years,196
E01001282,Aged 35 to 49 years,356
E01001282,Aged 50 to 64 years,307
E01001282,Aged 65 years and over,248
E01001283,Aged 15 years and under,336
E01001283,Aged 16 to 24 years,155
E01001283,Aged 25 to 34 years,240
E01001283,Aged 35 to 49 years,434
E01001283,Aged 50 to 64 years,315
E01001283,Aged 65 years and over,300
E01001284,Aged 15 years and under,399
E01001284,Aged 16 to 24 years,166
E01001284,Aged 25 to 34 years,178
E01001284,Aged 35 to 49 years,404
E01001284,Aged 50 to 64 years,325
E01001284,Aged 65 years and over,248
E01001285,Aged 15 years and under,377
E01001285,Aged 16 to 24 years,262
E01001285,Aged 25 to 34 years,211
E01001285,Aged 35 to 49 years,425
E01001285,Aged 50 to 64 years,320
E01001285,Aged 65 years and over,174
E01001286,Aged 15 years and under,383
E01001286,Aged 16 to 24 years,196
E01001286,Aged 25 to 34 years,192
E01001286,Aged 35 to 49 years,386
E01001286,Aged 50 to 64 years,317
E01001286,Aged 65 years and over,192
E01001287,Aged 15 years and under,397
E01001287,Aged 16 to 24 years,265
E01001287,Aged 25 to 34 years,182
E01001287,Aged 35 to 49 years,313
E01001287,Aged 50 to 64 years,294
E01001287,Aged 65 years and over,169
E01001288,Aged 15 years and under,342
E01001288,Aged 16 to 24 years,128
E01001288,Aged 25 to 34 years,167
E01001288,Aged 35 to 49 years,377
E01001288,Aged 50 to 64 years,267
E01001288,Aged 65 years and over,195
E01001289,Aged 15 years and under,278
E01001289,Aged 16 to 24 years,134
E01001289,Aged 25 to 34 years,180
E01001289,Aged 35 to 49 years,309
E01001289,Aged 50 to 64 years,285
E01001289,Aged 65 years and over,152
E01001290,Aged 15 years and under,405
E01001290,Aged 16 to 24 years,174
E01001290,Aged 25 to 34 years,317
E01001290,Aged 35 to 49 years,520
E01001290,Aged 50 to 64 years,383
E01001290,Aged 65 years and over,251
E01001291,Aged 15 years and under,375
E01001291,Aged 16 to 24 years,192
E01001291,Aged 25 to 34 years,232
E01001291,Aged 35 to 49 years,433
E01001291,Aged 50 to 64 years,298
E01001291,Aged 65 years and over,233
E01001292,Aged 15 years and under,296
E01001292,Aged 16 to 24 years,160
E01001292,Aged 25 to 34 years,263
E01001292,Aged 35 to 49 years,341
E01001292,Aged 50 to 64 years,347
E01001292,Aged 65 years and over,269
E01001293,Aged 15 years and under,408
E01001293,Aged 16 to 24 years,184
E01001293,Aged 25 to 34 years,245
E01001293,Aged 35 to 49 years,417
E01001293,Aged 50 to 64 years,363
E01001293,Aged 65 years and over,210
E01001294,Aged 15 years and under,409
E01001294,Aged 16 to 24 years,202
E01001294,Aged 25 to 34 years,328
E01001294,Aged 35 to 49 years,428
E01001294,Aged 50 to 64 years,389
E01001294,Aged 65 years and over,273
E01001295,Aged 15 years and under,324
E01001295,Aged 16 to 24 years,222
E01001295,Aged 25 to 34 years,238
E01001295,Aged 35 to 49 years,421
E01001295,Aged 50 to 64 years,338
E01001295,Aged 65 years and over,252
E01001296,Aged 15 years and under,268
E01001296,Aged 16 to 24 years,177
E01001296,Aged 25 to 34 years,207
E01001296,Aged 35 to 49 years,312
E01001296,Aged 50 to 64 years,290
E01001296,Aged 65 years and over,185
E01001297,Aged 15 years and under,378
E01001297,Aged 16 to 24 years,216
E01001297,Aged 25 to 34 years,260
E01001297,Aged 35 to 49 years,427
E01001297,Aged 50 to 64 years,319
E01001297,Aged 65 years and over,235
E01001298,Aged 15 years and under,336
E01001298,Aged 16 to 24 years,217
E01001298,Aged 25 to 34 years,307
E01001298,Aged 35 to 49 years,423
E01001298,Aged 50 to 64 years,491
E01001298,Aged 65 years and over,336
E01001299,Aged 15 years and under,352
E01001299,Aged 16 to 24 years,165
E01001299,Aged 25 to 34 years,157
E01001299,Aged 35 to 49 years,365
E01001299,Aged 50 to 64 years,384
E01001299,Aged 65 years and over,332
E01001300,Aged 15 years and under,373
E01001300,Aged 16 to 24 years,111
E01001300,Aged 25 to 34 years,184
E01001300,Aged 35 to 49 years,433
E01001300,Aged 50 to 64 years,318
E01001300,Aged 65 years and over,196
E01001301,Aged 15 years and under,299
E01001301,Aged 16 to 24 years,254
E01001301,Aged 25 to 34 years,401
E01001301,Aged 35 to 49 years,468
E01001301,Aged 50 to 64 years,265
E01001301,Aged 65 years and over,196
E01001302,Aged 15 years and under,324
E01001302,Aged 16 to 24 years,131
E01001302,Aged 25 to 34 years,187
E01001302,Aged 35 to 49 years,439
E01001302,Aged 50 to 64 years,318
E01001302,Aged 65 years and over,203
E01001303,Aged 15 years and under,384
E01001303,Aged 16 to 24 years,138
E01001303,Aged 25 to 34 years,211
E01001303,Aged 35 to 49 years,430
E01001303,Aged 50 to 64 years,323
E01001303,Aged 65 years and over,241
E01001304,Aged 15 years and under,343
E01001304,Aged 16 to 24 years,138
E01001304,Aged 25 to 34 years,294
E01001304,Aged 35 to 49 years,422
E01001304,Aged 50 to 64 years,289
E01001304,Aged 65 years and over,172
E01001305,Aged 15 years and under,367
E01001305,Aged 16 to 24 years,130
E01001305,Aged 25 to 34 years,170
E01001305,Aged 35 to 49 years,416
E01001305,Aged 50 to 64 years,363
E01001305,Aged 65 years and over,282
E01001306,Aged 15 years and under,351
E01001306,Aged 16 to 24 years,103
E01001306,Aged 25 to 34 years,188
E01001306,Aged 35 to 49 years,442
E01001306,Aged 50 to 64 years,331
E01001306,Aged 65 years and over,224
E01001307,Aged 15 years and under,370
E01001307,Aged 16 to 24 years,186
E01001307,Aged 25 to 34 years,284
E01001307,Aged 35 to 49 years,470
E01001307,Aged 50 to 64 years,327
E01001307,Aged 65 years and over,246
E01001308,Aged 15 years and under,273
E01001308,Aged 16 to 24 years,193
E01001308,Aged 25 to 34 years,293
E01001308,Aged 35 to 49 years,404
E01001308,Aged 50 to 64 years,416
E01001308,Aged 65 years and over,362
E01001309,Aged 15 years and under,353
E01001309,Aged 16 to 24 years,221
E01001309,Aged 25 to 34 years,260
E01001309,Aged 35 to 49 years,454
E01001309,Aged 50 to 64 years,347
E01001309,Aged 65 years and over,218
E01001310,Aged 15 years and under,396
E01001310,Aged 16 to 24 years,219
E01001310,Aged 25 to 34 years,356
E01001310,Aged 35 to 49 years,608
E01001310,Aged 50 to 64 years,343
E01001310,Aged 65 years and over,220
E01001311,Aged 15 years and under,467
E01001311,Aged 16 to 24 years,283
E01001311,Aged 25 to 34 years,566
E01001311,Aged 35 to 49 years,559
E01001311,Aged 50 to 64 years,427
E01001311,Aged 65 years and over,216
E01001312,Aged 15 years and under,360
E01001312,Aged 16 to 24 years,206
E01001312,Aged 25 to 34 years,338
E01001312,Aged 35 to 49 years,469
E01001312,Aged 50 to 64 years,332
E01001312,Aged 65 years and over,263
E01001313,Aged 15 years and under,292
E01001313,Aged 16 to 24 years,190
E01001313,Aged 25 to 34 years,273
E01001313,Aged 35 to 49 years,393
E01001313,Aged 50 to 64 years,307
E01001313,Aged 65 years and over,270
E01001314,Aged 15 years and under,291
E01001314,Aged 16 to 24 years,145
E01001314,Aged 25 to 34 years,220
E01001314,Aged 35 to 49 years,366
E01001314,Aged 50 to 64 years,272
E01001314,Aged 65 years and over,231
E01001315,Aged 15 years and under,277
E01001315,Aged 16 to 24 years,157
E01001315,Aged 25 to 34 years,206
E01001315,Aged 35 to 49 years,366
E01001315,Aged 50 to 64 years,280
E01001315,Aged 65 years and over,181
E01001316,Aged 15 years and under,397
E01001316,Aged 16 to 24 years,217
E01001316,Aged 25 to 34 years,249
E01001316,Aged 35 to 49 years,407
E01001316,Aged 50 to 64 years,290
E01001316,Aged 65 years and over,166
E01001317,Aged 15 years and under,513
E01001317,Aged 16 to 24 years,233
E01001317,Aged 25 to 34 years,344
E01001317,Aged 35 to 49 years,530
E01001317,Aged 50 to 64 years,352
E01001317,Aged 65 years and over,209
E01001318,Aged 15 years and under,424
E01001318,Aged 16 to 24 years,206
E01001318,Aged 25 to 34 years,276
E01001318,Aged 35 to 49 years,421
E01001318,Aged 50 to 64 years,388
E01001318,Aged 65 years and over,234
E01001319,Aged 15 years and under,272
E01001319,Aged 16 to 24 years,187
E01001319,Aged 25 to 34 years,238
E01001319,Aged 35 to 49 years,341
E01001319,Aged 50 to 64 years,307
E01001319,Aged 65 years and over,204
E01001320,Aged 15 years and under,418
E01001320,Aged 16 to 24 years,215
E01001320,Aged 25 to 34 years,262
E01001320,Aged 35 to 49 years,331
E01001320,Aged 50 to 64 years,260
E01001320,Aged 65 years and over,136
E01001321,Aged 15 years and under,446
E01001321,Aged 16 to 24 years,276
E01001321,Aged 25 to 34 years,311
E01001321,Aged 35 to 49 years,474
E01001321,Aged 50 to 64 years,392
E01001321,Aged 65 years and over,365
E01001322,Aged 15 years and under,428
E01001322,Aged 16 to 24 years,216
E01001322,Aged 25 to 34 years,317
E01001322,Aged 35 to 49 years,492
E01001322,Aged 50 to 64 years,366
E01001322,Aged 65 years and over,253
E01001323,Aged 15 years and under,452
E01001323,Aged 16 to 24 years,186
E01001323,Aged 25 to 34 years,339
E01001323,Aged 35 to 49 years,501
E01001323,Aged 50 to 64 years,323
E01001323,Aged 65 years and over,214
E01001324,Aged 15 years and under,390
E01001324,Aged 16 to 24 years,147
E01001324,Aged 25 to 34 years,275
E01001324,Aged 35 to 49 years,403
E01001324,Aged 50 to 64 years,293
E01001324,Aged 65 years and over,158
E01001325,Aged 15 years and under,465
E01001325,Aged 16 to 24 years,223
E01001325,Aged 25 to 34 years,266
E01001325,Aged 35 to 49 years,408
E01001325,Aged 50 to 64 years,368
E01001325,Aged 65 years and over,253
E01001326,Aged 15 years and under,531
E01001326,Aged 16 to 24 years,188
E01001326,Aged 25 to 34 years,327
E01001326,Aged 35 to 49 years,361
E01001326,Aged 50 to 64 years,368
E01001326,Aged 65 years and over,185
E01001327,Aged 15 years and under,377
E01001327,Aged 16 to 24 years,260
E01001327,Aged 25 to 34 years,268
E01001327,Aged 35 to 49 years,410
E01001327,Aged 50 to 64 years,376
E01001327,Aged 65 years and over,205
E01001328,Aged 15 years and under,427
E01001328,Aged 16 to 24 years,230
E01001328,Aged 25 to 34 years,243
E01001328,Aged 35 to 49 years,398
E01001328,Aged 50 to 64 years,327
E01001328,Aged 65 years and over,199
E01001329,Aged 15 years and under,492
E01001329,Aged 16 to 24 years,219
E01001329,Aged 25 to 34 years,266
E01001329,Aged 35 to 49 years,412
E01001329,Aged 50 to 64 years,369
E01001329,Aged 65 years and over,205
E01001330,Aged 15 years and under,486
E01001330,Aged 16 to 24 years,210
E01001330,Aged 25 to 34 years,282
E01001330,Aged 35 to 49 years,397
E01001330,Aged 50 to 64 years,330
E01001330,Aged 65 years and over,152
E01001331,Aged 15 years and under,505
E01001331,Aged 16 to 24 years,234
E01001331,Aged 25 to 34 years,233
E01001331,Aged 35 to 49 years,435
E01001331,Aged 50 to 64 years,267
E01001331,Aged 65 years and over,123
E01001332,Aged 15 years and under,391
E01001332,Aged 16 to 24 years,174
E01001332,Aged 25 to 34 years,249
E01001332,Aged 35 to 49 years,380
E01001332,Aged 50 to 64 years,255
E01001332,Aged 65 years and over,144
E01001333,Aged 15 years and under,531
E01001333,Aged 16 to 24 years,284
E01001333,Aged 25 to 34 years,367
E01001333,Aged 35 to 49 years,572
E01001333,Aged 50 to 64 years,409
E01001333,Aged 65 years and over,302
E01001334,Aged 15 years and under,397
E01001334,Aged 16 to 24 years,213
E01001334,Aged 25 to 34 years,247
E01001334,Aged 35 to 49 years,361
E01001334,Aged 50 to 64 years,251
E01001334,Aged 65 years and over,196
E01001335,Aged 15 years and under,303
E01001335,Aged 16 to 24 years,202
E01001335,Aged 25 to 34 years,255
E01001335,Aged 35 to 49 years,339
E01001335,Aged 50 to 64 years,374
E01001335,Aged 65 years and over,325
E01001336,Aged 15 years and under,326
E01001336,Aged 16 to 24 years,201
E01001336,Aged 25 to 34 years,331
E01001336,Aged 35 to 49 years,357
E01001336,Aged 50 to 64 years,345
E01001336,Aged 65 years and over,278
E01001337,Aged 15 years and under,402
E01001337,Aged 16 to 24 years,206
E01001337,Aged 25 to 34 years,463
E01001337,Aged 35 to 49 years,484
E01001337,Aged 50 to 64 years,385
E01001337,Aged 65 years and over,180
E01001338,Aged 15 years and under,357
E01001338,Aged 16 to 24 years,189
E01001338,Aged 25 to 34 years,281
E01001338,Aged 35 to 49 years,429
E01001338,Aged 50 to 64 years,301
E01001338,Aged 65 years and over,309
E01001339,Aged 15 years and under,472
E01001339,Aged 16 to 24 years,275
E01001339,Aged 25 to 34 years,400
E01001339,Aged 35 to 49 years,458
E01001339,Aged 50 to 64 years,392
E01001339,Aged 65 years and over,187
E01001340,Aged 15 years and under,296
E01001340,Aged 16 to 24 years,157
E01001340,Aged 25 to 34 years,332
E01001340,Aged 35 to 49 years,412
E01001340,Aged 50 to 64 years,278
E01001340,Aged 65 years and over,88
E01001341,Aged 15 years and under,349
E01001341,Aged 16 to 24 years,193
E01001341,Aged 25 to 34 years,280
E01001341,Aged 35 to 49 years,415
E01001341,Aged 50 to 64 years,320
E01001341,Aged 65 years and over,235
E01001342,Aged 15 years and under,330
E01001342,Aged 16 to 24 years,199
E01001342,Aged 25 to 34 years,314
E01001342,Aged 35 to 49 years,462
E01001342,Aged 50 to 64 years,359
E01001342,Aged 65 years and over,236
E01001343,Aged 15 years and under,237
E01001343,Aged 16 to 24 years,143
E01001343,Aged 25 to 34 years,190
E01001343,Aged 35 to 49 years,327
E01001343,Aged 50 to 64 years,281
E01001343,Aged 65 years and over,259
E01001344,Aged 15 years and under,459
E01001344,Aged 16 to 24 years,171
E01001344,Aged 25 to 34 years,374
E01001344,Aged 35 to 49 years,643
E01001344,Aged 50 to 64 years,372
E01001344,Aged 65 years and over,270
E01001345,Aged 15 years and under,324
E01001345,Aged 16 to 24 years,248
E01001345,Aged 25 to 34 years,230
E01001345,Aged 35 to 49 years,405
E01001345,Aged 50 to 64 years,351
E01001345,Aged 65 years and over,199
E01001346,Aged 15 years and under,413
E01001346,Aged 16 to 24 years,193
E01001346,Aged 25 to 34 years,238
E01001346,Aged 35 to 49 years,449
E01001346,Aged 50 to 64 years,385
E01001346,Aged 65 years and over,277
E01001347,Aged 15 years and under,291
E01001347,Aged 16 to 24 years,263
E01001347,Aged 25 to 34 years,313
E01001347,Aged 35 to 49 years,485
E01001347,Aged 50 to 64 years,393
E01001347,Aged 65 years and over,226
E01001348,Aged 15 years and under,339
E01001348,Aged 16 to 24 years,146
E01001348,Aged 25 to 34 years,248
E01001348,Aged 35 to 49 years,419
E01001348,Aged 50 to 64 years,301
E01001348,Aged 65 years and over,219
E01001349,Aged 15 years and under,250
E01001349,Aged 16 to 24 years,157
E01001349,Aged 25 to 34 years,213
E01001349,Aged 35 to 49 years,298
E01001349,Aged 50 to 64 years,299
E01001349,Aged 65 years and over,194
E01001350,Aged 15 years and under,216
E01001350,Aged 16 to 24 years,132
E01001350,Aged 25 to 34 years,258
E01001350,Aged 35 to 49 years,310
E01001350,Aged 50 to 64 years,290
E01001350,Aged 65 years and over,233
E01001351,Aged 15 years and under,366
E01001351,Aged 16 to 24 years,179
E01001351,Aged 25 to 34 years,390
E01001351,Aged 35 to 49 years,430
E01001351,Aged 50 to 64 years,345
E01001351,Aged 65 years and over,262
E01001352,Aged 15 years and under,233
E01001352,Aged 16 to 24 years,168
E01001352,Aged 25 to 34 years,334
E01001352,Aged 35 to 49 years,394
E01001352,Aged 50 to 64 years,286
E01001352,Aged 65 years and over,169
E01001353,Aged 15 years and under,226
E01001353,Aged 16 to 24 years,136
E01001353,Aged 25 to 34 years,306
E01001353,Aged 35 to 49 years,331
E01001353,Aged 50 to 64 years,257
E01001353,Aged 65 years and over,158
E01001354,Aged 15 years and under,287
E01001354,Aged 16 to 24 years,161
E01001354,Aged 25 to 34 years,372
E01001354,Aged 35 to 49 years,520
E01001354,Aged 50 to 64 years,399
E01001354,Aged 65 years and over,318
E01001355,Aged 15 years and under,297
E01001355,Aged 16 to 24 years,179
E01001355,Aged 25 to 34 years,482
E01001355,Aged 35 to 49 years,485
E01001355,Aged 50 to 64 years,304
E01001355,Aged 65 years and over,209
E01001356,Aged 15 years and under,377
E01001356,Aged 16 to 24 years,161
E01001356,Aged 25 to 34 years,225
E01001356,Aged 35 to 49 years,331
E01001356,Aged 50 to 64 years,243
E01001356,Aged 65 years and over,157
E01001357,Aged 15 years and under,528
E01001357,Aged 16 to 24 years,274
E01001357,Aged 25 to 34 years,698
E01001357,Aged 35 to 49 years,757
E01001357,Aged 50 to 64 years,333
E01001357,Aged 65 years and over,159
E01001358,Aged 15 years and under,409
E01001358,Aged 16 to 24 years,191
E01001358,Aged 25 to 34 years,546
E01001358,Aged 35 to 49 years,539
E01001358,Aged 50 to 64 years,209
E01001358,Aged 65 years and over,96
E01001359,Aged 15 years and under,511
E01001359,Aged 16 to 24 years,321
E01001359,Aged 25 to 34 years,369
E01001359,Aged 35 to 49 years,559
E01001359,Aged 50 to 64 years,428
E01001359,Aged 65 years and over,276
E01001360,Aged 15 years and under,364
E01001360,Aged 16 to 24 years,292
E01001360,Aged 25 to 34 years,307
E01001360,Aged 35 to 49 years,532
E01001360,Aged 50 to 64 years,448
E01001360,Aged 65 years and over,270
E01001361,Aged 15 years and under,495
E01001361,Aged 16 to 24 years,277
E01001361,Aged 25 to 34 years,340
E01001361,Aged 35 to 49 years,575
E01001361,Aged 50 to 64 years,380
E01001361,Aged 65 years and over,210
E01001362,Aged 15 years and under,618
E01001362,Aged 16 to 24 years,314
E01001362,Aged 25 to 34 years,358
E01001362,Aged 35 to 49 years,667
E01001362,Aged 50 to 64 years,437
E01001362,Aged 65 years and over,230
E01001363,Aged 15 years and under,490
E01001363,Aged 16 to 24 years,237
E01001363,Aged 25 to 34 years,279
E01001363,Aged 35 to 49 years,450
E01001363,Aged 50 to 64 years,327
E01001363,Aged 65 years and over,211
E01001364,Aged 15 years and under,371
E01001364,Aged 16 to 24 years,271
E01001364,Aged 25 to 34 years,273
E01001364,Aged 35 to 49 years,384
E01001364,Aged 50 to 64 years,305
E01001364,Aged 65 years and over,229
E01001365,Aged 15 years and under,504
E01001365,Aged 16 to 24 years,312
E01001365,Aged 25 to 34 years,341
E01001365,Aged 35 to 49 years,631
E01001365,Aged 50 to 64 years,469
E01001365,Aged 65 years and over,320
E01001366,Aged 15 years and under,477
E01001366,Aged 16 to 24 years,263
E01001366,Aged 25 to 34 years,277
E01001366,Aged 35 to 49 years,488
E01001366,Aged 50 to 64 years,338
E01001366,Aged 65 years and over,207
E01001367,Aged 15 years and under,641
E01001367,Aged 16 to 24 years,343
E01001367,Aged 25 to 34 years,372
E01001367,Aged 35 to 49 years,702
E01001367,Aged 50 to 64 years,473
E01001367,Aged 65 years and over,181
E01001368,Aged 15 years and under,325
E01001368,Aged 16 to 24 years,222
E01001368,Aged 25 to 34 years,260
E01001368,Aged 35 to 49 years,413
E01001368,Aged 50 to 64 years,320
E01001368,Aged 65 years and over,224
E01001369,Aged 15 years and under,447
E01001369,Aged 16 to 24 years,232
E01001369,Aged 25 to 34 years,328
E01001369,Aged 35 to 49 years,483
E01001369,Aged 50 to 64 years,348
E01001369,Aged 65 years and over,227
E01001370,Aged 15 years and under,454
E01001370,Aged 16 to 24 years,263
E01001370,Aged 25 to 34 years,336
E01001370,Aged 35 to 49 years,501
E01001370,Aged 50 to 64 years,393
E01001370,Aged 65 years and over,230
E01001371,Aged 15 years and under,544
E01001371,Aged 16 to 24 years,295
E01001371,Aged 25 to 34 years,288
E01001371,Aged 35 to 49 years,560
E01001371,Aged 50 to 64 years,383
E01001371,Aged 65 years and over,237
E01001372,Aged 15 years and under,602
E01001372,Aged 16 to 24 years,309
E01001372,Aged 25 to 34 years,409
E01001372,Aged 35 to 49 years,646
E01001372,Aged 50 to 64 years,367
E01001372,Aged 65 years and over,223
E01001373,Aged 15 years and under,440
E01001373,Aged 16 to 24 years,284
E01001373,Aged 25 to 34 years,288
E01001373,Aged 35 to 49 years,545
E01001373,Aged 50 to 64 years,356
E01001373,Aged 65 years and over,169
E01001374,Aged 15 years and under,330
E01001374,Aged 16 to 24 years,148
E01001374,Aged 25 to 34 years,410
E01001374,Aged 35 to 49 years,523
E01001374,Aged 50 to 64 years,328
E01001374,Aged 65 years and over,204
E01001375,Aged 15 years and under,329
E01001375,Aged 16 to 24 years,88
E01001375,Aged 25 to 34 years,233
E01001375,Aged 35 to 49 years,418
E01001375,Aged 50 to 64 years,371
E01001375,Aged 65 years and over,258
E01001376,Aged 15 years and under,325
E01001376,Aged 16 to 24 years,148
E01001376,Aged 25 to 34 years,310
E01001376,Aged 35 to 49 years,469
E01001376,Aged 50 to 64 years,262
E01001376,Aged 65 years and over,193
E01001377,Aged 15 years and under,280
E01001377,Aged 16 to 24 years,152
E01001377,Aged 25 to 34 years,209
E01001377,Aged 35 to 49 years,324
E01001377,Aged 50 to 64 years,383
E01001377,Aged 65 years and over,292
E01001379,Aged 15 years and under,352
E01001379,Aged 16 to 24 years,139
E01001379,Aged 25 to 34 years,206
E01001379,Aged 35 to 49 years,426
E01001379,Aged 50 to 64 years,400
E01001379,Aged 65 years and over,213
E01001380,Aged 15 years and under,365
E01001380,Aged 16 to 24 years,204
E01001380,Aged 25 to 34 years,468
E01001380,Aged 35 to 49 years,687
E01001380,Aged 50 to 64 years,326
E01001380,Aged 65 years and over,256
E01001381,Aged 15 years and under,352
E01001381,Aged 16 to 24 years,151
E01001381,Aged 25 to 34 years,362
E01001381,Aged 35 to 49 years,520
E01001381,Aged 50 to 64 years,314
E01001381,Aged 65 years and over,179
E01001382,Aged 15 years and under,302
E01001382,Aged 16 to 24 years,119
E01001382,Aged 25 to 34 years,138
E01001382,Aged 35 to 49 years,330
